iter	MAE
0	6.690671405
1	6.558475066
2	6.429697591
3	6.307523309
4	6.19365841
5	6.089270472
6	5.990590374
7	5.899319858
8	5.811388266
9	5.729665653
10	5.654380189
11	5.582865373
12	5.516011597
13	5.45102682
14	5.393099915
15	5.338596892
16	5.287436649
17	5.238572292
18	5.191065746
19	5.147734849
20	5.107527037
21	5.070904961
22	5.038234691
23	5.003930251
24	4.974557148
25	4.945762178
26	4.919072386
27	4.893836103
28	4.869861543
29	4.848195387
30	4.82690688
31	4.807774151
32	4.790682303
33	4.774744478
34	4.759087384
35	4.74453912
36	4.730993889
37	4.717976147
38	4.704871084
39	4.693301801
40	4.682766214
41	4.672478799
42	4.663073878
43	4.653999331
44	4.645412682
45	4.637422888
46	4.630410616
47	4.623461442
48	4.616908195
49	4.611104191
50	4.605081473
51	4.600001456
52	4.594645516
53	4.590126967
54	4.585770994
55	4.581257662
56	4.577320695
57	4.573679715
58	4.570434072
59	4.56686342
60	4.563234503
61	4.560039786
62	4.556914437
63	4.554023322
64	4.551532905
65	4.548985974
66	4.546430145
67	4.544056852
68	4.542013508
69	4.540017966
70	4.537881743
71	4.536357407
72	4.534592862
73	4.532944488
74	4.531274832
75	4.530140102
76	4.528738444
77	4.527400898
78	4.526026436
79	4.524734065
80	4.52365059
81	4.522534492
82	4.521375694
83	4.520271431
84	4.519416182
85	4.518241546
86	4.517360852
87	4.516492595
88	4.515524595
89	4.514622832
90	4.513795376
91	4.513050304
92	4.512381622
93	4.511593905
94	4.510834882
95	4.510199254
96	4.509544244
97	4.508979137
98	4.508445405
99	4.507906969
100	4.50729962
101	4.506664098
102	4.505981383
103	4.505557506
104	4.505205665
105	4.504658485
106	4.504053298
107	4.503466613
108	4.502923935
109	4.502350824
110	4.501877337
111	4.501408037
112	4.501066976
113	4.50062744
114	4.50020483
115	4.499782048
116	4.499381327
117	4.499010936
118	4.4986366
119	4.498222439
120	4.497828359
121	4.497479026
122	4.497153583
123	4.496782056
124	4.496462538
125	4.496061334
126	4.495674755
127	4.495337593
128	4.495105962
129	4.494827384
130	4.494579424
131	4.494216992
132	4.493917659
133	4.493586002
134	4.493273275
135	4.492942399
136	4.492552385
137	4.492271091
138	4.492036043
139	4.491679157
140	4.491390798
141	4.491077417
142	4.490803153
143	4.490502901
144	4.490215991
145	4.489915666
146	4.489658194
147	4.489456708
148	4.489217476
149	4.48891077
150	4.488546687
151	4.488200731
152	4.487878558
153	4.487613235
154	4.487280252
155	4.487016566
156	4.48665678
157	4.486365449
158	4.48613331
159	4.485822328
160	4.485576493
161	4.48542727
162	4.485177614
163	4.484916472
164	4.484634391
165	4.484326156
166	4.484128019
167	4.483841383
168	4.483599483
169	4.483407364
170	4.483116079
171	4.482838837
172	4.482583574
173	4.482413348
174	4.482117369
175	4.481868747
176	4.481565771
177	4.481336314
178	4.481226165
179	4.481054086
180	4.480769711
181	4.480589331
182	4.480338705
183	4.480108797
184	4.479782153
185	4.479500858
186	4.47934942
187	4.479192203
188	4.478952809
189	4.478688952
190	4.478515384
191	4.478248233
192	4.478061245
193	4.477926764
194	4.477661232
195	4.477369507
196	4.477154676
197	4.476903738
198	4.476649212
199	4.47646145
200	4.476226066
201	4.475962966
202	4.475731068
203	4.475502648
204	4.475253089
205	4.475074684
206	4.474827775
207	4.474615625
208	4.474411424
209	4.474243751
210	4.47413563
211	4.473927052
212	4.473755318
213	4.473596392
214	4.473407518
215	4.473203683
216	4.473009313
217	4.472727604
218	4.472504808
219	4.472319142
220	4.472174341
221	4.471990222
222	4.471770403
223	4.471582533
224	4.471360771
225	4.47110155
226	4.470892247
227	4.470746754
228	4.470516512
229	4.470268681
230	4.47005084
231	4.469864417
232	4.469696396
233	4.469536077
234	4.469332149
235	4.469143541
236	4.468940868
237	4.468606807
238	4.468429984
239	4.468235425
240	4.468006288
241	4.46779558
242	4.467659029
243	4.467451005
244	4.467294836
245	4.466987571
246	4.466835956
247	4.466646851
248	4.466410705
249	4.466257174
250	4.466100766
