iter	Passed	Remaining
0	66	26596
1	75	14976
2	83	11027
3	91	9027
4	98	7808
5	106	7002
6	114	6427
7	122	5986
8	129	5633
9	137	5350
10	144	5127
11	152	4935
12	159	4758
13	167	4619
14	175	4493
15	182	4376
16	189	4272
17	197	4184
18	204	4105
19	212	4034
20	219	3965
21	227	3907
22	234	3849
23	242	3797
24	249	3745
25	256	3695
26	264	3648
27	271	3605
28	278	3564
29	286	3528
30	293	3491
31	300	3457
32	307	3423
33	315	3393
34	322	3362
35	329	3333
36	337	3307
37	344	3282
38	351	3257
39	359	3234
40	366	3211
41	374	3188
42	381	3165
43	388	3144
44	396	3126
45	403	3107
46	411	3088
47	418	3066
48	426	3053
49	434	3038
50	442	3027
51	450	3014
52	457	2996
53	465	2981
54	472	2966
55	480	2951
56	487	2934
57	495	2919
58	502	2905
59	509	2888
60	517	2873
61	524	2859
62	531	2844
63	538	2829
64	547	2820
65	554	2806
66	561	2791
67	568	2777
68	576	2763
69	583	2749
70	590	2737
71	598	2724
72	605	2712
73	613	2703
74	620	2689
75	628	2677
76	635	2664
77	642	2653
78	649	2640
79	657	2629
80	664	2617
81	672	2606
82	679	2594
83	686	2583
84	694	2572
85	701	2561
86	708	2550
87	716	2540
88	724	2530
89	731	2521
90	740	2512
91	747	2503
92	755	2493
93	763	2484
94	770	2474
95	778	2464
96	785	2454
97	793	2444
98	800	2434
99	808	2424
100	815	2414
101	823	2407
102	831	2397
103	838	2387
104	846	2378
105	854	2370
106	862	2360
107	870	2352
108	877	2343
109	885	2334
110	892	2324
111	900	2315
112	908	2306
113	915	2296
114	922	2285
115	929	2276
116	937	2266
117	944	2256
118	952	2248
119	959	2238
120	967	2230
121	974	2220
122	982	2211
123	990	2203
124	997	2194
125	1005	2186
126	1013	2177
127	1020	2169
128	1028	2160
129	1036	2151
130	1043	2143
131	1051	2134
132	1059	2126
133	1066	2117
134	1074	2108
135	1081	2100
136	1089	2090
137	1096	2081
138	1105	2075
139	1112	2066
140	1120	2058
141	1127	2049
142	1135	2040
143	1142	2031
144	1150	2023
145	1158	2015
146	1165	2006
147	1173	1998
148	1181	1989
149	1188	1980
150	1195	1972
151	1203	1963
152	1210	1954
153	1218	1946
154	1225	1937
155	1233	1928
156	1240	1920
157	1248	1912
158	1256	1904
159	1264	1896
160	1271	1887
161	1279	1879
162	1286	1871
163	1294	1862
164	1301	1853
165	1308	1845
166	1316	1836
167	1324	1828
168	1331	1819
169	1339	1812
170	1347	1804
171	1355	1796
172	1363	1789
173	1370	1780
174	1378	1772
175	1386	1764
176	1394	1756
177	1401	1748
178	1408	1739
179	1416	1731
180	1424	1723
181	1431	1715
182	1440	1707
183	1448	1700
184	1455	1691
185	1463	1683
186	1470	1675
187	1478	1666
188	1485	1658
189	1493	1650
190	1500	1642
191	1508	1633
192	1516	1626
193	1523	1617
194	1530	1609
195	1538	1601
196	1546	1593
197	1553	1585
198	1561	1576
199	1568	1568
200	1576	1561
201	1585	1553
202	1591	1544
203	1599	1536
204	1606	1528
205	1614	1520
206	1621	1512
207	1629	1503
208	1637	1496
209	1644	1488
210	1652	1479
211	1659	1471
212	1666	1463
213	1674	1455
214	1681	1447
215	1689	1439
216	1697	1431
217	1704	1423
218	1711	1414
219	1718	1406
220	1726	1398
221	1735	1391
222	1742	1383
223	1749	1374
224	1757	1366
225	1764	1358
226	1772	1350
227	1779	1342
228	1786	1334
229	1794	1326
230	1802	1318
231	1809	1310
232	1818	1303
233	1826	1295
234	1833	1287
235	1840	1279
236	1847	1270
237	1855	1263
238	1864	1255
239	1871	1247
240	1879	1239
241	1886	1231
242	1894	1224
243	1902	1216
244	1909	1208
245	1917	1200
246	1924	1192
247	1932	1184
248	1939	1176
249	1946	1168
250	1953	1159
251	1961	1151
252	1969	1144
253	1976	1136
254	1984	1128
255	1991	1120
256	1999	1112
257	2007	1104
258	2014	1096
259	2022	1089
260	2029	1080
261	2037	1073
262	2044	1065
263	2052	1057
264	2060	1049
265	2068	1041
266	2075	1033
267	2083	1026
268	2090	1018
269	2098	1010
270	2106	1002
271	2114	994
272	2121	986
273	2129	979
274	2137	971
275	2144	963
276	2152	955
277	2160	948
278	2167	940
279	2175	932
280	2183	924
281	2191	916
282	2198	908
283	2206	901
284	2213	893
285	2221	885
286	2228	877
287	2236	869
288	2244	861
289	2251	854
290	2259	846
291	2266	838
292	2274	830
293	2281	822
294	2288	814
295	2296	806
296	2304	799
297	2311	791
298	2318	783
299	2325	775
300	2333	767
301	2341	759
302	2348	751
303	2356	744
304	2363	736
305	2370	728
306	2378	720
307	2385	712
308	2393	704
309	2400	696
310	2407	688
311	2414	680
312	2422	673
313	2429	665
314	2437	657
315	2445	649
316	2452	642
317	2460	634
318	2467	626
319	2475	618
320	2482	610
321	2490	603
322	2497	595
323	2505	587
324	2512	579
