feature,mae_increase,std,label
pts_season,1.1283688544540045,0.033318172554321714,Season-to-date points
fga_roll5,0.27616748378424044,0.014553852095964158,"Shot attempts, last 5"
pts_roll10,0.19230727567480538,0.014821588152977587,"Points, last 10"
pts_roll3,0.07907652427589706,0.007764963641135699,"Points, last 3"
prev_pts,0.045724035606747114,0.0043900747842782264,Previous-game points
tov_roll5,0.02740950921983547,0.0034491579791077922,"Turnovers, last 5"
rest_days,0.011471576730895983,0.0009727992758565225,Rest days
reb_roll5,0.008151393497930393,0.0023868451611436256,"Rebounds, last 5"
opp_pts_allowed_roll5,0.00770053514435034,0.0016775837590927375,Opponent points allowed
min_roll5,0.0016654962176090749,0.0003938977674725556,"Minutes, last 5"
ast_roll5,0.0015592434550685042,0.0002633109594162871,"Assists, last 5"
games_played_prior,0.0009175414765415724,0.0009182332526165189,Season games played
is_b2b,0.0005751226817457322,0.00023163223725263996,Back-to-back
pts_std10,-0.0009231819372343963,0.0009124033693272909,Scoring volatility
is_home,-0.0011276050571870754,0.0005861421113348579,Home court
fg_pct_roll5,-0.0013361293060070167,0.002498954532919891,"FG%, last 5"
pts_roll5,-0.003617657840669608,0.0026921350072909743,"Points, last 5"
