iter	Passed	Remaining
0	68	27311
1	77	15359
2	84	11226
3	92	9160
4	100	7920
5	108	7092
6	115	6490
7	123	6034
8	130	5664
9	137	5374
10	145	5148
11	153	4949
12	160	4776
13	168	4632
14	175	4503
15	182	4388
16	190	4288
17	197	4199
18	205	4118
19	212	4043
20	220	3972
21	227	3915
22	235	3854
23	242	3801
24	249	3748
25	257	3701
26	264	3657
27	272	3621
28	279	3580
29	287	3544
30	294	3510
31	302	3477
32	309	3442
33	317	3413
34	324	3385
35	331	3355
36	339	3331
37	346	3303
38	354	3278
39	362	3258
40	369	3237
41	377	3214
42	384	3196
43	392	3176
44	399	3154
45	407	3134
46	414	3113
47	421	3094
48	429	3075
49	437	3060
50	445	3049
51	453	3037
52	461	3021
53	469	3007
54	476	2991
55	484	2978
56	492	2963
57	499	2947
58	507	2934
59	515	2918
60	524	2912
61	531	2897
62	539	2886
63	546	2870
64	554	2857
65	562	2845
66	569	2832
67	577	2817
68	584	2805
69	592	2790
70	599	2776
71	607	2768
72	615	2755
73	622	2744
74	630	2730
75	638	2720
76	645	2708
77	653	2697
78	660	2684
79	668	2674
80	676	2664
81	684	2654
82	692	2643
83	700	2634
84	707	2623
85	715	2612
86	723	2602
87	731	2591
88	738	2582
89	746	2571
90	754	2561
91	762	2552
92	770	2543
93	778	2533
94	786	2526
95	794	2514
96	801	2504
97	809	2494
98	817	2484
99	824	2474
100	832	2464
101	840	2455
102	848	2445
103	855	2435
104	863	2426
105	871	2417
106	879	2407
107	887	2398
108	895	2389
109	902	2380
110	911	2372
111	919	2365
112	927	2354
113	934	2344
114	941	2333
115	949	2324
116	956	2314
117	965	2307
118	973	2299
119	981	2290
120	991	2286
121	999	2276
122	1006	2267
123	1015	2259
124	1022	2249
125	1029	2238
126	1036	2228
127	1044	2219
128	1052	2210
129	1058	2199
130	1066	2190
131	1074	2180
132	1081	2171
133	1089	2161
134	1096	2152
135	1103	2142
136	1110	2132
137	1117	2121
138	1124	2112
139	1132	2102
140	1139	2092
141	1146	2082
142	1152	2072
143	1159	2062
144	1167	2053
145	1174	2043
146	1181	2033
147	1188	2023
148	1195	2013
149	1201	2003
150	1209	1993
151	1216	1984
152	1223	1974
153	1230	1966
154	1238	1957
155	1245	1947
156	1252	1938
157	1259	1929
158	1266	1920
159	1274	1911
160	1281	1902
161	1288	1893
162	1296	1885
163	1303	1876
164	1310	1867
165	1317	1857
166	1325	1848
167	1332	1840
168	1339	1831
169	1347	1823
170	1355	1814
171	1362	1806
172	1370	1798
173	1377	1789
174	1385	1781
175	1393	1773
176	1400	1764
177	1407	1755
178	1414	1746
179	1421	1737
180	1429	1729
181	1436	1720
182	1444	1712
183	1452	1704
184	1459	1696
185	1466	1687
186	1473	1678
187	1480	1670
188	1488	1661
189	1495	1652
190	1503	1645
191	1511	1637
192	1519	1629
193	1527	1621
194	1536	1614
195	1545	1608
196	1552	1599
197	1560	1591
198	1567	1583
199	1574	1574
200	1582	1566
201	1590	1559
202	1597	1550
203	1604	1541
204	1612	1533
205	1619	1525
206	1626	1516
207	1633	1508
208	1641	1500
209	1649	1492
210	1656	1483
211	1663	1475
212	1670	1466
213	1678	1458
214	1685	1450
215	1693	1442
216	1700	1434
217	1707	1425
218	1714	1417
219	1721	1408
220	1728	1400
221	1735	1391
222	1743	1383
223	1749	1374
224	1757	1367
225	1765	1358
226	1772	1350
227	1779	1342
228	1786	1334
229	1793	1325
230	1801	1317
231	1808	1309
232	1816	1301
233	1823	1293
234	1830	1285
235	1838	1277
236	1845	1269
237	1852	1261
238	1860	1253
239	1867	1244
240	1874	1236
241	1880	1228
242	1889	1220
243	1896	1212
244	1903	1204
245	1910	1196
246	1917	1187
247	1924	1179
248	1931	1171
249	1939	1163
250	1946	1155
251	1953	1147
252	1961	1139
253	1968	1131
254	1975	1123
255	1983	1115
256	1991	1107
257	1998	1099
258	2005	1091
259	2012	1083
260	2019	1075
261	2026	1067
262	2033	1059
263	2040	1050
264	2047	1043
265	2054	1035
266	2061	1026
267	2069	1019
268	2076	1011
269	2084	1003
270	2090	995
271	2098	987
272	2105	979
273	2113	971
274	2120	963
275	2127	955
276	2134	947
277	2142	940
278	2149	932
279	2156	924
280	2164	916
281	2171	908
282	2178	900
283	2185	892
284	2192	884
285	2199	876
286	2206	868
287	2213	860
288	2220	852
289	2227	845
290	2235	837
291	2242	829
292	2249	821
293	2256	813
294	2263	805
295	2271	797
296	2278	790
297	2285	782
298	2292	774
299	2299	766
300	2306	758
301	2313	750
302	2321	743
303	2328	735
304	2335	727
305	2342	719
306	2349	711
307	2356	703
308	2363	696
309	2371	688
310	2377	680
311	2385	672
312	2392	664
313	2399	657
314	2407	649
315	2414	641
316	2422	634
317	2429	626
318	2435	618
319	2442	610
320	2449	602
321	2457	595
322	2464	587
323	2471	579
324	2478	571
325	2485	564
326	2492	556
327	2500	548
328	2507	541
329	2515	533
330	2521	525
331	2529	517
332	2536	510
333	2543	502
334	2551	495
335	2558	487
336	2565	479
337	2572	471
338	2580	464
339	2587	456
340	2594	448
341	2601	441
342	2607	433
343	2615	425
344	2621	417
345	2629	410
346	2636	402
347	2643	395
348	2650	387
349	2657	379
350	2665	372
351	2673	364
