Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Team,Season
1.0,Kevin Huerter,22.0,SG,69,49,2126,12.2,0.541,0.528,0.088,2.0,9.7,6.0,16.3,1.9,0.7,9.4,17.2,1.9,1.7,3.6,0.08,-0.6,0.4,-0.3,1.0,,ATL,2021
2.0,Trae Young,22.0,PG,63,63,2125,23.0,0.589,0.357,0.491,2.0,10.5,6.3,45.5,1.2,0.5,16.2,33.0,5.9,1.3,7.2,0.163,5.3,-1.7,3.7,3.0,,ATL,2021
3.0,Clint Capela,26.0,C,63,63,1898,24.3,0.601,0.0,0.327,17.5,34.3,26.1,4.1,1.1,6.0,8.4,19.9,4.9,3.3,8.2,0.207,2.7,0.0,2.7,2.2,DPOY-6,ATL,2021
4.0,John Collins,23.0,PF,63,63,1848,20.6,0.645,0.27,0.265,7.1,20.3,13.8,6.9,0.9,3.0,8.9,22.2,4.8,1.9,6.7,0.174,2.5,-0.2,2.3,2.0,,ATL,2021
5.0,Solomon Hill,29.0,PF,71,16,1513,6.7,0.498,0.711,0.154,3.1,12.2,7.7,6.4,1.6,0.6,11.7,10.4,0.1,1.2,1.3,0.04,-3.0,0.5,-2.5,-0.2,,ATL,2021
6.0,Bogdan BogdanoviÄ,28.0,SG,44,27,1305,17.6,0.616,0.589,0.078,1.7,11.5,6.7,17.6,1.8,0.9,8.5,21.3,2.8,1.1,3.9,0.142,3.3,0.3,3.6,1.8,,ATL,2021
7.0,Danilo Gallinari,32.0,PF,51,4,1222,16.3,0.613,0.535,0.366,1.6,17.0,9.5,9.2,1.2,0.7,7.2,21.2,2.7,1.0,3.7,0.146,1.7,-0.6,1.1,1.0,,ATL,2021
8.0,Tony Snell,29.0,SG,47,23,992,9.5,0.708,0.637,0.064,2.0,10.2,6.2,7.9,0.6,1.0,10.7,8.6,1.6,0.5,2.0,0.099,-0.4,-0.1,-0.5,0.4,,ATL,2021
9.0,Cam Reddish,21.0,SF,26,21,750,9.3,0.488,0.479,0.312,3.3,11.7,7.6,6.5,2.2,1.1,10.2,19.3,-0.3,0.7,0.4,0.026,-3.3,0.1,-3.2,-0.2,,ATL,2021
10.0,De'Andre Hunter,23.0,SF,23,19,678,15.7,0.603,0.383,0.343,2.8,14.7,8.9,9.7,1.4,1.6,9.2,20.2,1.2,0.6,1.7,0.123,0.6,0.6,1.2,0.5,,ATL,2021
11.0,Brandon Goodwin,25.0,PG,47,5,620,9.2,0.471,0.462,0.193,1.4,10.6,6.1,21.6,1.3,0.0,13.0,19.5,-0.2,0.4,0.2,0.013,-2.5,-0.6,-3.1,-0.2,,ATL,2021
12.0,Onyeka Okongwu,20.0,C,50,4,601,16.8,0.655,0.02,0.383,11.5,18.0,14.9,4.4,1.9,4.8,14.3,14.7,1.1,0.8,1.9,0.155,-2.2,0.8,-1.4,0.1,,ATL,2021
13.0,Lou Williams,34.0,PG,24,1,505,10.8,0.498,0.25,0.25,1.3,9.3,5.4,23.7,0.8,0.3,14.9,24.3,-0.2,0.2,0.0,0.004,-1.8,-2.5,-4.3,-0.3,,ATL,2021
14.0,Rajon Rondo,34.0,PG,27,2,402,9.9,0.478,0.409,0.018,1.1,13.6,7.5,32.2,2.3,0.4,26.0,16.2,-0.2,0.4,0.2,0.019,-2.8,0.3,-2.5,0.0,,ATL,2021
15.0,Nathan Knight,23.0,PF,33,0,279,13.9,0.499,0.33,0.55,10.8,17.3,14.1,4.0,1.6,3.2,10.8,21.7,0.1,0.3,0.4,0.07,-2.6,-1.0,-3.7,-0.1,,ATL,2021
16.0,Skylar Mays,23.0,SG,33,0,269,16.8,0.569,0.408,0.255,4.2,10.0,7.1,16.4,2.6,0.7,7.6,19.1,0.5,0.3,0.8,0.14,1.2,0.7,1.9,0.3,,ATL,2021
17.0,Bruno Fernando,22.0,C,33,0,226,6.2,0.475,0.045,0.5,7.9,29.4,18.9,5.8,0.9,1.2,28.1,14.4,-0.3,0.3,-0.1,-0.019,-6.1,-0.4,-6.5,-0.3,,ATL,2021
18.0,Kris Dunn,26.0,PG,4,0,45,-5.7,0.182,0.167,0.333,0.0,14.3,7.3,5.4,2.2,3.9,17.9,16.2,-0.2,0.1,-0.2,-0.202,-13.7,-0.1,-13.7,-0.1,,ATL,2021
,Team Totals,,,72,72,17404,,0.581,0.382,0.278,,,,,,,,,26.0,15.9,41.9,0.116,0.7,-0.2,0.5,10.9,,ATL,2021
