Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards,Team,Season
1.0,Kevin Huerter,22.0,SG,69,49,2126,3,90,7,0,0,1.8,-2.0,50,17,73,2,25,2,575,6,28,,ATL,2021
2.0,Trae Young,22.0,PG,63,63,2125,100,0,0,0,0,5.3,7.1,179,54,38,14,183,15,1403,26,66,,ATL,2021
3.0,Clint Capela,26.0,C,63,63,1898,0,0,0,0,100,7.4,10.5,12,18,72,25,105,2,119,21,50,DPOY-6,ATL,2021
4.0,John Collins,23.0,PF,63,63,1848,0,0,0,86,14,4.7,4.5,23,29,102,21,93,13,188,31,53,,ATL,2021
5.0,Solomon Hill,29.0,PF,71,16,1513,0,1,53,46,0,2.0,-1.0,25,4,57,6,23,5,183,6,8,,ATL,2021
6.0,Bogdan BogdanoviÄ,28.0,SG,44,27,1305,0,28,70,2,0,4.2,2.6,28,15,42,5,16,6,357,2,19,,ATL,2021
7.0,Danilo Gallinari,32.0,PF,51,4,1222,0,0,0,64,36,2.7,0.2,19,11,54,6,66,6,188,8,21,,ATL,2021
8.0,Tony Snell,29.0,SG,47,23,992,0,45,54,1,0,3.7,1.5,13,3,41,2,6,1,147,2,8,,ATL,2021
9.0,Cam Reddish,21.0,SF,26,21,750,0,27,72,1,0,-3.0,-7.1,12,14,34,4,39,4,83,4,22,,ATL,2021
10.0,De'Andre Hunter,23.0,SF,23,19,678,0,3,67,30,0,6.0,4.2,6,15,26,4,35,10,109,3,8,,ATL,2021
11.0,Brandon Goodwin,25.0,PG,47,5,620,92,8,0,0,0,-2.8,-6.5,18,11,13,5,13,3,229,3,19,,ATL,2021
12.0,Onyeka Okongwu,20.0,C,50,4,601,0,0,0,10,90,-5.7,-10.0,6,7,63,14,28,2,47,7,15,,ATL,2021
13.0,Lou Williams,34.0,PG,24,1,505,52,48,0,0,0,-0.3,-3.3,35,5,6,0,23,2,189,2,10,,ATL,2021
14.0,Rajon Rondo,34.0,PG,27,2,402,86,14,0,0,0,-5.1,-8.7,30,5,6,3,1,3,243,0,8,,ATL,2021
15.0,Nathan Knight,23.0,PF,33,0,279,0,0,20,41,40,-3.2,-6.3,3,2,12,4,22,1,21,2,10,,ATL,2021
16.0,Skylar Mays,23.0,SG,33,0,269,33,64,3,0,0,2.4,-0.2,6,1,10,2,11,1,72,1,8,,ATL,2021
17.0,Bruno Fernando,22.0,C,33,0,226,0,0,0,0,100,-4.7,-7.8,6,5,15,6,9,0,23,2,8,,ATL,2021
18.0,Kris Dunn,26.0,PG,4,0,45,42,51,7,0,0,-32.8,-35.8,0,3,2,0,2,0,6,0,2,,ATL,2021
,Team Totals,,,72,72,17404,20,20,20,20,20,2.6,1.1,471,219,666,123,700,76,4182,126,363,,ATL,2021
