No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
0,Dominick Barlow,PF,6-9,215,"May 26, 2003",us US,2,,ATL,2025
13,Bogdan BogdanoviÄ,SG,6-5,225,"August 18, 1992",rs RS,7,,ATL,2025
4,Kobe Bufkin,SG,6-4,195,"September 21, 2003",us US,1,Michigan,ATL,2025
15,Clint Capela,C,6-10,256,"May 18, 1994",ch CH,10,,ATL,2025
5,Dyson Daniels,SG,6-7,199,"March 17, 2003",au AU,2,,ATL,2025
18,Mouhamed Gueye,PF,6-11,210,"November 9, 2002",sn SN,1,Washington State,ATL,2025
12,De'Andre Hunter,SF,6-7,221,"December 2, 1997",us US,5,Virginia,ATL,2025
1,Jalen Johnson,SF,6-8,219,"December 18, 2001",us US,3,Duke,ATL,2025
27,VÃ­t KrejÄÃ­,PG,6-8,195,"June 19, 2000",cz CZ,3,,ATL,2025
3,Caris LeVert,SG,6-7,205,"August 25, 1994",us US,8,Michigan,ATL,2025
14,Terance Mann,SG,6-6,215,"October 18, 1996",us US,5,Florida State,ATL,2025
24,Garrison Mathews,SG,6-5,215,"October 24, 1996",us US,5,Lipscomb,ATL,2025
22,Larry Nance Jr.,PF,6-6,245,"January 1, 1993",us US,9,Wyoming,ATL,2025
20,Georges Niang,PF,6-6,230,"June 17, 1993",us US,8,Iowa State,ATL,2025
17,Onyeka Okongwu,C,6-10,240,"December 11, 2000",us US,4,USC,ATL,2025
29,Daeqwon Plowden,SG,6-4,216,"August 29, 1998",us US,R,Bowling Green,ATL,2025
10,Zaccharie Risacher,SF,6-8,200,"April 8, 2005",es ES,R,,ATL,2025
8,David Roddy,PF,6-5,255,"March 27, 2001",us US,2,Colorado State,ATL,2025
0,Jacob Toppin,SF,6-9,200,"May 8, 2000",us US,1,"Rhode Island, Kentucky",ATL,2025
2,Keaton Wallace,PG,6-3,185,"February 26, 1999",us US,R,Texas-San Antonio,ATL,2025
11,Trae Young,PG,6-2,164,"September 19, 1998",us US,6,Oklahoma,ATL,2025
