Rk,Unnamed: 1,Salary,Team,Season
1,CJ McCollum,"$30,666,666",ATL,2026
2,Jalen Johnson,"$30,000,000",ATL,2026
3,Jonathan Kuminga,"$23,799,569",ATL,2026
4,Nickeil Alexander-Walker,"$15,161,800",ATL,2026
5,Onyeka Okongwu,"$15,000,000",ATL,2026
6,Corey Kispert,"$13,975,000",ATL,2026
7,Zaccharie Risacher,"$13,197,720",ATL,2026
8,Gabe Vincent,"$11,500,000",ATL,2026
9,Buddy Hield,"$9,219,512",ATL,2026
10,Dyson Daniels,"$7,707,709",ATL,2026
11,Asa Newell,"$3,237,480",ATL,2026
12,Jock Landale,"$2,296,274",ATL,2026
13,Keaton Wallace,"$2,296,274",ATL,2026
14,Duop Reath,"$2,221,677",ATL,2026
15,Mouhamed Gueye,"$2,221,677",ATL,2026
16,N'Faly Dante,"$2,048,494",ATL,2026
17,Nikola Djurisic,"$1,272,870",ATL,2026
18,Caleb Houstan,"$699,440",ATL,2026
