Rk,Unnamed: 1,Salary,Team,Season
1,Kemba Walker,"$34,379,100",BOS,2021
2,Jaylen Brown,"$23,437,500",BOS,2021
3,Evan Fournier,"$17,450,000",BOS,2021
4,Marcus Smart,"$13,446,428",BOS,2021
5,Jayson Tatum,"$9,897,120",BOS,2021
6,Tristan Thompson,"$9,258,000",BOS,2021
7,Romeo Langford,"$3,631,200",BOS,2021
8,Aaron Nesmith,"$3,458,400",BOS,2021
9,Grant Williams,"$2,498,760",BOS,2021
10,Luke Kornet,"$2,250,000",BOS,2021
11,Moritz Wagner,"$2,161,920",BOS,2021
12,Payton Pritchard,"$2,035,800",BOS,2021
13,Robert Williams,"$2,029,920",BOS,2021
14,Semi Ojeleye,"$1,752,950",BOS,2021
15,Carsen Edwards,"$1,517,981",BOS,2021
16,Guerschon Yabusele,"$1,039,080",BOS,2021
17,Jabari Parker,"$430,729",BOS,2021
18,Demetrius Jackson,"$92,857",BOS,2021
19,Tremont Waters,$0,BOS,2021
20,Tacko Fall,$0,BOS,2021
