No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
7,Jaylen Brown,SF,6-6,223,"October 24, 1996",us US,5,California,BOS,2022
28,Bruno Fernando,C,6-9,240,"August 15, 1998",ao AO,2,Maryland,BOS,2022
8,Malik Fitts,PF,6-5,230,"July 4, 1997",us US,1,"South Florida, Saint Mary's",BOS,2022
13,Enes Freedom,C,6-10,250,"May 20, 1992",ch CH,10,Kentucky,BOS,2022
30,Sam Hauser,SF,6-7,217,"December 8, 1997",us US,R,"Marquette, Virginia",BOS,2022
41,Juancho HernangÃ³mez,PF,6-9,214,"September 28, 1995",es ES,5,,BOS,2022
42,Al Horford,C,6-8,240,"June 3, 1986",do DO,14,Florida,BOS,2022
43,Justin Jackson,SF,6-8,220,"March 28, 1995",us US,4,UNC,BOS,2022
55,Joe Johnson,SG,6-7,240,"June 29, 1981",us US,17,Arkansas,BOS,2022
40,Luke Kornet,C,7-1,250,"July 15, 1995",us US,4,Vanderbilt,BOS,2022
9,Romeo Langford,SG,6-5,216,"October 25, 1999",us US,2,Indiana,BOS,2022
4,Kelan Martin,SF,6-5,230,"August 3, 1995",us US,2,Butler,BOS,2022
50,C.J. Miles,SG,6-6,220,"March 18, 1987",us US,15,,BOS,2022
4,Juwan Morgan,PF,6-7,232,"April 17, 1997",us US,2,Indiana,BOS,2022
26,Aaron Nesmith,SF,6-5,215,"October 16, 1999",us US,1,Vanderbilt,BOS,2022
20,Jabari Parker,PF,6-7,245,"March 15, 1995",us US,7,Duke,BOS,2022
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us US,1,Oregon,BOS,2022
8,Josh Richardson,SG,6-5,200,"September 15, 1993",us US,6,Tennessee,BOS,2022
37,Matt Ryan,SF,6-6,215,"April 17, 1997",us US,R,"Notre Dame, Vanderbilt, Chattanooga",BOS,2022
71,Dennis SchrÃ¶der,PG,6-1,175,"September 15, 1993",de DE,8,,BOS,2022
36,Marcus Smart,PG,6-3,220,"March 6, 1994",us US,7,Oklahoma State,BOS,2022
13,Nik Stauskas,SG,6-6,205,"October 7, 1993",ca CA,5,Michigan,BOS,2022
0,Jayson Tatum,SF,6-8,210,"March 3, 1998",us US,4,Duke,BOS,2022
27,Daniel Theis,C,6-8,245,"April 4, 1992",de DE,4,,BOS,2022
97,Brodric Thomas,SG,6-5,185,"January 28, 1997",us US,1,Truman State University,BOS,2022
9,Derrick White,SG,6-4,190,"July 2, 1994",us US,4,"Colorado-Colorado Springs, Colorado",BOS,2022
12,Grant Williams,PF,6-7,236,"November 30, 1998",us US,2,Tennessee,BOS,2022
44,Robert Williams,C,6-9,249,"October 17, 1997",us US,3,Texas A&M,BOS,2022
