Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards,Team,Season
1.0,Derrick White,31.0,SG,77,77,2625,22,75,4,0,0,11.2,9.7,77,43,71,3,94,36,1012,20,34,"DPOY-6,DEF1",BOS,2026
2.0,Payton Pritchard,28.0,PG,79,50,2556,100,0,0,0,0,7.4,-1.4,47,30,48,14,40,6,1003,9,41,,BOS,2026
3.0,Jaylen Brown,29.0,SF,71,71,2443,0,13,64,23,0,6.2,-4.6,77,116,79,40,261,5,924,64,93,"MVP-6,AS,NBA2",BOS,2026
4.0,Sam Hauser,28.0,PF,78,49,1934,0,0,20,77,3,9.0,2.2,17,11,59,6,8,7,293,4,8,,BOS,2026
5.0,Neemias Queta,26.0,C,76,75,1926,0,0,0,0,100,13.0,9.8,23,22,131,25,75,2,315,17,36,,BOS,2026
6.0,Baylor Scheierman,25.0,SG,77,20,1429,5,53,41,1,0,7.0,-1.3,23,12,47,3,11,31,299,1,4,,BOS,2026
7.0,Jordan Walsh,21.0,PF,68,25,1212,0,3,31,64,2,5.7,-3.1,16,9,64,4,28,6,140,10,17,,BOS,2026
8.0,Anfernee Simons,26.0,SG,49,0,1202,55,45,0,0,0,5.3,-3.7,26,21,43,3,31,1,292,8,25,,BOS,2026
9.0,Luka Garza,27.0,C,69,6,1118,0,0,0,4,96,4.9,-4.2,9,8,91,21,61,7,162,19,25,,BOS,2026
10.0,Hugo GonzÃ¡lez,19.0,SF,74,3,1084,2,21,67,11,0,12.4,6.2,16,13,52,3,11,18,104,3,21,,BOS,2026
11.0,Josh Minott,23.0,PF,33,10,526,0,0,0,57,43,5.1,-3.2,8,8,24,2,12,4,83,2,10,,BOS,2026
12.0,Jayson Tatum,27.0,PF,16,16,522,0,0,0,95,5,11.2,3.8,17,14,10,7,32,0,203,6,8,,BOS,2026
13.0,Nikola VuÄeviÄ,35.0,C,16,1,338,0,0,0,5,95,10.4,2.7,8,3,18,5,5,1,79,1,6,,BOS,2026
14.0,Ron Harper Jr.,25.0,SF,29,3,318,0,17,59,24,0,2.9,-5.4,2,4,11,1,2,1,56,0,1,,BOS,2026
15.0,Amari Williams,24.0,PF,22,2,146,0,0,2,8,90,-18.6,-27.5,5,1,10,5,6,0,28,2,2,,BOS,2026
16.0,Xavier Tillman Sr.,27.0,C,14,1,111,0,0,0,7,93,-11.3,-19.8,2,2,8,1,0,1,13,0,2,,BOS,2026
17.0,Chris Boucher,33.0,PF,9,0,94,0,0,14,47,39,4.0,-4.0,0,0,14,1,1,1,8,0,1,,BOS,2026
18.0,Dalano Banton,26.0,PG,4,0,52,92,8,0,0,0,-10.0,-18.2,3,2,1,1,2,0,26,0,3,,BOS,2026
19.0,John Tonje,24.0,SG,6,0,42,0,80,20,0,0,-3.0,-11.0,0,0,3,0,1,0,5,0,1,,BOS,2026
20.0,Max Shulga,23.0,SG,11,1,36,78,22,0,0,0,-10.6,-18.6,2,1,6,0,1,0,4,0,0,,BOS,2026
21.0,Charles Bassey,25.0,C,5,0,17,0,0,0,0,100,-12.0,-20.0,0,1,2,0,2,0,0,0,0,,BOS,2026
,Team Totals,,,82,82,19731,20,20,20,20,20,7.9,0.8,378,321,792,145,684,127,5049,166,338,,BOS,2026
