No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
13,Keita Bates-Diop,SF,6-8,229,"January 23, 1996",us US,5,Ohio State,BRK,2024
1,Mikal Bridges,SF,6-6,209,"August 30, 1996",us US,5,Villanova,BRK,2024
13,Armoni Brooks,PG,6-3,195,"June 5, 1998",us US,2,Houston,BRK,2024
33,Nic Claxton,C,6-11,215,"April 17, 1999",us US,4,Georgia,BRK,2024
21,Noah Clowney,PF,6-10,210,"July 14, 2004",us US,R,Alabama,BRK,2024
26,Spencer Dinwiddie,PG,6-5,215,"April 6, 1993",us US,9,Colorado,BRK,2024
28,Dorian Finney-Smith,PF,6-7,220,"May 4, 1993",us US,7,Florida,BRK,2024
14,Harry Giles,C,6-10,240,"April 22, 1998",us US,3,Duke,BRK,2024
14,Jacob Gilyard,PG,5-8,160,"July 14, 1998",us US,1,Richmond,BRK,2024
2,Cameron Johnson,PF,6-8,210,"March 3, 1996",us US,4,"Pitt, UNC",BRK,2024
45,Keon Johnson,SG,6-5,185,"March 10, 2002",us US,2,Tennessee,BRK,2024
0,Royce O'Neale,SF,6-6,226,"June 5, 1993",us US,6,"Denver, Baylor",BRK,2024
17,Dennis Schr̦der,PG,6-1,175,"September 15, 1993",de DE,10,,BRK,2024
20,Day'Ron Sharpe,C,6-10,265,"November 6, 2001",us US,2,UNC,BRK,2024
10,Ben Simmons,PG,6-10,240,"July 20, 1996",au AU,5,LSU,BRK,2024
4,Dennis Smith Jr.,PG,6-2,205,"November 25, 1997",us US,6,NC State,BRK,2024
24,Cam Thomas,SG,6-3,210,"October 13, 2001",jp JP,2,LSU,BRK,2024
8,Lonnie Walker IV,SG,6-4,204,"December 14, 1998",us US,5,Miami (FL),BRK,2024
9,Trendon Watford,PF,6-8,237,"November 9, 2000",us US,2,LSU,BRK,2024
0,Dariq Whitehead,SF,6-6,220,"August 1, 2004",us US,R,Duke,BRK,2024
22,Jalen Wilson,PF,6-6,220,"November 4, 2000",us US,R,Kansas,BRK,2024
