Rk,Unnamed: 1,Salary,Team,Season
1,Ben Simmons,"$39,256,083",BRK,2025
2,Nic Claxton,"$27,556,817",BRK,2025
3,Cameron Johnson,"$22,500,000",BRK,2025
4,Bojan BogdanoviÄ,"$19,032,850",BRK,2025
5,D'Angelo Russell,"$18,692,307",BRK,2025
6,De'Anthony Melton,"$12,822,000",BRK,2025
7,Ziaire Williams,"$6,133,005",BRK,2025
8,Cam Thomas,"$4,041,249",BRK,2025
9,Day'Ron Sharpe,"$3,989,122",BRK,2025
10,Noah Clowney,"$3,244,080",BRK,2025
11,Dariq Miller-Whitehead,"$3,114,240",BRK,2025
12,Trendon Watford,"$2,726,603",BRK,2025
13,Keon Johnson,"$2,162,606",BRK,2025
14,Maxwell Lewis,"$1,891,857",BRK,2025
15,Jalen Wilson,"$1,891,857",BRK,2025
16,Tyrese Martin,"$635,853",BRK,2025
17,Killian Hayes,"$119,972",BRK,2025
18,Drew Timme,"$113,055",BRK,2025
19,Reece Beekman,,BRK,2025
20,Tyrese Martin,,BRK,2025
21,Yongxi Cui,,BRK,2025
22,Tosan Evbuomwan,,BRK,2025
23,Kendall Brown,,BRK,2025
24,Tyson Etienne,,BRK,2025
