Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Team,Season
1.0,Nic Claxton,26.0,C,69,68,1920,17.6,0.592,0.033,0.393,9.6,19.9,14.5,21.8,1.2,3.7,12.3,17.7,3.3,1.5,4.8,0.121,0.3,0.6,0.9,1.4,,BRK,2026
2.0,Noah Clowney,21.0,PF,66,60,1780,11.2,0.554,0.621,0.355,3.2,15.3,8.9,9.5,1.4,2.3,12.3,20.4,-0.1,1.2,1.1,0.029,-2.3,-1.1,-3.4,-0.6,,BRK,2026
3.0,Michael Porter Jr.,27.0,SF,52,52,1689,19.9,0.595,0.506,0.237,4.5,21.7,12.6,18.2,1.6,0.7,10.3,30.5,1.7,1.3,2.9,0.083,4.2,-1.2,3.0,2.1,,BRK,2026
4.0,Terance Mann,29.0,SG,63,51,1529,10.2,0.564,0.418,0.217,5.0,10.5,7.6,18.6,1.3,0.9,15.0,13.5,1.2,0.6,1.8,0.056,-2.7,-0.7,-3.4,-0.6,,BRK,2026
5.0,Drake Powell,20.0,SG,63,24,1320,7.3,0.521,0.508,0.215,1.8,8.4,4.9,10.3,1.3,1.0,13.3,14.9,-0.5,0.5,-0.1,-0.003,-4.6,-1.3,-6.0,-1.3,,BRK,2026
6.0,Egor DÑmin,19.0,PG,52,45,1308,11.3,0.561,0.717,0.145,1.8,13.5,7.3,20.7,1.6,1.2,15.3,18.8,0.1,0.7,0.9,0.032,-0.9,-0.7,-1.6,0.1,,BRK,2026
7.0,Ziaire Williams,24.0,SF,56,13,1281,12.4,0.579,0.58,0.323,2.6,10.0,6.1,7.4,2.9,1.5,10.7,18.9,0.5,1.1,1.6,0.059,-2.0,0.4,-1.7,0.1,,BRK,2026
8.0,Nolan TraorÃ©,19.0,PG,56,31,1243,7.9,0.479,0.401,0.196,1.2,8.4,4.6,27.2,1.8,1.7,19.9,22.8,-2.3,0.6,-1.6,-0.063,-4.8,-2.0,-6.8,-1.5,,BRK,2026
9.0,Danny Wolf,21.0,PF,57,15,1187,12.3,0.521,0.48,0.248,5.3,23.2,13.8,17.1,1.2,2.5,13.0,20.6,-0.2,1.0,0.8,0.032,-2.2,-0.3,-2.5,-0.2,,BRK,2026
10.0,Day'Ron Sharpe,24.0,C,62,7,1160,20.5,0.638,0.11,0.427,16.2,25.7,20.7,21.1,2.9,2.1,20.0,19.9,2.0,1.5,3.5,0.144,0.4,1.0,1.4,1.0,,BRK,2026
11.0,Ben Saraf,19.0,SG,44,11,916,7.8,0.486,0.297,0.29,2.4,9.7,5.8,24.5,2.1,0.8,22.5,21.0,-1.6,0.5,-1.1,-0.057,-5.6,-1.7,-7.3,-1.2,,BRK,2026
12.0,Jalen Wilson,25.0,PF,54,2,859,8.7,0.536,0.547,0.345,2.2,13.9,7.7,9.0,1.3,0.2,10.6,18.2,-0.2,0.4,0.2,0.012,-3.6,-2.1,-5.6,-0.8,,BRK,2026
13.0,Tyrese Martin,26.0,SG,37,6,696,10.8,0.507,0.596,0.102,5.1,13.1,8.9,15.6,1.6,0.5,11.0,18.8,-0.2,0.3,0.2,0.013,-1.5,-1.5,-3.1,-0.2,,BRK,2026
14.0,Cam Thomas,24.0,SG,24,8,582,12.3,0.527,0.38,0.351,1.7,7.2,4.3,22.5,0.3,0.3,11.9,30.3,-0.3,0.0,-0.3,-0.022,-0.8,-4.2,-5.1,-0.4,,BRK,2026
15.0,Tyson Etienne,26.0,PG,24,2,380,11.9,0.588,0.745,0.248,1.4,7.1,4.1,16.9,1.4,0.0,9.0,20.3,0.4,0.1,0.5,0.069,-0.8,-2.0,-2.8,-0.1,,BRK,2026
16.0,Malachi Smith,26.0,SG,15,4,359,13.7,0.605,0.465,0.081,3.7,13.4,8.3,21.2,1.7,1.0,12.0,14.2,0.5,0.2,0.7,0.094,-0.1,-0.8,-0.8,0.1,,BRK,2026
17.0,E.J. Liddell,25.0,PF,26,5,349,12.6,0.6,0.468,0.234,4.4,19.4,11.5,11.0,0.9,2.7,10.9,17.2,0.3,0.2,0.5,0.074,-2.2,-1.2,-3.3,-0.1,,BRK,2026
18.0,Chaney Johnson,23.0,SF,17,1,348,16.0,0.635,0.319,0.372,10.4,16.3,13.2,16.4,2.1,2.4,15.5,16.2,0.6,0.3,0.9,0.128,-0.3,0.4,0.1,0.2,,BRK,2026
19.0,Ochai Agbaji,25.0,SG,20,0,323,11.7,0.572,0.573,0.127,4.4,12.6,8.3,8.5,1.1,1.7,9.4,17.3,0.1,0.1,0.3,0.042,-1.0,-1.7,-2.7,-0.1,,BRK,2026
20.0,Josh Minott,23.0,SF,16,1,308,16.8,0.654,0.655,0.302,2.9,12.8,7.5,7.1,3.2,3.6,14.9,21.9,0.2,0.3,0.5,0.08,2.3,0.7,3.0,0.4,,BRK,2026
21.0,Tre Scott,29.0,PF,6,4,182,9.4,0.456,0.38,0.12,6.1,14.2,9.9,8.2,2.2,2.6,7.1,13.6,-0.1,0.1,0.1,0.025,-4.2,-1.1,-5.3,-0.2,,BRK,2026
22.0,Grant Nelson,23.0,PF,4,0,35,17.6,0.634,0.0,1.111,3.1,17.6,10.0,22.5,1.4,13.3,23.0,21.7,0.0,0.1,0.1,0.098,-2.6,4.8,2.2,0.0,,BRK,2026
,Team Totals,,,82,82,19754,,0.559,0.455,0.272,,,,,,,,,5.6,12.7,18.3,0.045,-1.5,-0.8,-2.4,-1.8,,BRK,2026
