Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards,Team,Season
1.0,Nic Claxton,26.0,C,69,68,1920,0,0,0,0,100,-13.2,-5.4,35,28,57,20,113,8,616,31,45,,BRK,2026
2.0,Noah Clowney,21.0,PF,66,60,1780,0,0,15,81,4,-8.9,2.7,37,41,84,14,96,15,271,14,39,,BRK,2026
3.0,Michael Porter Jr.,27.0,SF,52,52,1689,0,3,76,21,0,-7.1,5.9,52,34,52,19,107,2,369,37,38,,BRK,2026
4.0,Terance Mann,29.0,SG,63,51,1529,9,61,29,1,0,-8.9,2.5,44,22,67,1,38,14,470,5,22,,BRK,2026
5.0,Drake Powell,20.0,SG,63,24,1320,45,43,12,0,0,-15.8,-8.1,29,19,47,2,32,3,235,4,26,,BRK,2026
6.0,Egor DÑmin,19.0,PG,52,45,1308,76,25,0,0,0,-7.3,4.7,51,23,62,4,18,5,439,1,16,,BRK,2026
7.0,Ziaire Williams,24.0,SF,56,13,1281,1,22,63,12,3,-10.1,0.5,28,21,58,2,63,16,139,14,20,,BRK,2026
8.0,Nolan TraorÃ©,19.0,PG,56,31,1243,97,3,0,0,0,-10.8,-0.6,70,45,74,3,40,4,542,7,36,,BRK,2026
9.0,Danny Wolf,21.0,PF,57,15,1187,0,0,0,78,22,-10.5,-0.1,41,22,87,6,51,1,305,6,32,,BRK,2026
10.0,Day'Ron Sharpe,24.0,C,62,7,1160,0,0,0,0,100,-5.6,6.8,33,29,51,31,68,3,356,14,33,,BRK,2026
11.0,Ben Saraf,19.0,SG,44,11,916,16,48,30,6,0,-13.4,-4.0,50,35,44,4,38,5,356,7,48,,BRK,2026
12.0,Jalen Wilson,25.0,PF,54,2,859,0,1,28,62,9,-10.5,-0.2,17,13,48,4,44,6,127,8,18,,BRK,2026
13.0,Tyrese Martin,26.0,SG,37,6,696,8,65,27,0,0,-12.4,-2.4,17,12,12,0,13,1,167,4,8,,BRK,2026
14.0,Cam Thomas,24.0,SG,24,8,582,41,59,0,0,0,-12.5,-2.4,23,18,16,3,41,5,185,11,18,,BRK,2026
15.0,Tyson Etienne,26.0,PG,24,2,380,100,0,0,0,0,-13.8,-3.8,4,4,17,2,15,5,98,4,4,,BRK,2026
16.0,Malachi Smith,26.0,SG,15,4,359,29,68,3,0,0,-12.1,-1.9,4,7,11,0,5,3,121,4,5,,BRK,2026
17.0,E.J. Liddell,25.0,PF,26,5,349,0,0,2,48,51,-6.8,3.9,6,4,21,5,11,2,63,3,7,,BRK,2026
18.0,Chaney Johnson,23.0,SF,17,1,348,0,8,42,47,3,-11.2,-0.8,6,5,28,8,14,2,90,1,7,,BRK,2026
19.0,Ochai Agbaji,25.0,SG,20,0,323,23,55,23,0,0,-11.1,-0.8,9,1,12,1,7,1,41,1,6,,BRK,2026
20.0,Josh Minott,23.0,SF,16,1,308,0,25,24,33,17,-9.0,1.5,12,6,6,2,17,2,29,5,3,,BRK,2026
21.0,Tre Scott,29.0,PF,6,4,182,0,0,0,0,100,-18.2,-8.2,4,0,7,0,4,0,25,2,3,,BRK,2026
22.0,Grant Nelson,23.0,PF,4,0,35,0,0,0,85,15,-12.0,-1.6,3,1,4,0,4,0,12,0,2,,BRK,2026
,Team Totals,,,82,82,19754,20,20,20,20,20,-10.4,0.1,575,390,865,131,839,103,5056,183,436,,BRK,2026
