Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Team,Season
1.0,Michael Porter Jr.,27.0,SF,52,52,32.5,8.5,18.4,0.463,3.4,9.3,0.363,5.2,9.1,0.567,0.555,3.8,4.4,0.859,1.3,5.7,7.1,3.0,1.1,0.3,2.3,2.2,24.2,,BRK,2026
2.0,Tre Scott,29.0,PF,6,4,30.3,3.2,8.3,0.38,1.0,3.2,0.316,2.2,5.2,0.419,0.44,0.7,1.0,0.667,1.7,3.5,5.2,1.7,1.3,0.8,0.7,2.0,8.0,,BRK,2026
3.0,Nic Claxton,26.0,C,69,68,27.8,4.8,8.4,0.571,0.0,0.3,0.158,4.8,8.2,0.585,0.574,2.0,3.3,0.616,2.4,4.5,6.9,3.7,0.7,1.1,1.4,2.3,11.7,,BRK,2026
4.0,Noah Clowney,21.0,PF,66,60,27.0,3.8,9.6,0.396,2.0,5.9,0.329,1.8,3.6,0.506,0.498,2.7,3.4,0.804,0.8,3.3,4.1,1.6,0.8,0.7,1.5,2.5,12.3,,BRK,2026
5.0,Egor DÑmin,19.0,PG,52,45,25.2,3.4,8.6,0.399,2.4,6.2,0.385,1.1,2.4,0.433,0.537,1.0,1.3,0.831,0.4,2.8,3.2,3.3,0.8,0.3,1.7,1.8,10.3,,BRK,2026
6.0,Terance Mann,29.0,SG,63,51,24.3,2.7,5.8,0.457,0.9,2.4,0.364,1.8,3.4,0.523,0.533,1.0,1.3,0.788,1.1,2.1,3.2,3.0,0.7,0.2,1.1,2.5,7.2,,BRK,2026
7.0,Cam Thomas,24.0,SG,24,8,24.3,5.1,12.8,0.399,1.6,4.9,0.325,3.5,8.0,0.445,0.461,3.8,4.5,0.843,0.4,1.4,1.8,3.1,0.2,0.1,2.0,1.3,15.6,,BRK,2026
8.0,Malachi Smith,26.0,SG,15,4,23.9,3.2,6.6,0.485,1.3,3.1,0.435,1.9,3.5,0.528,0.586,0.5,0.5,1.0,0.8,2.6,3.4,3.3,0.8,0.3,0.9,0.9,8.3,,BRK,2026
9.0,Ziaire Williams,24.0,SF,56,13,22.9,3.3,7.7,0.425,1.5,4.5,0.343,1.8,3.3,0.538,0.524,2.1,2.5,0.85,0.5,1.9,2.4,1.1,1.4,0.4,1.1,2.1,10.2,,BRK,2026
10.0,Nolan TraorÃ©,19.0,PG,56,31,22.2,3.3,8.6,0.38,1.1,3.4,0.318,2.2,5.1,0.422,0.444,1.3,1.7,0.787,0.3,1.5,1.8,3.8,0.8,0.4,2.3,2.1,8.9,,BRK,2026
11.0,Drake Powell,20.0,SG,63,24,21.0,2.3,5.7,0.402,0.8,2.9,0.28,1.5,2.8,0.528,0.473,1.1,1.2,0.896,0.3,1.4,1.8,1.4,0.6,0.2,1.0,1.4,6.5,,BRK,2026
12.0,Danny Wolf,21.0,PF,57,15,20.8,3.1,7.7,0.405,1.2,3.7,0.322,1.9,4.0,0.48,0.482,1.5,1.9,0.771,1.0,3.9,4.9,2.2,0.5,0.6,1.3,2.2,8.9,,BRK,2026
13.0,Ben Saraf,19.0,SG,44,11,20.8,2.7,6.9,0.396,0.4,2.0,0.211,2.3,4.8,0.474,0.427,1.7,2.0,0.83,0.5,1.6,2.1,3.3,0.9,0.2,2.3,1.8,7.5,,BRK,2026
14.0,Chaney Johnson,23.0,SF,17,1,20.5,3.0,5.5,0.543,0.5,1.8,0.3,2.5,3.8,0.656,0.59,1.6,2.1,0.8,1.9,2.7,4.6,2.1,0.9,0.5,1.2,3.0,8.2,,BRK,2026
15.0,Josh Minott,23.0,SF,16,1,19.3,3.6,7.3,0.491,1.9,4.8,0.395,1.7,2.5,0.675,0.621,1.8,2.2,0.8,0.5,2.0,2.5,0.8,1.3,0.8,1.4,1.4,10.8,,BRK,2026
16.0,Tyrese Martin,26.0,SG,37,6,18.8,2.7,6.9,0.392,1.4,4.1,0.336,1.3,2.8,0.476,0.492,0.5,0.7,0.731,0.9,2.0,2.9,1.9,0.6,0.1,0.9,0.8,7.3,,BRK,2026
17.0,Day'Ron Sharpe,24.0,C,62,7,18.7,3.5,5.7,0.601,0.1,0.6,0.231,3.3,5.1,0.647,0.614,1.7,2.5,0.678,2.8,3.9,6.7,2.3,1.1,0.4,1.7,2.4,8.7,,BRK,2026
18.0,Ochai Agbaji,25.0,SG,20,0,16.2,2.5,5.5,0.455,1.1,3.2,0.349,1.4,2.4,0.596,0.555,0.6,0.7,0.786,0.7,1.7,2.3,0.9,0.4,0.3,0.6,0.9,6.7,,BRK,2026
19.0,Jalen Wilson,25.0,PF,54,2,15.9,2.0,5.1,0.396,1.0,2.8,0.355,1.0,2.3,0.444,0.493,1.3,1.8,0.719,0.3,1.8,2.1,0.9,0.4,0.0,0.7,1.6,6.4,,BRK,2026
20.0,Tyson Etienne,26.0,PG,24,2,15.8,2.4,6.0,0.4,1.8,4.5,0.398,0.6,1.5,0.405,0.548,1.3,1.5,0.833,0.2,0.9,1.1,1.7,0.5,0.0,0.7,2.0,7.9,,BRK,2026
21.0,E.J. Liddell,25.0,PF,26,5,13.4,2.1,4.3,0.486,0.7,2.0,0.346,1.4,2.3,0.61,0.568,0.8,1.0,0.808,0.5,2.1,2.7,0.9,0.2,0.4,0.6,1.7,5.7,,BRK,2026
22.0,Grant Nelson,23.0,PF,4,0,8.8,1.3,2.3,0.556,0.0,0.0,,1.3,2.3,0.556,0.556,1.8,2.5,0.7,0.3,1.3,1.5,1.3,0.3,1.3,1.0,1.5,4.3,,BRK,2026
,Team Totals,,,82,82,240.9,37.5,84.5,0.443,13.1,38.4,0.34,24.4,46.1,0.528,0.52,17.9,23.0,0.78,10.3,29.0,39.3,25.0,8.0,4.3,15.8,21.1,105.9,,BRK,2026
