Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards,Team,Season
1.0,DeMar DeRozan,32.0,PF,76,76,2743,0,0,11,81,8,1.2,5.1,86,61,89,18,287,12,948,74,84,"MVP-10,AS,NBA2",CHI,2022
2.0,Nikola VuÄeviÄ,31.0,C,73,73,2418,0,0,0,0,100,-1.8,-3.7,61,43,122,18,51,4,587,15,46,,CHI,2022
3.0,Zach LaVine,26.0,SG,67,67,2328,1,50,48,2,0,-0.6,-0.7,69,69,61,14,154,1,702,35,61,AS,CHI,2022
4.0,Ayo Dosunmu,22.0,SG,77,40,2110,25,63,12,0,0,-4.4,-8.7,62,25,81,6,35,5,578,12,35,,CHI,2022
5.0,Coby White,21.0,PG,61,17,1675,99,1,0,0,0,-1.0,-1.2,35,18,71,11,40,10,401,6,27,,CHI,2022
6.0,Javonte Green,28.0,SF,65,45,1519,0,13,68,19,0,1.8,3.4,9,10,68,5,47,12,143,8,17,,CHI,2022
7.0,Lonzo Ball,24.0,PG,35,35,1212,82,18,0,0,0,2.8,4.5,57,15,41,7,13,4,408,5,18,,CHI,2022
8.0,Alex Caruso,27.0,SG,41,18,1147,36,60,4,0,0,4.9,7.4,39,14,54,2,30,30,383,7,18,,CHI,2022
9.0,Troy Brown Jr.,22.0,SF,66,7,1055,0,11,57,32,0,-1.4,-1.4,14,8,33,1,14,4,160,5,25,,CHI,2022
10.0,Derrick Jones Jr.,24.0,PF,51,8,899,0,1,44,46,10,2.2,3.3,7,8,54,9,35,6,75,10,20,,CHI,2022
11.0,Tony Bradley,24.0,C,55,7,549,0,0,0,0,100,7.8,9.5,5,11,28,17,16,4,66,3,18,,CHI,2022
12.0,Matt Thomas,27.0,SG,40,0,459,51,49,1,0,0,2.6,3.3,4,1,8,0,6,1,48,1,5,,CHI,2022
13.0,Patrick Williams,20.0,PF,17,9,422,0,0,0,89,11,-7.2,-7.7,9,6,15,0,18,4,36,4,7,,CHI,2022
14.0,Tristan Thompson,30.0,C,23,3,376,0,0,0,7,93,0.7,1.1,1,3,22,5,20,0,32,4,9,,CHI,2022
15.0,Alfonzo McKinnie,29.0,SF,17,3,206,0,6,47,47,0,-12.7,-13.0,2,1,14,1,3,1,10,0,4,,CHI,2022
16.0,Tyler Cook,24.0,PF,20,2,200,0,0,0,25,75,-7.9,-7.9,1,1,15,5,14,8,8,1,6,,CHI,2022
17.0,Malcolm Hill,26.0,SF,16,0,166,0,5,63,32,0,-10.5,-10.7,1,1,7,0,4,2,16,1,2,,CHI,2022
18.0,Alize Johnson,25.0,PF,16,0,121,0,0,4,20,76,-21.8,-22.1,0,4,10,3,4,0,20,1,3,,CHI,2022
19.0,Devon Dotson,22.0,PG,11,0,85,100,0,0,0,0,0.2,0.5,3,0,4,1,3,2,38,1,2,,CHI,2022
20.0,Marko Simonovic,22.0,C,9,0,35,0,0,0,8,92,9.3,9.7,0,0,3,0,3,0,0,1,3,,CHI,2022
21.0,Mac McClung,23.0,PG,1,0,3,0,100,0,0,0,-60.0,-59.7,1,0,0,0,0,0,0,0,0,,CHI,2022
22.0,Jordan Bell,27.0,C,1,0,2,0,0,0,0,100,25.0,25.3,0,0,2,0,0,0,0,0,0,,CHI,2022
,Team Totals,,,82,82,19730,20,20,20,20,20,-0.3,-0.1,466,299,802,123,797,110,4659,194,410,,CHI,2022
