No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
21,Patrick Beverley,PG,6-2,180,"July 12, 1988",us US,10,Arkansas,CHI,2023
13,Tony Bradley,C,6-10,248,"January 8, 1998",us US,5,UNC,CHI,2023
6,Alex Caruso,PG,6-5,186,"February 28, 1994",us US,5,Texas A&M,CHI,2023
11,DeMar DeRozan,SF,6-6,220,"August 7, 1989",us US,13,USC,CHI,2023
12,Ayo Dosunmu,SG,6-4,200,"January 17, 2000",us US,1,Illinois,CHI,2023
7,Goran DragiÄ,PG,6-4,190,"May 6, 1986",si SI,14,,CHI,2023
3,Andre Drummond,C,6-11,279,"August 10, 1993",us US,10,UConn,CHI,2023
24,Javonte Green,SF,6-5,205,"July 23, 1993",us US,3,Radford,CHI,2023
21,Malcolm Hill,SF,6-6,220,"October 26, 1995",us US,1,Illinois,CHI,2023
22,Carlik Jones,PG,6-0,174,"December 23, 1997",us US,1,"Radford, Louisville",CHI,2023
5,Derrick Jones Jr.,PF,6-6,210,"February 15, 1997",us US,6,UNLV,CHI,2023
8,Zach LaVine,SG,6-5,200,"March 10, 1995",us US,8,UCLA,CHI,2023
19,Marko Simonovic,C,7-0,220,"October 15, 1999",me ME,1,,CHI,2023
32,Terry Taylor,PF,6-5,230,"September 23, 1999",us US,1,Austin Peay State University,CHI,2023
25,Dalen Terry,SG,6-6,195,"July 12, 2002",us US,R,Arizona,CHI,2023
9,Nikola VuÄeviÄ,C,6-9,260,"October 24, 1990",ch CH,11,USC,CHI,2023
0,Coby White,SG,6-4,195,"February 16, 2000",us US,3,UNC,CHI,2023
44,Patrick Williams,PF,6-6,215,"August 26, 2001",us US,2,Florida State,CHI,2023
