Rk,Unnamed: 1,Salary,Team,Season
1,Lonzo Ball,"$21,395,348",CHI,2025
2,Nikola VuÄeviÄ,"$20,000,000",CHI,2025
3,Patrick Williams,"$18,000,000",CHI,2025
4,Kevin Huerter,"$16,830,357",CHI,2025
5,Zach Collins,"$16,741,200",CHI,2025
6,Coby White,"$12,000,000",CHI,2025
7,Tre Jones,"$9,104,167",CHI,2025
8,Jalen Smith,"$8,571,429",CHI,2025
9,Josh Giddey,"$8,352,367",CHI,2025
10,Ayo Dosunmu,"$7,000,000",CHI,2025
11,Jevon Carter,"$6,500,000",CHI,2025
12,Chris Duarte,"$5,893,768",CHI,2025
13,Matas Buzelis,"$5,195,520",CHI,2025
14,Dalen Terry,"$3,510,480",CHI,2025
15,Torrey Craig,"$2,845,342",CHI,2025
16,Talen Horton-Tucker,"$2,087,519",CHI,2025
17,Julian Phillips,"$1,891,857",CHI,2025
18,Adama Sanogo,,CHI,2025
19,DJ Steward,,CHI,2025
20,E.J. Liddell,,CHI,2025
21,Emanuel Miller,,CHI,2025
22,Jahmir Young,,CHI,2025
