G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Team,Season
1,"Wed, Oct 20, 2021",7:00p,,Box Score,,Indiana Pacers,W,,123,122,1,0,W 1,15521,2:20,,CHO,2022
2,"Fri, Oct 22, 2021",7:00p,,Box Score,@,Cleveland Cavaliers,W,,123,112,2,0,W 2,17116,2:05,,CHO,2022
3,"Sun, Oct 24, 2021",4:00p,,Box Score,@,Brooklyn Nets,W,,111,95,3,0,W 3,17732,2:02,,CHO,2022
4,"Mon, Oct 25, 2021",7:00p,,Box Score,,Boston Celtics,L,OT,129,140,3,1,L 1,17238,2:29,,CHO,2022
5,"Wed, Oct 27, 2021",7:00p,,Box Score,@,Orlando Magic,W,,120,111,4,1,W 1,14082,2:11,,CHO,2022
6,"Fri, Oct 29, 2021",7:30p,,Box Score,@,Miami Heat,L,,99,114,4,2,L 1,19600,2:18,,CHO,2022
7,"Sun, Oct 31, 2021",7:00p,,Box Score,,Portland Trail Blazers,W,,125,113,5,2,W 1,14960,2:03,,CHO,2022
8,"Mon, Nov 1, 2021",7:00p,,Box Score,,Cleveland Cavaliers,L,,110,113,5,3,L 1,13889,2:15,,CHO,2022
9,"Wed, Nov 3, 2021",10:00p,,Box Score,@,Golden State Warriors,L,,92,114,5,4,L 2,18064,2:16,,CHO,2022
10,"Fri, Nov 5, 2021",10:00p,,Box Score,@,Sacramento Kings,L,,110,140,5,5,L 3,14905,2:07,,CHO,2022
11,"Sun, Nov 7, 2021",9:00p,,Box Score,@,Los Angeles Clippers,L,,106,120,5,6,L 4,15781,2:25,,CHO,2022
12,"Mon, Nov 8, 2021",10:30p,,Box Score,@,Los Angeles Lakers,L,OT,123,126,5,7,L 5,18997,2:44,,CHO,2022
13,"Wed, Nov 10, 2021",8:00p,,Box Score,@,Memphis Grizzlies,W,,118,108,6,7,W 1,13880,2:09,,CHO,2022
14,"Fri, Nov 12, 2021",7:00p,,Box Score,,New York Knicks,W,,104,96,7,7,W 2,19257,2:15,,CHO,2022
15,"Sun, Nov 14, 2021",7:00p,,Box Score,,Golden State Warriors,W,,106,102,8,7,W 3,19559,2:14,,CHO,2022
16,"Wed, Nov 17, 2021",7:00p,,Box Score,,Washington Wizards,W,,97,87,9,7,W 4,14402,1:59,,CHO,2022
17,"Fri, Nov 19, 2021",7:00p,,Box Score,,Indiana Pacers,W,,121,118,10,7,W 5,16787,2:27,,CHO,2022
18,"Sat, Nov 20, 2021",7:30p,,Box Score,@,Atlanta Hawks,L,,105,115,10,8,L 1,17320,2:08,,CHO,2022
19,"Mon, Nov 22, 2021",7:00p,,Box Score,@,Washington Wizards,W,,109,103,11,8,W 1,16575,2:18,,CHO,2022
20,"Wed, Nov 24, 2021",7:00p,,Box Score,@,Orlando Magic,W,,106,99,12,8,W 2,16114,2:04,,CHO,2022
21,"Fri, Nov 26, 2021",7:00p,,Box Score,,Minnesota Timberwolves,W,,133,115,13,8,W 3,19314,2:04,,CHO,2022
22,"Sat, Nov 27, 2021",8:00p,,Box Score,@,Houston Rockets,L,OT,143,146,13,9,L 1,14687,2:43,,CHO,2022
23,"Mon, Nov 29, 2021",8:00p,,Box Score,@,Chicago Bulls,L,,119,133,13,10,L 2,21366,2:06,,CHO,2022
24,"Wed, Dec 1, 2021",8:00p,,Box Score,@,Milwaukee Bucks,L,,125,127,13,11,L 3,17341,2:23,,CHO,2022
25,"Sun, Dec 5, 2021",6:00p,,Box Score,@,Atlanta Hawks,W,,130,127,14,11,W 1,16383,2:06,,CHO,2022
26,"Mon, Dec 6, 2021",7:00p,,Box Score,,Philadelphia 76ers,L,OT,124,127,14,12,L 1,14462,2:29,,CHO,2022
27,"Wed, Dec 8, 2021",7:00p,,Box Score,,Philadelphia 76ers,L,,106,110,14,13,L 2,15709,2:30,,CHO,2022
28,"Fri, Dec 10, 2021",7:00p,,Box Score,,Sacramento Kings,W,,124,123,15,13,W 1,16335,2:15,,CHO,2022
29,"Mon, Dec 13, 2021",8:30p,,Box Score,@,Dallas Mavericks,L,,96,120,15,14,L 1,19213,2:05,,CHO,2022
30,"Wed, Dec 15, 2021",8:30p,,Box Score,@,San Antonio Spurs,W,,131,115,16,14,W 1,14354,2:05,,CHO,2022
31,"Fri, Dec 17, 2021",10:00p,,Box Score,@,Portland Trail Blazers,L,,116,125,16,15,L 1,18399,2:08,,CHO,2022
32,"Sun, Dec 19, 2021",8:00p,,Box Score,@,Phoenix Suns,L,,106,137,16,16,L 2,17071,2:03,,CHO,2022
33,"Mon, Dec 20, 2021",9:00p,,Box Score,@,Utah Jazz,L,,102,112,16,17,L 3,18306,2:10,,CHO,2022
34,"Thu, Dec 23, 2021",9:00p,,Box Score,@,Denver Nuggets,W,,115,107,17,17,W 1,17003,2:11,,CHO,2022
35,"Mon, Dec 27, 2021",7:00p,,Box Score,,Houston Rockets,W,,123,99,18,17,W 2,19349,2:00,,CHO,2022
36,"Wed, Dec 29, 2021",7:00p,,Box Score,@,Indiana Pacers,W,,116,108,19,17,W 3,17608,2:21,,CHO,2022
37,"Sun, Jan 2, 2022",7:00p,,Box Score,,Phoenix Suns,L,,99,133,19,18,L 1,19088,2:05,,CHO,2022
38,"Mon, Jan 3, 2022",7:00p,,Box Score,@,Washington Wizards,L,,121,124,19,19,L 2,8902,2:13,,CHO,2022
39,"Wed, Jan 5, 2022",7:00p,,Box Score,,Detroit Pistons,W,,140,111,20,19,W 1,14427,2:06,,CHO,2022
40,"Sat, Jan 8, 2022",7:00p,,Box Score,,Milwaukee Bucks,W,,114,106,21,19,W 2,19139,2:23,,CHO,2022
41,"Mon, Jan 10, 2022",7:00p,,Box Score,,Milwaukee Bucks,W,,103,99,22,19,W 3,14253,2:16,,CHO,2022
42,"Wed, Jan 12, 2022",7:00p,,Box Score,@,Philadelphia 76ers,W,,109,98,23,19,W 4,20317,2:11,,CHO,2022
43,"Fri, Jan 14, 2022",7:00p,,Box Score,,Orlando Magic,L,,109,116,23,20,L 1,16011,2:14,,CHO,2022
44,"Mon, Jan 17, 2022",1:00p,,Box Score,@,New York Knicks,W,,97,87,24,20,W 1,19812,2:00,,CHO,2022
45,"Wed, Jan 19, 2022",7:30p,,Box Score,@,Boston Celtics,W,,111,102,25,20,W 2,19156,2:18,,CHO,2022
46,"Fri, Jan 21, 2022",7:00p,,Box Score,,Oklahoma City Thunder,W,,121,98,26,20,W 3,15835,2:05,,CHO,2022
47,"Sun, Jan 23, 2022",7:00p,,Box Score,,Atlanta Hawks,L,,91,113,26,21,L 1,15822,2:16,,CHO,2022
48,"Tue, Jan 25, 2022",7:00p,,Box Score,@,Toronto Raptors,L,,113,125,26,22,L 2,,2:15,,CHO,2022
49,"Wed, Jan 26, 2022",7:00p,,Box Score,@,Indiana Pacers,W,,158,126,27,22,W 1,14116,2:24,,CHO,2022
50,"Fri, Jan 28, 2022",7:30p,,Box Score,,Los Angeles Lakers,W,,117,114,28,22,W 2,19469,2:36,,CHO,2022
51,"Sun, Jan 30, 2022",1:00p,,Box Score,,Los Angeles Clippers,L,,90,115,28,23,L 1,18674,2:14,,CHO,2022
52,"Wed, Feb 2, 2022",7:30p,,Box Score,@,Boston Celtics,L,,107,113,28,24,L 2,19156,2:13,,CHO,2022
53,"Fri, Feb 4, 2022",7:00p,,Box Score,,Cleveland Cavaliers,L,,101,102,28,25,L 3,17733,2:16,,CHO,2022
54,"Sat, Feb 5, 2022",7:00p,,Box Score,,Miami Heat,L,,86,104,28,26,L 4,19420,2:00,,CHO,2022
55,"Mon, Feb 7, 2022",7:00p,,Box Score,,Toronto Raptors,L,,101,116,28,27,L 5,14102,2:09,,CHO,2022
56,"Wed, Feb 9, 2022",7:30p,,Box Score,,Chicago Bulls,L,,109,121,28,28,L 6,19099,2:12,,CHO,2022
57,"Fri, Feb 11, 2022",7:00p,,Box Score,@,Detroit Pistons,W,,141,119,29,28,W 1,20088,2:08,,CHO,2022
58,"Sat, Feb 12, 2022",7:00p,,Box Score,,Memphis Grizzlies,L,,118,125,29,29,L 1,19454,2:33,,CHO,2022
59,"Tue, Feb 15, 2022",8:00p,,Box Score,@,Minnesota Timberwolves,L,OT,120,126,29,30,L 2,17136,2:48,,CHO,2022
60,"Thu, Feb 17, 2022",7:00p,,Box Score,,Miami Heat,L,2OT,107,111,29,31,L 3,17029,2:52,,CHO,2022
61,"Fri, Feb 25, 2022",7:00p,,Box Score,,Toronto Raptors,W,,125,93,30,31,W 1,17577,1:59,,CHO,2022
62,"Sun, Feb 27, 2022",7:00p,,Box Score,,Detroit Pistons,L,OT,126,127,30,32,L 1,15348,2:42,,CHO,2022
63,"Mon, Feb 28, 2022",8:00p,,Box Score,@,Milwaukee Bucks,L,,106,130,30,33,L 2,17341,2:25,,CHO,2022
64,"Wed, Mar 2, 2022",7:00p,,Box Score,@,Cleveland Cavaliers,W,,119,98,31,33,W 1,19019,2:10,,CHO,2022
65,"Sat, Mar 5, 2022",7:00p,,Box Score,,San Antonio Spurs,W,,123,117,32,33,W 2,18941,2:09,,CHO,2022
66,"Tue, Mar 8, 2022",7:00p,,Box Score,,Brooklyn Nets,L,,121,132,32,34,L 1,17230,2:13,,CHO,2022
67,"Wed, Mar 9, 2022",7:00p,,Box Score,,Boston Celtics,L,,101,115,32,35,L 2,18086,2:07,,CHO,2022
68,"Fri, Mar 11, 2022",8:00p,,Box Score,@,New Orleans Pelicans,W,,142,120,33,35,W 1,16838,2:09,,CHO,2022
69,"Mon, Mar 14, 2022",8:00p,,Box Score,@,Oklahoma City Thunder,W,,134,116,34,35,W 2,15810,2:08,,CHO,2022
70,"Wed, Mar 16, 2022",7:00p,,Box Score,,Atlanta Hawks,W,,116,106,35,35,W 3,16648,2:06,,CHO,2022
71,"Sat, Mar 19, 2022",7:00p,,Box Score,,Dallas Mavericks,W,,129,108,36,35,W 4,19279,2:10,,CHO,2022
72,"Mon, Mar 21, 2022",7:00p,,Box Score,,New Orleans Pelicans,W,,106,103,37,35,W 5,13351,2:10,,CHO,2022
73,"Wed, Mar 23, 2022",7:00p,,Box Score,,New York Knicks,L,,106,121,37,36,L 1,16290,2:03,,CHO,2022
74,"Fri, Mar 25, 2022",7:00p,,Box Score,,Utah Jazz,W,,107,101,38,36,W 1,19162,2:11,,CHO,2022
75,"Sun, Mar 27, 2022",7:30p,,Box Score,@,Brooklyn Nets,W,,119,110,39,36,W 2,18166,2:15,,CHO,2022
76,"Mon, Mar 28, 2022",7:00p,,Box Score,,Denver Nuggets,L,,109,113,39,37,L 1,17614,2:22,,CHO,2022
77,"Wed, Mar 30, 2022",7:30p,,Box Score,@,New York Knicks,W,,125,114,40,37,W 1,19812,2:16,,CHO,2022
78,"Sat, Apr 2, 2022",12:30p,,Box Score,@,Philadelphia 76ers,L,,114,144,40,38,L 1,21509,2:06,,CHO,2022
79,"Tue, Apr 5, 2022",7:30p,,Box Score,@,Miami Heat,L,,115,144,40,39,L 2,19600,2:10,,CHO,2022
80,"Thu, Apr 7, 2022",7:00p,,Box Score,,Orlando Magic,W,,128,101,41,39,W 1,16427,2:18,,CHO,2022
81,"Fri, Apr 8, 2022",8:00p,,Box Score,@,Chicago Bulls,W,,133,117,42,39,W 2,21461,2:02,,CHO,2022
82,"Sun, Apr 10, 2022",3:30p,,Box Score,,Washington Wizards,W,,124,108,43,39,W 3,18465,2:10,,CHO,2022
83,"Wed, Apr 13, 2022",7:00p,,Box Score,@,Atlanta Hawks,L,,103,132,43,40,L 1,18137,2:20,Play-In Game,CHO,2022
