Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards,Team,Season
1.0,Miles Bridges,26.0,PF,64,64,2029,0,0,11,79,9,-6.3,6.4,68,54,50,7,128,7,590,37,72,,CHO,2025
2.0,Josh Green,24.0,SG,68,67,1887,1,50,45,4,0,-9.3,0.1,42,11,65,13,31,21,262,5,26,,CHO,2025
3.0,LaMelo Ball,23.0,PG,47,47,1505,88,12,0,0,0,-5.4,6.6,86,39,50,21,95,9,835,20,43,,CHO,2025
4.0,Nick Smith Jr.,20.0,SG,60,27,1369,17,73,11,0,0,-15.0,-8.6,52,23,43,2,15,4,348,3,23,,CHO,2025
5.0,Tidjane SalaÃ¼n,19.0,PF,60,10,1244,0,0,6,84,10,-13.1,-5.4,19,21,44,10,39,7,179,6,29,,CHO,2025
6.0,Moussa DiabatÃ©,23.0,C,71,8,1241,0,0,0,9,91,-3.4,8.6,25,18,49,9,51,7,142,12,24,,CHO,2025
7.0,Mark Williams,23.0,C,44,41,1171,0,0,0,1,100,-13.1,-5.3,27,23,60,15,87,3,276,25,25,,CHO,2025
8.0,DaQuan Jeffries,27.0,SG,47,20,1071,0,9,67,24,1,-12.1,-3.7,18,11,70,1,14,2,129,2,17,,CHO,2025
9.0,Seth Curry,34.0,SG,68,14,1062,22,72,6,0,0,-8.8,0.8,16,13,26,1,16,5,149,6,7,,CHO,2025
10.0,Cody Martin,29.0,SF,39,8,967,0,26,64,10,1,-2.1,9.7,21,15,34,0,19,10,227,0,9,,CHO,2025
11.0,Brandon Miller,22.0,SF,27,27,924,0,0,74,23,3,-7.0,3.1,32,26,27,12,34,4,237,6,21,,CHO,2025
12.0,KJ Simpson,22.0,PG,36,15,842,100,0,0,0,0,-15.8,-8.2,26,17,27,4,22,11,273,6,18,,CHO,2025
13.0,Vasilije MiciÄ,31.0,PG,36,16,764,91,9,0,0,0,-8.4,1.2,43,21,23,2,16,8,293,4,23,,CHO,2025
14.0,Grant Williams,26.0,PF,16,7,479,0,0,8,84,8,0.9,11.7,7,12,24,7,13,7,98,1,6,,CHO,2025
15.0,Jusuf NurkiÄ,30.0,C,26,9,471,0,0,0,0,100,-12.7,-3.7,15,10,28,13,30,0,174,9,5,,CHO,2025
16.0,Nick Richards,27.0,C,21,9,440,0,0,0,0,100,-9.3,0.1,10,12,27,7,40,5,67,9,19,,CHO,2025
17.0,Taj Gibson,39.0,C,37,11,409,0,0,0,15,85,-15.5,-6.8,8,8,31,5,6,1,52,1,12,,CHO,2025
18.0,Damion Baugh,24.0,SG,15,2,370,16,68,16,1,0,-23.0,-15.1,25,3,8,1,7,1,134,1,9,,CHO,2025
19.0,Tre Mann,23.0,PG,13,0,319,100,0,0,0,0,-8.4,1.0,10,9,13,4,9,1,102,3,13,,CHO,2025
20.0,Wendell Moore Jr.,23.0,SG,16,0,280,1,14,61,24,0,-26.5,-18.4,12,6,11,0,5,0,48,2,7,,CHO,2025
21.0,Josh Okogie,26.0,SG,15,6,274,1,30,65,4,0,3.0,13.3,12,2,9,1,28,1,47,5,8,,CHO,2025
22.0,Isaiah Wong,24.0,SG,20,0,265,23,58,19,0,0,-1.7,8.2,10,5,12,1,17,3,68,2,13,,CHO,2025
23.0,Elfrid Payton,30.0,PG,6,2,123,94,6,0,0,0,-19.0,-9.9,6,1,5,0,0,0,49,0,2,,CHO,2025
24.0,Jaylen Sims,26.0,SG,6,0,112,11,52,30,7,0,-20.0,-10.9,5,2,3,1,7,1,30,0,1,,CHO,2025
25.0,Marcus Garrett,26.0,SG,4,0,79,0,60,40,0,0,-23.7,-14.6,3,0,6,0,0,0,30,0,3,,CHO,2025
26.0,Malachi Flynn,26.0,PG,4,0,44,100,0,0,0,0,3.8,13.4,2,2,3,0,3,0,16,1,0,,CHO,2025
27.0,Jared Rhoden,25.0,SG,4,0,12,0,0,100,0,0,32.0,41.5,0,1,0,0,0,0,5,0,0,,CHO,2025
,Team Totals,,,82,82,19753,20,20,20,20,20,-9.4,0.3,600,365,748,137,732,118,4860,166,435,,CHO,2025
