No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
1,LaMelo Ball,PG,6-7,180,"August 22, 2001",us US,4,,CHO,2025
7,Damion Baugh,SG,6-4,194,"August 3, 2000",us US,R,"Memphis, TCU",CHO,2025
0,Miles Bridges,PF,6-7,225,"March 21, 1998",us US,5,Michigan State,CHO,2025
30,Seth Curry,SG,6-1,185,"August 23, 1990",us US,10,"Liberty, Duke",CHO,2025
14,Moussa DiabatÃ©,C,6-10,210,"January 21, 2002",fr FR,2,Michigan,CHO,2025
22,Malachi Flynn,PG,6-1,185,"May 10, 1998",us US,4,"Washington State, San Diego State",CHO,2025
28,Marcus Garrett,SG,6-5,205,"November 9, 1998",us US,1,Kansas,CHO,2025
67,Taj Gibson,C,6-9,232,"June 24, 1985",us US,15,USC,CHO,2025
10,Josh Green,SG,6-6,200,"November 16, 2000",au AU,4,Arizona,CHO,2025
3,DaQuan Jeffries,SG,6-5,222,"August 30, 1997",us US,5,"Oral Roberts, Tulsa",CHO,2025
23,Tre Mann,PG,6-4,178,"February 3, 2001",us US,3,Florida,CHO,2025
11,Cody Martin,SF,6-6,205,"September 28, 1995",us US,5,"NC State, Nevada",CHO,2025
22,Vasilije MiciÄ,PG,6-3,188,"January 13, 1994",rs RS,1,,CHO,2025
24,Brandon Miller,SF,6-7,200,"November 22, 2002",us US,1,Alabama,CHO,2025
9,Wendell Moore Jr.,SG,6-5,215,"September 18, 2001",us US,2,Duke,CHO,2025
11,Jusuf NurkiÄ,C,6-11,290,"August 23, 1994",ba BA,10,,CHO,2025
12,Josh Okogie,SG,6-4,213,"September 1, 1998",ng NG,6,Georgia Tech,CHO,2025
22,Elfrid Payton,PG,6-3,195,"February 22, 1994",us US,8,Louisiana,CHO,2025
27,Jared Rhoden,SG,6-5,210,"August 27, 1999",us US,2,Seton Hall,CHO,2025
4,Nick Richards,C,6-11,245,"November 29, 1997",jm JM,4,Kentucky,CHO,2025
31,Tidjane SalaÃ¼n,PF,6-10,207,"August 10, 2005",fr FR,R,,CHO,2025
25,KJ Simpson,PG,6-2,189,"August 8, 2002",us US,R,Colorado,CHO,2025
33,Jaylen Sims,SG,6-6,210,"December 11, 1998",us US,R,UNC Wilmington,CHO,2025
8,Nick Smith Jr.,SG,6-2,185,"April 18, 2004",us US,1,Arkansas,CHO,2025
2,Grant Williams,PF,6-7,236,"November 30, 1998",us US,5,Tennessee,CHO,2025
5,Mark Williams,C,7-1,240,"December 16, 2001",us US,2,Duke,CHO,2025
21,Isaiah Wong,SG,6-3,185,"January 28, 2001",us US,1,Miami (FL),CHO,2025
