G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Team,Season
1,"Wed, Oct 20, 2021",8:00p,,Box Score,@,Memphis Grizzlies,L,,121,132,0,1,L 1,15975,2:07,,CLE,2022
2,"Fri, Oct 22, 2021",7:00p,,Box Score,,Charlotte Hornets,L,,112,123,0,2,L 2,17116,2:05,,CLE,2022
3,"Sat, Oct 23, 2021",6:00p,,Box Score,,Atlanta Hawks,W,,101,95,1,2,W 1,16846,2:14,,CLE,2022
4,"Mon, Oct 25, 2021",9:00p,,Box Score,@,Denver Nuggets,W,,99,87,2,2,W 2,14221,2:06,,CLE,2022
5,"Wed, Oct 27, 2021",10:30p,,Box Score,@,Los Angeles Clippers,W,,92,79,3,2,W 3,13276,2:05,,CLE,2022
6,"Fri, Oct 29, 2021",10:30p,,Box Score,@,Los Angeles Lakers,L,,101,113,3,3,L 1,18997,2:09,,CLE,2022
7,"Sat, Oct 30, 2021",10:00p,,Box Score,@,Phoenix Suns,L,,92,101,3,4,L 2,14516,2:06,,CLE,2022
8,"Mon, Nov 1, 2021",7:00p,,Box Score,@,Charlotte Hornets,W,,113,110,4,4,W 1,13889,2:15,,CLE,2022
9,"Wed, Nov 3, 2021",7:00p,,Box Score,,Portland Trail Blazers,W,,107,104,5,4,W 2,16231,2:06,,CLE,2022
10,"Fri, Nov 5, 2021",7:30p,,Box Score,@,Toronto Raptors,W,,102,101,6,4,W 3,19800,2:10,,CLE,2022
11,"Sun, Nov 7, 2021",6:00p,,Box Score,@,New York Knicks,W,,126,109,7,4,W 4,19040,2:05,,CLE,2022
12,"Wed, Nov 10, 2021",7:00p,,Box Score,,Washington Wizards,L,,94,97,7,5,L 1,18056,2:19,,CLE,2022
13,"Fri, Nov 12, 2021",7:30p,,Box Score,,Detroit Pistons,W,,98,78,8,5,W 1,17095,1:58,,CLE,2022
14,"Sat, Nov 13, 2021",8:00p,,Box Score,,Boston Celtics,W,,91,89,9,5,W 2,19432,2:09,,CLE,2022
15,"Mon, Nov 15, 2021",7:00p,,Box Score,,Boston Celtics,L,,92,98,9,6,L 1,17186,2:09,,CLE,2022
16,"Wed, Nov 17, 2021",7:30p,,Box Score,@,Brooklyn Nets,L,,99,109,9,7,L 2,16922,2:07,,CLE,2022
17,"Thu, Nov 18, 2021",7:30p,,Box Score,,Golden State Warriors,L,,89,104,9,8,L 3,19432,2:08,,CLE,2022
18,"Mon, Nov 22, 2021",7:00p,,Box Score,,Brooklyn Nets,L,,112,117,9,9,L 4,17387,2:18,,CLE,2022
19,"Wed, Nov 24, 2021",7:00p,,Box Score,,Phoenix Suns,L,,115,120,9,10,L 5,18055,2:20,,CLE,2022
20,"Sat, Nov 27, 2021",8:00p,,Box Score,,Orlando Magic,W,,105,92,10,10,W 1,18248,2:00,,CLE,2022
21,"Mon, Nov 29, 2021",8:30p,,Box Score,@,Dallas Mavericks,W,,114,96,11,10,W 2,19229,2:01,,CLE,2022
22,"Wed, Dec 1, 2021",7:30p,,Box Score,@,Miami Heat,W,,111,85,12,10,W 3,19600,2:04,,CLE,2022
23,"Fri, Dec 3, 2021",7:00p,,Box Score,@,Washington Wizards,W,,116,101,13,10,W 4,17227,2:11,,CLE,2022
24,"Sun, Dec 5, 2021",3:30p,,Box Score,,Utah Jazz,L,,108,109,13,11,L 1,18113,2:01,,CLE,2022
25,"Mon, Dec 6, 2021",8:00p,,Box Score,@,Milwaukee Bucks,L,,104,112,13,12,L 2,17341,2:08,,CLE,2022
26,"Wed, Dec 8, 2021",7:00p,,Box Score,,Chicago Bulls,W,,115,92,14,12,W 1,17707,2:09,,CLE,2022
27,"Fri, Dec 10, 2021",8:00p,,Box Score,@,Minnesota Timberwolves,W,,123,106,15,12,W 2,15694,2:11,,CLE,2022
28,"Sat, Dec 11, 2021",8:00p,,Box Score,,Sacramento Kings,W,,117,103,16,12,W 3,19432,2:11,,CLE,2022
29,"Mon, Dec 13, 2021",7:00p,,Box Score,,Miami Heat,W,,105,94,17,12,W 4,17401,2:08,,CLE,2022
30,"Wed, Dec 15, 2021",7:00p,,Box Score,,Houston Rockets,W,,124,89,18,12,W 5,17131,2:12,,CLE,2022
31,"Sat, Dec 18, 2021",9:00p,,Box Score,@,Milwaukee Bucks,W,,119,90,19,12,W 6,17341,2:00,,CLE,2022
32,"Wed, Dec 22, 2021",7:30p,,Box Score,@,Boston Celtics,L,,101,111,19,13,L 1,19156,2:13,,CLE,2022
33,"Sun, Dec 26, 2021",6:00p,,Box Score,,Toronto Raptors,W,,144,99,20,13,W 1,19432,1:57,,CLE,2022
34,"Tue, Dec 28, 2021",8:00p,,Box Score,@,New Orleans Pelicans,L,,104,108,20,14,L 1,15835,2:12,,CLE,2022
35,"Thu, Dec 30, 2021",7:00p,,Box Score,@,Washington Wizards,L,,93,110,20,15,L 2,15637,2:04,,CLE,2022
36,"Fri, Dec 31, 2021",7:30p,,Box Score,,Atlanta Hawks,L,,118,121,20,16,L 3,17745,2:16,,CLE,2022
37,"Sun, Jan 2, 2022",6:00p,,Box Score,,Indiana Pacers,W,,108,104,21,16,W 1,17808,2:17,,CLE,2022
38,"Tue, Jan 4, 2022",7:00p,,Box Score,,Memphis Grizzlies,L,,106,110,21,17,L 1,18178,2:10,,CLE,2022
39,"Fri, Jan 7, 2022",10:00p,,Box Score,@,Portland Trail Blazers,W,,114,101,22,17,W 1,16708,2:08,,CLE,2022
40,"Sun, Jan 9, 2022",8:30p,,Box Score,@,Golden State Warriors,L,,82,96,22,18,L 1,18064,1:59,,CLE,2022
41,"Mon, Jan 10, 2022",10:00p,,Box Score,@,Sacramento Kings,W,,109,108,23,18,W 1,12110,2:08,,CLE,2022
42,"Wed, Jan 12, 2022",9:00p,,Box Score,@,Utah Jazz,W,,111,91,24,18,W 2,18306,2:03,,CLE,2022
43,"Fri, Jan 14, 2022",8:30p,,Box Score,@,San Antonio Spurs,W,,114,109,25,18,W 3,12160,2:11,,CLE,2022
44,"Sat, Jan 15, 2022",8:00p,,Box Score,@,Oklahoma City Thunder,W,,107,102,26,18,W 4,15284,2:35,,CLE,2022
45,"Mon, Jan 17, 2022",3:00p,,Box Score,,Brooklyn Nets,W,,114,107,27,18,W 5,18105,2:10,,CLE,2022
46,"Wed, Jan 19, 2022",8:00p,,Box Score,@,Chicago Bulls,L,,104,117,27,19,L 1,20824,2:07,,CLE,2022
47,"Sat, Jan 22, 2022",8:00p,,Box Score,,Oklahoma City Thunder,W,,94,87,28,19,W 1,19432,2:28,,CLE,2022
48,"Mon, Jan 24, 2022",7:00p,,Box Score,,New York Knicks,W,,95,93,29,19,W 2,17321,2:10,,CLE,2022
49,"Wed, Jan 26, 2022",7:00p,,Box Score,,Milwaukee Bucks,W,,115,99,30,19,W 3,18904,2:08,,CLE,2022
50,"Sun, Jan 30, 2022",6:00p,,Box Score,@,Detroit Pistons,L,,105,115,30,20,L 1,16811,2:11,,CLE,2022
51,"Mon, Jan 31, 2022",7:00p,,Box Score,,New Orleans Pelicans,W,,93,90,31,20,W 1,17637,2:11,,CLE,2022
52,"Wed, Feb 2, 2022",8:00p,,Box Score,@,Houston Rockets,L,,104,115,31,21,L 1,14163,2:20,,CLE,2022
53,"Fri, Feb 4, 2022",7:00p,,Box Score,@,Charlotte Hornets,W,,102,101,32,21,W 1,17733,2:16,,CLE,2022
54,"Sun, Feb 6, 2022",6:00p,,Box Score,,Indiana Pacers,W,,98,85,33,21,W 2,19432,2:20,,CLE,2022
55,"Wed, Feb 9, 2022",7:00p,,Box Score,,San Antonio Spurs,W,,105,92,34,21,W 3,19432,2:01,,CLE,2022
56,"Fri, Feb 11, 2022",7:00p,,Box Score,@,Indiana Pacers,W,,120,113,35,21,W 4,15075,2:17,,CLE,2022
57,"Sat, Feb 12, 2022",7:30p,,Box Score,@,Philadelphia 76ers,L,,93,103,35,22,L 1,21057,2:08,,CLE,2022
58,"Tue, Feb 15, 2022",7:30p,,Box Score,@,Atlanta Hawks,L,,116,124,35,23,L 2,15947,2:12,,CLE,2022
59,"Thu, Feb 24, 2022",7:00p,,Box Score,@,Detroit Pistons,L,,103,106,35,24,L 3,15622,2:18,,CLE,2022
60,"Sat, Feb 26, 2022",8:00p,,Box Score,,Washington Wizards,W,,92,86,36,24,W 1,19432,2:10,,CLE,2022
