Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Team,Season
1.0,Jarrett Allen,25.0,C,77,77,2442,21.8,0.664,0.007,0.383,11.3,25.8,18.7,13.2,1.1,3.0,11.2,19.4,6.8,3.9,10.7,0.21,2.1,0.9,3.0,3.1,DPOY-10,CLE,2024
2.0,Max Strus,27.0,SF,70,70,2239,11.7,0.553,0.658,0.133,3.4,13.5,8.5,17.3,1.4,1.2,12.7,17.4,1.2,2.6,3.9,0.083,-1.1,0.5,-0.6,0.8,,CLE,2024
3.0,Caris LeVert,29.0,SG,68,10,1958,14.6,0.524,0.405,0.245,2.3,13.7,8.0,25.7,1.9,1.6,11.4,23.1,1.0,2.6,3.6,0.088,-0.6,0.8,0.2,1.1,,CLE,2024
4.0,Donovan Mitchell,27.0,SG,55,55,1942,22.1,0.595,0.454,0.292,2.7,13.4,8.1,28.3,2.6,1.4,11.1,31.4,3.6,2.9,6.4,0.159,4.6,1.2,5.8,3.9,AS,CLE,2024
5.0,Darius Garland,24.0,PG,57,57,1901,14.5,0.56,0.423,0.208,1.8,7.1,4.5,29.4,1.9,0.3,16.1,25.3,0.7,2.0,2.7,0.067,0.2,-1.2,-1.0,0.5,,CLE,2024
6.0,Isaac Okoro,23.0,SF,69,42,1887,11.4,0.599,0.448,0.285,4.0,8.2,6.1,9.5,1.5,1.6,9.1,13.9,2.1,2.0,4.2,0.106,-1.8,0.7,-1.1,0.4,,CLE,2024
7.0,Georges Niang,30.0,PF,82,10,1831,9.9,0.583,0.627,0.095,1.4,15.5,8.5,7.5,0.8,0.9,9.9,17.6,0.5,2.0,2.4,0.064,-2.5,-0.4,-2.9,-0.4,,CLE,2024
8.0,Evan Mobley,22.0,PF,50,50,1532,20.1,0.626,0.107,0.31,8.2,25.9,17.2,15.9,1.5,4.2,12.5,20.6,2.8,2.7,5.5,0.174,0.9,2.0,2.9,1.9,,CLE,2024
9.0,Dean Wade,27.0,PF,54,32,1108,10.2,0.598,0.871,0.112,3.8,18.2,11.1,5.0,1.8,2.0,7.6,10.5,0.9,1.6,2.5,0.11,-1.7,1.8,0.1,0.6,,CLE,2024
10.0,Sam Merrill,27.0,SG,61,1,1069,13.1,0.598,0.901,0.071,2.3,10.2,6.3,14.1,0.9,0.3,4.5,17.5,1.9,0.9,2.8,0.125,1.3,-0.8,0.5,0.7,,CLE,2024
11.0,Craig Porter Jr.,23.0,PG,51,6,649,15.4,0.564,0.149,0.246,3.7,15.1,9.4,26.5,1.6,2.1,15.1,20.2,0.6,0.9,1.5,0.108,-0.6,1.1,0.5,0.4,,CLE,2024
12.0,Tristan Thompson,32.0,C,49,0,549,13.9,0.563,0.008,0.433,15.1,20.4,17.8,12.7,1.1,2.3,16.9,13.8,0.6,0.8,1.4,0.119,-2.1,0.6,-1.4,0.1,,CLE,2024
13.0,Damian Jones,28.0,C,39,0,270,15.8,0.659,0.194,0.292,8.4,17.3,12.9,7.9,1.3,4.3,13.8,15.4,0.4,0.4,0.8,0.15,-1.7,1.2,-0.5,0.1,,CLE,2024
14.0,Marcus Morris,34.0,PF,12,0,180,8.0,0.552,0.492,0.136,3.2,12.3,7.8,7.7,0.5,1.0,15.0,18.0,-0.1,0.2,0.1,0.015,-3.2,-1.9,-5.1,-0.1,,CLE,2024
15.0,Emoni Bates,20.0,SF,15,0,133,2.6,0.404,0.673,0.082,0.9,10.9,5.9,10.0,0.4,1.4,13.6,19.5,-0.4,0.1,-0.3,-0.092,-6.2,-3.0,-9.2,-0.2,,CLE,2024
16.0,Isaiah Mobley,24.0,PF,10,0,72,8.1,0.471,0.417,0.042,4.7,10.8,7.8,11.5,1.4,0.0,7.6,16.2,0.0,0.1,0.0,0.032,-4.5,-2.1,-6.6,-0.1,,CLE,2024
17.0,Pete Nance,23.0,PF,8,0,27,-3.9,0.218,0.167,0.333,0.0,12.3,6.2,0.0,1.8,0.0,12.7,12.9,-0.1,0.0,-0.1,-0.154,-11.9,-3.2,-15.2,-0.1,,CLE,2024
18.0,Ty Jerome,26.0,SG,2,0,15,7.6,0.5,0.25,0.0,7.6,0.0,3.7,27.3,0.0,0.0,20.0,14.7,0.0,0.0,0.0,0.04,-4.1,-0.8,-4.9,0.0,,CLE,2024
,Team Totals,,,82,82,19804,,0.586,0.422,0.234,,,,,,,,,22.4,25.8,48.2,0.117,0.0,0.5,0.5,12.4,,CLE,2024
