Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards,Team,Season
1.0,Luka DonÄiÄ,24.0,PG,70,70,2624,74,26,0,0,0,5.3,9.4,200,61,77,7,283,12,1636,78,50,"MVP-3,CPOY-6,AS,NBA1",DAL,2024
2.0,Tim Hardaway Jr.,31.0,SF,79,12,2120,0,13,69,18,0,-0.3,-5.4,33,24,46,6,69,35,336,21,33,6MOY-9,DAL,2024
3.0,Kyrie Irving,31.0,SG,58,58,2030,23,68,10,0,0,6.0,7.9,52,38,57,6,85,12,719,26,39,CPOY-7,DAL,2024
4.0,Derrick Jones Jr.,26.0,SF,76,66,1783,0,0,50,49,1,1.8,-0.6,22,26,68,7,73,21,190,19,24,,DAL,2024
5.0,Josh Green,23.0,SG,57,33,1505,1,37,60,2,0,-2.1,-6.9,32,15,45,12,22,29,320,6,30,,DAL,2024
6.0,Dereck Lively II,19.0,C,55,42,1294,0,0,0,0,100,5.8,5.5,16,11,92,15,40,2,150,11,20,ROY-6,DAL,2024
7.0,Grant Williams,25.0,PF,47,33,1242,0,0,1,84,15,-3.7,-8.4,16,17,70,12,23,9,206,6,16,,DAL,2024
8.0,DantÃ© Exum,28.0,PG,55,17,1088,100,0,0,0,0,10.8,12.0,22,20,37,3,31,20,380,5,18,,DAL,2024
9.0,Jaden Hardy,21.0,SG,73,7,989,13,69,18,0,0,-6.7,-11.8,32,19,44,8,35,12,261,7,28,,DAL,2024
10.0,P.J. Washington,25.0,PF,29,28,935,0,0,2,97,2,8.2,8.0,13,8,37,5,26,2,104,5,15,,DAL,2024
11.0,Maxi Kleber,32.0,C,43,7,871,0,0,0,27,73,6.8,5.9,13,7,46,7,16,13,171,3,4,,DAL,2024
12.0,Dwight Powell,32.0,C,63,9,836,0,0,0,0,100,0.2,-2.5,10,10,73,9,37,5,206,8,12,,DAL,2024
13.0,Daniel Gafford,25.0,PF,29,21,623,0,0,0,11,89,6.5,5.2,9,8,50,9,29,2,104,10,10,,DAL,2024
14.0,Seth Curry,33.0,SG,36,3,457,40,52,9,0,0,7.3,5.8,8,2,13,2,8,4,72,5,5,,DAL,2024
15.0,Olivier-Maxence Prosper,21.0,PF,40,1,336,0,0,10,78,12,-12.2,-15.7,3,3,12,1,19,3,56,3,6,,DAL,2024
16.0,A.J. Lawson,23.0,SG,42,0,311,6,41,51,3,0,2.7,0.6,7,2,16,1,12,0,51,2,8,,DAL,2024
17.0,Richaun Holmes,30.0,C,23,2,237,0,0,0,5,95,-8.1,-10.9,4,1,15,5,7,1,36,3,4,,DAL,2024
18.0,Markieff Morris,34.0,PF,26,1,216,0,0,0,43,57,-14.4,-17.5,6,4,6,1,3,0,39,0,2,,DAL,2024
19.0,Brandon Williams,24.0,PG,17,0,113,100,0,0,0,0,-22.6,-25.5,5,1,4,0,10,3,38,3,5,,DAL,2024
20.0,Greg Brown III,22.0,PF,6,0,40,0,0,59,35,7,-7.5,-9.7,2,1,3,1,4,0,8,1,1,,DAL,2024
21.0,Dexter Dennis,24.0,SG,4,0,30,0,48,52,0,0,-11.2,-13.5,3,0,1,0,3,0,9,3,0,,DAL,2024
22.0,Alex Fudge,20.0,SF,2,0,26,0,0,58,42,0,-26.9,-29.2,0,0,1,0,0,0,0,0,1,,DAL,2024
,Team Totals,,,82,82,19706,20,20,20,20,20,2.2,0.9,508,278,813,117,835,185,5092,225,331,,DAL,2024
