Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Team,Season
1.0,Cooper Flagg,19.0,SF,70,70,33.5,8.0,17.1,0.468,1.0,3.5,0.295,7.0,13.6,0.513,0.498,4.0,4.9,0.827,1.2,5.4,6.7,4.5,1.2,0.9,2.3,2.0,21.0,ROY-1,DAL,2026
2.0,Anthony Davis,32.0,PF,20,20,31.3,8.5,16.7,0.506,0.5,1.9,0.27,8.0,14.9,0.535,0.521,3.0,4.1,0.728,3.1,8.0,11.1,2.8,1.1,1.7,2.1,2.1,20.4,,DAL,2026
3.0,P.J. Washington,27.0,PF,56,53,31.0,5.3,11.8,0.45,1.4,4.2,0.325,3.9,7.6,0.519,0.508,2.2,3.3,0.687,1.5,5.5,7.0,1.8,1.0,1.1,1.7,2.1,14.2,,DAL,2026
4.0,Naji Marshall,28.0,SF,74,47,29.5,5.7,11.1,0.51,0.8,2.9,0.291,4.8,8.2,0.587,0.548,3.1,4.1,0.76,0.9,3.8,4.7,3.3,1.1,0.1,1.6,1.9,15.2,,DAL,2026
5.0,Max Christie,22.0,SG,77,68,29.1,4.2,9.4,0.441,2.3,5.8,0.404,1.8,3.6,0.502,0.566,1.6,1.8,0.899,0.2,3.0,3.2,2.0,0.6,0.4,1.2,1.3,12.3,,DAL,2026
6.0,Brandon Williams,26.0,PG,66,15,22.2,4.4,9.3,0.472,0.5,2.3,0.232,3.9,7.0,0.552,0.501,3.7,4.6,0.793,0.5,2.4,2.9,3.9,0.9,0.3,1.9,1.6,13.0,,DAL,2026
7.0,Klay Thompson,35.0,SF,69,8,21.7,4.1,10.6,0.393,2.9,7.6,0.383,1.2,2.9,0.418,0.532,0.5,0.7,0.766,0.3,1.8,2.1,1.4,0.5,0.3,0.9,1.0,11.7,,DAL,2026
8.0,Daniel Gafford,27.0,C,55,44,21.7,3.8,5.7,0.655,0.0,0.0,,3.8,5.7,0.655,0.655,2.0,2.9,0.683,2.5,4.4,6.9,1.1,0.8,1.3,1.1,2.6,9.5,,DAL,2026
9.0,Marvin Bagley III,26.0,PF,22,4,21.4,4.5,7.5,0.606,0.7,1.5,0.485,3.8,6.0,0.636,0.655,1.2,2.1,0.553,2.4,4.4,6.8,1.3,0.4,0.7,0.8,2.0,11.0,,DAL,2026
10.0,Khris Middleton,34.0,SF,29,16,21.1,3.3,8.3,0.404,1.2,3.0,0.391,2.2,5.3,0.412,0.475,2.1,2.3,0.91,0.7,2.6,3.3,2.2,0.5,0.0,1.8,2.0,10.0,,DAL,2026
11.0,Ryan Nembhard,22.0,PG,60,27,19.5,2.7,6.5,0.415,0.8,2.3,0.356,1.9,4.3,0.447,0.477,0.4,0.5,0.806,0.2,2.0,2.2,5.3,0.4,0.0,1.4,1.4,6.6,,DAL,2026
