No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
0.0,Max Christie,SG,6-5,190,"February 10, 2003",us US,3,Michigan State,DAL,2026
13.0,Naji Marshall,SF,6-6,220,"January 24, 1998",us US,5,Xavier,DAL,2026
32.0,Cooper Flagg,SF,6-9,205,"December 21, 2006",us US,R,Duke,DAL,2026
31.0,Klay Thompson,SF,6-5,220,"February 8, 1990",us US,12,Washington State,DAL,2026
10.0,Brandon Williams,PG,6-1,190,"November 22, 1999",us US,3,Arizona,DAL,2026
7.0,Dwight Powell,C,6-10,240,"July 20, 1991",ca CA,11,Stanford,DAL,2026
9.0,Ryan Nembhard,PG,5-11,180,"March 10, 2003",ca CA,R,"Creighton, Gonzaga",DAL,2026
16.0,Caleb Martin,SF,6-5,205,"September 28, 1995",us US,6,"NC State, Nevada",DAL,2026
25.0,P.J. Washington,PF,6-7,230,"August 23, 1998",us US,6,Kentucky,DAL,2026
21.0,Daniel Gafford,C,6-10,265,"October 1, 1998",us US,6,Arkansas,DAL,2026
30.0,Moussa Cisse (TW),C,6-11,220,"September 10, 2002",gn GN,R,"Oklahoma State, Ole Miss, Memphis",DAL,2026
20.0,Khris Middleton,SF,6-7,222,"August 12, 1991",us US,13,Texas A&M,DAL,2026
8.0,AJ Johnson,SG,6-5,160,"December 1, 2004",us US,1,,DAL,2026
35.0,Marvin Bagley III,PF,6-10,235,"March 14, 1999",us US,7,Duke,DAL,2026
1.0,John Poulakidas (TW),SG,6-6,205,"April 4, 2003",us US,R,Yale,DAL,2026
23.0,Tyler Smith (TW),PF,6-9,224,"November 2, 2004",us US,1,,DAL,2026
2.0,Dereck Lively II,C,7-1,230,"February 12, 2004",us US,2,Duke,DAL,2026
,Kyrie Irving,SG,6-2,195,"March 23, 1992",au AU,14,Duke,DAL,2026
