Rk,Unnamed: 1,Salary,Team,Season
1,Kyrie Irving,"$36,566,002",DAL,2026
2,Khris Middleton,"$33,296,296",DAL,2026
3,Klay Thompson,"$16,666,667",DAL,2026
4,Daniel Gafford,"$14,386,320",DAL,2026
5,P.J. Washington,"$14,152,174",DAL,2026
6,Cooper Flagg,"$13,825,920",DAL,2026
7,Caleb Martin,"$9,594,044",DAL,2026
8,Naji Marshall,"$9,000,000",DAL,2026
9,Max Christie,"$7,714,286",DAL,2026
10,Tyus Jones,"$7,000,000",DAL,2026
11,Dereck Lively II,"$5,253,360",DAL,2026
12,Dwight Powell,"$4,000,000",DAL,2026
13,AJ Johnson,"$3,090,480",DAL,2026
14,Marvin Bagley III,"$2,296,274",DAL,2026
15,Brandon Williams,"$2,270,735",DAL,2026
16,JaVale McGee,"$2,208,856",DAL,2026
17,Olivier-Maxence Prosper,"$1,002,360",DAL,2026
18,Jeremiah Robinson-Earl,"$131,970",DAL,2026
