Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards,Team,Season
1.0,Nikola JokiÄ,26.0,C,74,74,2476,0,0,0,0,100,8.4,16.4,173,76,101,21,188,10,1356,72,66,"MVP-1,AS,NBA1",DEN,2022
2.0,Aaron Gordon,26.0,PF,75,75,2376,0,0,3,86,11,5.9,9.0,48,39,55,27,110,6,436,33,52,,DEN,2022
3.0,Will Barton,31.0,SG,71,71,2277,1,84,15,0,0,1.8,-1.2,64,45,62,10,59,8,646,11,47,,DEN,2022
4.0,Monte Morris,26.0,PG,75,74,2239,91,9,0,0,0,5.9,8.1,54,12,41,5,34,13,787,8,34,,DEN,2022
5.0,Jeff Green,35.0,PF,75,63,1849,0,0,64,29,7,2.0,-0.7,26,18,79,15,105,21,225,30,26,,DEN,2022
6.0,Austin Rivers,29.0,SG,67,18,1480,0,29,69,2,0,2.8,0.8,26,18,54,3,17,4,232,4,13,,DEN,2022
7.0,Bones Hyland,21.0,SG,69,4,1310,51,46,4,0,0,1.5,-1.3,40,26,68,6,43,2,463,7,38,,DEN,2022
8.0,Facundo Campazzo,30.0,PG,65,4,1184,100,0,0,0,0,-8.4,-15.2,51,8,41,6,21,27,543,4,9,,DEN,2022
9.0,JaMychal Green,31.0,PF,67,8,1085,0,0,27,63,10,-2.8,-7.0,23,8,77,23,41,10,148,2,31,,DEN,2022
10.0,Zeke Nnaji,21.0,PF,41,1,698,0,0,1,36,63,-3.5,-7.0,8,7,36,7,32,3,45,4,19,,DEN,2022
11.0,Davon Reed,26.0,SG,48,5,668,0,11,67,22,0,0.3,-2.4,6,4,37,2,7,0,134,3,4,,DEN,2022
12.0,Bryn Forbes,28.0,SG,35,1,610,1,88,12,0,0,4.8,2.9,9,10,30,2,18,0,91,5,13,,DEN,2022
13.0,DeMarcus Cousins,31.0,C,31,2,431,0,0,0,1,99,-2.6,-5.5,27,12,45,23,38,6,132,6,16,,DEN,2022
14.0,PJ Dozier,25.0,SG,18,0,340,0,16,60,25,0,-12.6,-16.3,10,1,16,0,7,5,70,1,5,,DEN,2022
15.0,Michael Porter Jr.,23.0,SF,9,9,265,0,0,91,9,0,9.6,7.7,5,2,6,4,5,0,38,3,4,,DEN,2022
16.0,Vlatko ÄanÄar,24.0,PF,15,1,176,0,3,13,58,26,-0.1,-2.6,5,2,11,2,6,2,44,0,3,,DEN,2022
17.0,Markus Howard,22.0,SG,31,0,176,26,70,4,0,0,-4.7,-7.3,5,0,9,1,5,4,18,1,9,,DEN,2022
18.0,Bol Bol,22.0,PF,14,0,81,0,0,0,12,88,1.7,-0.6,0,1,4,0,2,0,12,1,1,,DEN,2022
19.0,Petr Cornelie,26.0,PF,13,0,38,0,0,0,78,22,6.0,3.7,3,0,5,1,0,0,8,0,1,,DEN,2022
20.0,Rayjon Tucker,24.0,SG,3,0,29,23,71,6,0,0,2.7,0.4,0,0,0,0,1,0,11,0,0,,DEN,2022
21.0,James Ennis III,31.0,SF,3,0,14,0,0,31,69,0,-30.8,-33.2,0,1,1,0,1,0,9,1,1,,DEN,2022
22.0,Carlik Jones,24.0,PG,2,0,4,100,0,0,0,0,-22.2,-24.6,0,0,0,0,0,0,0,0,0,,DEN,2022
,Team Totals,,,82,82,19806,20,20,20,20,20,2.3,1.9,583,290,778,158,740,121,5448,196,392,,DEN,2022
