Rk,Unnamed: 1,Salary,Team,Season
1,Nikola JokiÄ,"$33,047,803",DEN,2023
2,Jamal Murray,"$31,650,600",DEN,2023
3,Michael Porter,"$30,913,750",DEN,2023
4,Aaron Gordon,"$19,690,909",DEN,2023
5,Kentavious Caldwell-Pope,"$14,004,703",DEN,2023
6,Bruce Brown,"$6,479,000",DEN,2023
7,Ish Smith,"$4,725,000",DEN,2023
8,Jeff Green,"$4,500,000",DEN,2023
9,Christian Braun,"$2,808,600",DEN,2023
10,Zeke Nnaji,"$2,617,800",DEN,2023
11,Vlatko ÄanÄar,"$2,234,359",DEN,2023
12,Peyton Watson,"$2,193,960",DEN,2023
13,Thomas Bryant,"$1,836,090",DEN,2023
14,DeAndre Jordan,"$1,836,090",DEN,2023
15,Reggie Jackson,"$580,373",DEN,2023
16,Collin Gillespie,,DEN,2023
17,Jack White,,DEN,2023
