G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Team,Season
1,"Tue, Oct 24, 2023",7:30p,,Box Score,,Los Angeles Lakers,W,,119,107,1,0,W 1,19842,2:17,,DEN,2024
2,"Fri, Oct 27, 2023",7:00p,,Box Score,@,Memphis Grizzlies,W,,108,104,2,0,W 2,16617,2:20,,DEN,2024
3,"Sun, Oct 29, 2023",3:30p,,Box Score,@,Oklahoma City Thunder,W,,128,95,3,0,W 3,18203,2:00,,DEN,2024
4,"Mon, Oct 30, 2023",9:00p,,Box Score,,Utah Jazz,W,,110,102,4,0,W 4,19671,2:11,,DEN,2024
5,"Wed, Nov 1, 2023",8:00p,,Box Score,@,Minnesota Timberwolves,L,,89,110,4,1,L 1,18024,2:10,,DEN,2024
6,"Fri, Nov 3, 2023",10:00p,,Box Score,,Dallas Mavericks,W,,125,114,5,1,W 1,19729,2:19,In-Season Tournament,DEN,2024
7,"Sat, Nov 4, 2023",9:00p,,Box Score,,Chicago Bulls,W,,123,101,6,1,W 2,19610,2:08,,DEN,2024
8,"Mon, Nov 6, 2023",9:00p,,Box Score,,New Orleans Pelicans,W,,134,116,7,1,W 3,19544,2:09,,DEN,2024
9,"Wed, Nov 8, 2023",10:00p,,Box Score,,Golden State Warriors,W,,108,105,8,1,W 4,19737,2:20,,DEN,2024
10,"Sun, Nov 12, 2023",7:00p,,Box Score,@,Houston Rockets,L,,104,107,8,2,L 1,18055,2:10,,DEN,2024
11,"Tue, Nov 14, 2023",10:00p,,Box Score,,Los Angeles Clippers,W,,111,108,9,2,W 1,19661,2:29,In-Season Tournament,DEN,2024
12,"Fri, Nov 17, 2023",8:00p,,Box Score,@,New Orleans Pelicans,L,,110,115,9,3,L 1,15278,2:10,In-Season Tournament,DEN,2024
13,"Sun, Nov 19, 2023",6:00p,,Box Score,@,Cleveland Cavaliers,L,,109,121,9,4,L 2,19432,2:05,,DEN,2024
14,"Mon, Nov 20, 2023",7:00p,,Box Score,@,Detroit Pistons,W,,107,103,10,4,W 1,19403,2:15,,DEN,2024
15,"Wed, Nov 22, 2023",7:00p,,Box Score,@,Orlando Magic,L,,119,124,10,5,L 1,18237,2:22,,DEN,2024
16,"Fri, Nov 24, 2023",8:00p,,Box Score,@,Houston Rockets,L,,86,105,10,6,L 2,18055,2:07,In-Season Tournament,DEN,2024
17,"Sun, Nov 26, 2023",8:00p,,Box Score,,San Antonio Spurs,W,,132,120,11,6,W 1,19665,2:19,,DEN,2024
18,"Mon, Nov 27, 2023",10:30p,,Box Score,@,Los Angeles Clippers,W,,113,104,12,6,W 2,17071,2:26,,DEN,2024
19,"Wed, Nov 29, 2023",9:00p,,Box Score,,Houston Rockets,W,,134,124,13,6,W 3,19590,2:07,,DEN,2024
20,"Fri, Dec 1, 2023",10:00p,,Box Score,@,Phoenix Suns,W,,119,111,14,6,W 4,17071,2:21,,DEN,2024
21,"Sat, Dec 2, 2023",10:00p,,Box Score,@,Sacramento Kings,L,,117,123,14,7,L 1,17829,2:13,,DEN,2024
22,"Wed, Dec 6, 2023",10:00p,,Box Score,@,Los Angeles Clippers,L,,102,111,14,8,L 2,16365,2:13,,DEN,2024
23,"Fri, Dec 8, 2023",9:00p,,Box Score,,Houston Rockets,L,,106,114,14,9,L 3,19544,2:28,,DEN,2024
24,"Mon, Dec 11, 2023",7:30p,,Box Score,@,Atlanta Hawks,W,,129,122,15,9,W 1,17531,2:26,,DEN,2024
25,"Tue, Dec 12, 2023",8:00p,,Box Score,@,Chicago Bulls,W,,114,106,16,9,W 2,20775,2:20,,DEN,2024
26,"Thu, Dec 14, 2023",9:00p,,Box Score,,Brooklyn Nets,W,,124,101,17,9,W 3,19636,2:12,,DEN,2024
27,"Sat, Dec 16, 2023",9:00p,,Box Score,,Oklahoma City Thunder,L,,117,118,17,10,L 1,19611,2:18,,DEN,2024
28,"Mon, Dec 18, 2023",9:00p,,Box Score,,Dallas Mavericks,W,,130,104,18,10,W 1,19659,2:03,,DEN,2024
29,"Wed, Dec 20, 2023",7:30p,,Box Score,@,Toronto Raptors,W,,113,104,19,10,W 2,19800,1:57,,DEN,2024
30,"Fri, Dec 22, 2023",7:30p,,Box Score,@,Brooklyn Nets,W,,122,117,20,10,W 3,17732,2:17,,DEN,2024
31,"Sat, Dec 23, 2023",7:00p,,Box Score,@,Charlotte Hornets,W,,102,95,21,10,W 4,19165,2:09,,DEN,2024
32,"Mon, Dec 25, 2023",2:30p,,Box Score,,Golden State Warriors,W,,120,114,22,10,W 5,19811,2:27,,DEN,2024
33,"Thu, Dec 28, 2023",9:00p,,Box Score,,Memphis Grizzlies,W,,142,105,23,10,W 6,19733,2:06,,DEN,2024
34,"Fri, Dec 29, 2023",9:00p,,Box Score,,Oklahoma City Thunder,L,,93,119,23,11,L 1,19808,2:05,,DEN,2024
35,"Mon, Jan 1, 2024",9:00p,,Box Score,,Charlotte Hornets,W,,111,93,24,11,W 1,19625,2:01,,DEN,2024
