No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
23,Trey Alexander,SG,6-5,185,"May 2, 2003",us US,R,Creighton,DEN,2025
0,Christian Braun,SG,6-6,220,"April 17, 2001",us US,2,Kansas,DEN,2025
31,Vlatko ÄanÄar,PF,6-8,236,"April 10, 1997",si SI,4,,DEN,2025
32,Aaron Gordon,PF,6-8,235,"September 16, 1995",us US,10,Arizona,DEN,2025
13,PJ Hall,C,6-8,245,"February 21, 2002",us US,R,Clemson,DEN,2025
15,Nikola JokiÄ,C,6-11,284,"February 19, 1995",rs RS,9,,DEN,2025
21,Spencer Jones,SF,6-7,225,"June 14, 2001",us US,R,Stanford,DEN,2025
6,DeAndre Jordan,C,6-11,265,"July 21, 1988",us US,16,Texas A&M,DEN,2025
27,Jamal Murray,PG,6-4,215,"February 23, 1997",ca CA,7,Kentucky,DEN,2025
22,Zeke Nnaji,PF,6-10,240,"January 9, 2001",us US,4,Arizona,DEN,2025
24,Jalen Pickett,SG,6-2,202,"October 22, 1999",us US,1,"Siena College, Penn State",DEN,2025
1,Michael Porter Jr.,SF,6-10,218,"June 29, 1998",us US,5,Missouri,DEN,2025
9,Dario Å ariÄ,C,6-10,225,"April 8, 1994",hr HR,7,,DEN,2025
3,Julian Strawther,SG,6-6,205,"April 18, 2002",us US,1,Gonzaga,DEN,2025
5,Hunter Tyson,PF,6-8,215,"June 13, 2000",us US,1,Clemson,DEN,2025
8,Peyton Watson,SF,6-8,200,"September 11, 2002",us US,2,UCLA,DEN,2025
4,Russell Westbrook,PG,6-4,200,"November 12, 1988",us US,16,UCLA,DEN,2025
