Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards,Team,Season
1.0,Saddiq Bey,21.0,SF,70,53,1909,0,3,71,26,0,-5.7,-2.7,27,7,52,8,69,4,236,17,34,ROY-4,DET,2021
2.0,Jerami Grant,26.0,SF,54,54,1829,0,0,32,68,0,-3.4,2.3,60,25,58,17,152,22,362,23,58,,DET,2021
3.0,Josh Jackson,23.0,SG,62,25,1560,0,66,34,1,0,-3.3,2.2,64,41,76,25,102,20,331,27,70,,DET,2021
4.0,Mason Plumlee,30.0,C,56,56,1499,0,0,0,0,100,-5.3,-1.4,50,30,101,15,72,5,500,15,35,,DET,2021
5.0,Isaiah Stewart,19.0,C,68,14,1455,0,0,0,0,100,-1.5,5.2,13,23,84,20,37,7,142,11,28,,DET,2021
6.0,Delon Wright,28.0,PG,36,31,1052,78,22,0,0,0,-2.6,2.7,27,15,21,2,30,9,458,4,22,,DET,2021
7.0,Wayne Ellington,33.0,SG,46,31,1012,0,90,10,0,0,-4.2,0.5,25,5,24,2,8,4,158,2,7,,DET,2021
8.0,Sekou Doumbouya,20.0,PF,56,11,869,0,0,0,93,6,-7.0,-3.3,9,14,29,11,32,3,112,6,29,,DET,2021
9.0,Saben Lee,21.0,PG,48,7,781,100,0,0,0,0,-5.4,-1.1,39,13,36,0,40,11,422,8,25,,DET,2021
10.0,Frank Jackson,22.0,PG,40,6,738,39,61,1,0,0,-0.6,5.0,12,6,27,6,32,8,90,8,16,,DET,2021
11.0,Killian Hayes,19.0,PG,26,18,670,56,44,1,0,0,-9.0,-5.6,51,20,24,2,5,5,333,1,12,,DET,2021
12.0,Svi Mykhailiuk,23.0,SF,36,5,634,0,29,70,1,0,-2.1,3.0,17,9,8,4,8,6,139,1,8,,DET,2021
13.0,Blake Griffin,31.0,PF,20,20,626,0,0,0,93,7,-6.3,-2.2,13,8,19,5,27,17,192,5,7,,DET,2021
14.0,Cory Joseph,29.0,PG,19,11,502,88,12,0,0,0,0.3,5.6,24,8,14,2,15,5,258,5,12,,DET,2021
15.0,Hamidou Diallo,22.0,SF,20,4,465,0,15,84,2,0,-11.4,-7.9,11,6,21,5,34,1,55,10,11,,DET,2021
16.0,Tyler Cook,23.0,SF,28,1,421,0,0,1,79,20,-5.6,-1.2,8,5,13,3,21,0,35,7,7,,DET,2021
17.0,Dennis Smith Jr.,23.0,PG,20,9,392,97,3,0,0,0,-1.0,4.0,14,8,15,2,4,1,175,1,11,,DET,2021
18.0,Jahlil Okafor,25.0,C,27,2,347,0,0,0,0,100,-10.3,-6.4,8,4,29,4,13,3,30,2,14,,DET,2021
19.0,Derrick Rose,32.0,PG,15,0,342,100,0,0,0,0,-10.6,-6.8,8,14,7,3,24,2,156,3,10,"MVP-9,6MOY-3",DET,2021
20.0,Rodney McGruder,29.0,SG,16,2,194,30,68,2,0,0,-2.3,2.3,1,3,7,1,4,2,38,2,1,,DET,2021
21.0,Deividas Sirvydis,20.0,SG,20,0,133,0,45,56,0,0,-11.6,-7.4,1,1,5,1,2,0,14,0,2,,DET,2021
,Team Totals,,,72,72,17430,20,20,20,20,20,-4.5,0.2,482,265,670,138,731,135,4236,158,419,,DET,2021
