Rk,Unnamed: 1,Salary,Team,Season
1,Joe Harris,"$19,928,571",DET,2024
2,Evan Fournier,"$18,857,143",DET,2024
3,James Wiseman,"$12,119,440",DET,2024
4,Cade Cunningham,"$11,055,360",DET,2024
5,Ausar Thompson,"$7,977,480",DET,2024
6,Jaden Ivey,"$7,614,480",DET,2024
7,Killian Hayes,"$7,413,955",DET,2024
8,Danilo Gallinari,"$6,802,950",DET,2024
9,Isaiah Stewart,"$5,266,713",DET,2024
10,Shake Milton,"$5,000,000",DET,2024
11,Jalen Duren,"$4,330,680",DET,2024
12,Danuel House,"$4,310,250",DET,2024
13,Troy Brown,"$4,000,000",DET,2024
14,Malachi Flynn,"$3,873,025",DET,2024
15,Mike Muscala,"$3,500,000",DET,2024
16,Simone Fontecchio,"$3,044,872",DET,2024
17,Dewayne Dedmon,"$2,748,674",DET,2024
18,Marcus Sasser,"$2,624,040",DET,2024
19,Quentin Grimes,"$2,385,720",DET,2024
20,Ryan Arcidiacono,"$2,019,706",DET,2024
21,Stanley Umude,"$538,460",DET,2024
22,Taj Gibson,"$348,225",DET,2024
23,Chimezie Metu,"$215,781",DET,2024
24,Jaylen Nowell,"$116,075",DET,2024
25,Chimezie Metu,"$116,075",DET,2024
26,Taj Gibson,"$116,075",DET,2024
27,Tosan Evbuomwan,"$70,777",DET,2024
28,Jaylen Nowell,"$24,885",DET,2024
29,Tosan Evbuomwan,,DET,2024
30,Buddy Boeheim,,DET,2024
31,Stanley Umude,,DET,2024
32,Jared Rhoden,,DET,2024
33,Malcolm Cazalon,,DET,2024
