Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Team,Season
1.0,Cade Cunningham,24.0,PG,64,64,2172,21.6,0.564,0.308,0.321,2.9,15.2,9.2,45.2,2.0,2.5,14.8,30.5,4.2,3.6,7.9,0.174,4.8,1.5,6.3,4.6,"MVP-5,CPOY-4,AS,NBA1",DET,2026
2.0,Duncan Robinson,31.0,SG,77,77,2113,12.4,0.629,0.768,0.158,1.6,9.2,5.4,10.1,1.0,1.0,6.7,15.8,3.8,2.3,6.1,0.139,0.8,-0.1,0.8,1.5,,DET,2026
3.0,Jalen Duren,22.0,C,70,70,1976,26.1,0.688,0.0,0.535,15.3,26.4,20.9,11.0,1.4,3.0,11.6,23.6,7.2,3.8,11.0,0.266,4.4,0.5,5.0,3.5,"DPOY-11,AS,NBA3",DET,2026
4.0,Ausar Thompson,23.0,SF,73,72,1896,16.2,0.545,0.042,0.331,9.0,15.6,12.4,16.3,3.7,3.6,14.3,16.9,1.5,4.1,5.7,0.144,-0.6,3.6,3.1,2.4,"DPOY-3,DEF1",DET,2026
5.0,Tobias Harris,33.0,PF,63,63,1746,15.0,0.574,0.338,0.238,3.6,16.9,10.4,12.5,1.6,1.5,8.0,18.8,2.6,2.7,5.3,0.145,0.6,0.8,1.4,1.5,,DET,2026
6.0,Ron Holland,20.0,SF,78,5,1551,11.7,0.525,0.364,0.274,6.1,16.5,11.4,8.2,2.9,1.7,13.6,18.9,-0.1,2.9,2.8,0.087,-3.3,1.4,-2.0,0.0,,DET,2026
7.0,Daniss Jenkins,24.0,PG,72,19,1455,13.4,0.525,0.343,0.283,4.0,8.7,6.4,25.8,2.1,1.0,15.3,21.5,0.9,2.0,2.9,0.095,-0.8,0.1,-0.7,0.5,,DET,2026
8.0,Javonte Green,32.0,SG,82,6,1446,14.1,0.607,0.597,0.302,4.9,12.8,8.9,5.0,3.4,1.7,8.8,14.8,2.0,2.7,4.7,0.156,-0.3,2.4,2.1,1.5,,DET,2026
9.0,Isaiah Stewart,24.0,C,58,13,1317,15.2,0.632,0.299,0.326,8.3,16.3,12.4,6.9,0.6,7.0,12.7,16.6,1.9,2.1,4.1,0.149,-1.1,1.1,0.0,0.7,6MOY-7,DET,2026
10.0,Caris LeVert,31.0,SG,60,0,1154,10.9,0.518,0.46,0.215,2.3,9.0,5.7,18.2,2.1,3.5,16.1,18.4,-0.2,1.8,1.6,0.066,-1.8,1.5,-0.4,0.5,,DET,2026
11.0,Paul Reed,26.0,C,65,11,901,24.2,0.65,0.118,0.324,16.5,20.1,18.3,13.3,3.1,6.6,13.0,20.6,2.4,2.1,4.5,0.239,2.4,2.9,5.3,1.6,,DET,2026
12.0,Jaden Ivey,23.0,SG,33,2,555,12.6,0.57,0.514,0.173,3.9,10.5,7.3,13.0,1.3,2.2,12.9,20.4,0.4,0.7,1.1,0.093,-0.1,0.1,0.1,0.3,,DET,2026
13.0,Kevin Huerter,27.0,SG,25,3,512,13.4,0.539,0.531,0.078,2.5,12.9,7.8,16.5,2.6,1.4,10.4,18.0,0.4,0.9,1.2,0.114,-1.1,1.4,0.3,0.3,,DET,2026
14.0,Marcus Sasser,25.0,PG,38,5,457,11.2,0.533,0.599,0.102,1.7,7.7,4.8,21.9,2.1,0.9,14.4,19.6,0.2,0.6,0.8,0.085,-1.6,-0.2,-1.7,0.0,,DET,2026
15.0,Chaz Lanier,24.0,SG,34,0,262,6.6,0.436,0.753,0.067,3.5,6.3,4.9,8.2,1.3,0.0,3.2,15.0,0.0,0.3,0.3,0.046,-3.8,-1.3,-5.1,-0.2,,DET,2026
16.0,Tolu Smith,25.0,PF,15,0,137,16.9,0.569,0.0,0.833,18.3,21.8,20.1,12.4,0.7,4.4,12.5,17.1,0.3,0.2,0.5,0.185,-0.9,0.9,0.0,0.1,,DET,2026
17.0,Bobi Klintman,22.0,SF,12,0,71,4.5,0.388,0.481,0.111,8.0,21.8,15.0,10.9,2.0,0.0,17.5,20.1,-0.2,0.1,-0.1,-0.043,-7.7,-1.0,-8.7,-0.1,,DET,2026
18.0,Wendell Moore Jr.,24.0,SG,6,0,60,8.9,0.635,0.143,0.286,1.9,9.2,5.6,8.0,1.6,3.3,11.3,6.2,0.1,0.1,0.1,0.116,-3.0,1.8,-1.3,0.0,,DET,2026
19.0,Isaac Jones,25.0,PF,4,0,19,7.0,0.51,0.2,0.4,0.0,17.4,8.9,0.0,0.0,5.2,14.5,15.1,0.0,0.0,0.0,0.021,-5.6,-2.4,-8.0,0.0,,DET,2026
20.0,Colby Jones,23.0,SG,1,0,7,12.9,0.333,0.667,0.0,0.0,63.1,32.1,37.8,0.0,0.0,0.0,17.8,0.0,0.0,0.0,0.124,-3.2,5.7,2.4,0.0,,DET,2026
,Team Totals,,,82,82,19807,,0.583,0.345,0.292,,,,,,,,,27.2,33.3,60.5,0.147,0.5,1.2,1.7,18.6,,DET,2026
