No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
31,Javonte Green,SG,6-5,205,"July 23, 1993",us US,6,Radford,DET,2026
5,Ron Holland,SF,6-8,206,"July 7, 2005",us US,1,,DET,2026
55,Duncan Robinson,SG,6-7,215,"April 22, 1994",us US,7,"Williams, Michigan",DET,2026
9,Ausar Thompson,SF,6-7,205,"January 30, 2003",us US,2,,DET,2026
24,Daniss Jenkins,PG,6-4,165,"August 17, 2001",us US,1,"University of the Pacific, Odessa College, Iona College, St. John's",DET,2026
0,Jalen Duren,C,6-10,250,"November 18, 2003",us US,3,Memphis,DET,2026
7,Paul Reed,C,6-9,210,"June 14, 1999",us US,5,DePaul,DET,2026
2,Cade Cunningham,PG,6-6,220,"September 25, 2001",us US,4,Oklahoma State,DET,2026
12,Tobias Harris,PF,6-8,226,"July 15, 1992",us US,14,Tennessee,DET,2026
8,Caris LeVert,SG,6-7,205,"August 25, 1994",us US,9,Michigan,DET,2026
28,Isaiah Stewart,C,6-8,250,"May 22, 2001",us US,5,Washington,DET,2026
25,Marcus Sasser,PG,6-1,195,"September 21, 2000",us US,2,Houston,DET,2026
20,Chaz Lanier,SG,6-3,206,"December 19, 2001",us US,R,"University of North Florida, Tennessee",DET,2026
27,Kevin Huerter,SG,6-6,198,"August 27, 1998",us US,7,Maryland,DET,2026
35,Tolu Smith,PF,6-11,254,"July 26, 2000",us US,1,"Western Kentucky, Mississippi State",DET,2026
14,Wendell Moore Jr. (TW),SG,6-5,215,"September 18, 2001",us US,3,Duke,DET,2026
13,Isaac Jones (TW),PF,6-8,245,"July 11, 2000",us US,1,"Wenatchee Valley College, Idaho, Washington State",DET,2026
