Rk,Unnamed: 1,Salary,Team,Season
1,Stephen Curry,"$43,006,362",GSW,2021
2,Klay Thompson,"$35,361,360",GSW,2021
3,Andrew Wiggins,"$29,542,010",GSW,2021
4,Draymond Green,"$22,246,956",GSW,2021
5,Kelly Oubre,"$14,375,000",GSW,2021
6,James Wiseman,"$8,730,240",GSW,2021
7,Kevon Looney,"$4,821,429",GSW,2021
8,Jordan Poole,"$2,063,280",GSW,2021
9,Damion Lee,"$1,762,796",GSW,2021
10,Kent Bazemore,"$1,620,564",GSW,2021
11,Mychal Mulder,"$1,517,981",GSW,2021
12,Eric Paschall,"$1,517,981",GSW,2021
13,Alen SmailagiÄ,"$1,517,981",GSW,2021
14,Shaun Livingston,"$666,667",GSW,2021
15,Juan Toscano-Anderson,"$358,295",GSW,2021
16,Gary Payton,"$233,894",GSW,2021
17,Nico Mannion,$0,GSW,2021
18,Jordan Bell,$0,GSW,2021
