Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards,Team,Season
1.0,Andrew Wiggins,26.0,SF,73,73,2330,0,2,64,32,2,5.9,0.5,49,34,84,15,122,11,413,31,43,AS,GSW,2022
2.0,Jordan Poole,22.0,SG,76,51,2283,33,62,5,0,0,6.3,1.4,95,49,77,18,101,19,723,27,57,,GSW,2022
3.0,Stephen Curry,33.0,PG,64,64,2211,97,3,0,0,0,10.1,10.0,120,52,52,16,105,13,945,25,39,"MVP-8,AS,NBA2",GSW,2022
4.0,Kevon Looney,25.0,C,82,80,1732,0,0,0,1,99,6.2,0.7,25,17,113,19,60,2,400,9,36,,GSW,2022
5.0,Otto Porter Jr.,28.0,PF,63,15,1396,0,0,0,64,36,6.8,1.6,18,7,47,7,27,3,241,6,9,,GSW,2022
6.0,Draymond Green,31.0,PF,46,44,1329,0,0,6,75,19,6.6,1.3,106,9,64,19,41,13,778,7,15,"DPOY-10,AS,DEF2",GSW,2022
7.0,Damion Lee,29.0,SG,63,5,1256,2,55,40,3,0,2.8,-4.3,9,11,50,10,23,16,160,5,12,,GSW,2022
8.0,Gary Payton II,29.0,SG,71,16,1248,46,54,0,0,0,9.8,5.9,24,5,34,8,27,5,157,6,9,,GSW,2022
9.0,Jonathan Kuminga,19.0,SF,70,12,1185,0,0,14,63,24,2.0,-5.3,33,19,66,18,93,5,156,11,35,,GSW,2022
10.0,Nemanja Bjelica,33.0,C,71,0,1143,0,0,0,0,100,4.9,-1.2,41,22,69,14,34,0,381,7,19,,GSW,2022
11.0,Juan Toscano-Anderson,28.0,SF,73,6,994,0,6,60,33,2,4.7,-1.4,37,12,60,8,25,5,320,6,19,,GSW,2022
12.0,Klay Thompson,31.0,SG,32,32,941,1,49,46,4,0,3.5,-2.9,20,13,32,1,21,1,210,3,13,,GSW,2022
13.0,Moses Moody,19.0,SG,52,11,607,3,67,28,2,0,-2.9,-10.2,9,1,25,2,17,6,56,6,3,,GSW,2022
14.0,Andre Iguodala,38.0,SF,31,0,603,1,13,64,21,1,10.2,5.2,22,4,19,0,6,8,275,0,2,,GSW,2022
15.0,Chris Chiozza,26.0,PG,34,1,372,100,0,0,0,0,-7.1,-14.1,18,11,16,1,1,8,158,1,6,,GSW,2022
16.0,Quinndary Weatherspoon,25.0,SG,11,0,73,29,57,14,0,0,-6.8,-12.8,2,0,6,1,4,0,12,3,0,,GSW,2022
17.0,Jeff Dowtin Jr.,24.0,PG,4,0,28,100,0,0,0,0,28.3,22.7,0,1,0,0,0,0,7,0,0,,GSW,2022
,Team Totals,,,82,82,19731,20,20,20,20,20,5.7,0.7,628,267,814,157,707,115,5392,153,317,,GSW,2022
