No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
1,Kyle Anderson,PF,6-8,230,"September 20, 1993",us US,10,UCLA,GSW,2025
3,Reece Beekman,PG,6-3,190,"October 8, 2001",us US,R,Virginia,GSW,2025
10,Jimmy Butler,SF,6-6,230,"September 14, 1989",us US,13,"Tyler Junior College, Marquette",GSW,2025
99,Yuri Collins,PG,6-0,190,"March 7, 2001",us US,R,Saint Louis,GSW,2025
30,Stephen Curry,PG,6-2,185,"March 14, 1988",us US,15,Davidson,GSW,2025
23,Draymond Green,PF,6-6,230,"March 4, 1990",us US,12,Michigan State,GSW,2025
7,Buddy Hield,SG,6-4,220,"December 17, 1992",bs BS,8,Oklahoma,GSW,2025
32,Trayce Jackson-Davis,C,6-9,245,"February 22, 2000",us US,1,Indiana,GSW,2025
12,Braxton Key,SF,6-7,225,"February 14, 1997",us US,3,"Alabama, Virginia",GSW,2025
31,Kevin Knox,SF,6-8,215,"August 11, 1999",us US,6,Kentucky,GSW,2025
0,Jonathan Kuminga,PF,6-7,225,"October 6, 2002",cd CD,3,,GSW,2025
5,Kevon Looney,C,6-9,222,"February 6, 1996",us US,9,UCLA,GSW,2025
8,De'Anthony Melton,SG,6-2,200,"May 28, 1998",us US,6,USC,GSW,2025
4,Moses Moody,SG,6-5,211,"May 31, 2002",us US,3,Arkansas,GSW,2025
0,Gary Payton II,SG,6-2,195,"December 1, 1992",us US,8,Oregon State,GSW,2025
2,Brandin Podziemski,SG,6-4,205,"February 25, 2003",us US,1,"Illinois, Santa Clara",GSW,2025
21,Quinten Post,PF,7-0,238,"March 21, 2000",nl NL,R,"Mississippi State, Boston College",GSW,2025
44,Jackson Rowe,PF,6-6,210,"January 4, 1997",ca CA,R,Cal State Fullerton,GSW,2025
15,Gui Santos,PF,6-7,185,"June 22, 2002",br BR,1,,GSW,2025
71,Dennis Schr̦der,SG,6-1,175,"September 15, 1993",de DE,11,,GSW,2025
61,Pat Spencer,PG,6-2,205,"July 4, 1996",us US,1,"Loyola (MD), Northwestern",GSW,2025
43,Lindy Waters III,SG,6-5,210,"July 28, 1997",us US,3,Oklahoma State,GSW,2025
22,Andrew Wiggins,SF,6-6,197,"February 23, 1995",ca CA,10,Kansas,GSW,2025
