Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards,Team,Season
1.0,Jalen Green,19.0,SG,67,67,2138,19,78,3,0,0,-12.1,-6.7,58,51,49,10,105,22,421,24,91,ROY-4,HOU,2022
2.0,Christian Wood,26.0,C,68,67,2094,0,0,0,32,68,-9.6,-1.2,51,40,94,26,130,10,376,28,48,,HOU,2022
3.0,Jae'Sean Tate,26.0,PF,78,77,2056,0,0,19,77,5,-9.7,-1.4,60,41,124,25,86,29,564,26,56,,HOU,2022
4.0,Kevin Porter Jr.,21.0,PG,61,61,1907,94,6,0,0,0,-7.0,4.0,118,56,63,10,83,19,922,19,40,,HOU,2022
5.0,Garrison Mathews,25.0,SG,65,33,1712,0,13,84,2,0,-7.1,3.5,23,9,89,4,61,71,154,14,16,,HOU,2022
6.0,Eric Gordon,33.0,SG,57,46,1670,15,46,38,0,0,-6.2,4.9,56,37,28,6,58,3,378,12,25,,HOU,2022
7.0,KJ Martin,21.0,SF,79,2,1656,0,0,21,76,4,-7.5,2.7,28,15,68,9,66,4,258,18,46,,HOU,2022
8.0,Alperen ÅengÃ¼n,19.0,C,72,13,1489,0,0,0,0,100,-10.6,-2.5,59,42,119,28,96,23,453,23,46,,HOU,2022
9.0,Josh Christopher,20.0,SG,74,2,1334,11,59,28,1,0,-10.5,-2.3,55,36,42,6,47,7,361,10,34,,HOU,2022
10.0,Armoni Brooks,23.0,SG,41,8,690,58,39,3,0,0,-6.4,3.1,10,7,35,1,8,3,115,3,4,,HOU,2022
11.0,David Nwaba,29.0,SF,46,4,609,0,4,65,29,2,-9.3,-0.4,11,5,29,2,32,2,83,5,23,,HOU,2022
12.0,Daniel Theis,29.0,C,26,21,584,0,0,0,1,99,-17.4,-9.8,17,6,34,6,17,6,52,4,7,,HOU,2022
13.0,D.J. Augustin,34.0,PG,34,2,510,100,0,0,0,0,-13.9,-5.6,33,8,8,1,9,1,181,2,5,,HOU,2022
14.0,Dennis SchrÃ¶der,28.0,PG,15,4,404,100,0,0,0,0,-12.4,-3.8,25,10,14,3,16,7,212,3,9,,HOU,2022
15.0,Daishen Nix,19.0,SG,24,0,261,0,14,82,4,0,-7.9,1.2,19,5,10,1,15,0,95,2,8,,HOU,2022
16.0,Usman Garuba,19.0,PF,24,2,240,0,0,0,17,83,6.6,16.6,3,1,13,2,4,2,41,1,6,,HOU,2022
17.0,Danuel House Jr.,28.0,SF,16,1,233,0,1,31,68,0,-7.3,1.9,11,5,10,0,5,1,48,1,5,,HOU,2022
18.0,Bruno Fernando,23.0,C,10,0,94,0,0,0,0,100,-2.2,7.0,3,2,9,4,9,0,6,5,5,,HOU,2022
19.0,Trevelin Queen,24.0,SG,10,0,74,37,62,1,0,0,3.6,12.9,2,4,4,1,3,1,10,2,0,,HOU,2022
,Team Totals,,,82,82,19755,20,20,20,20,20,-9.0,-0.1,642,380,842,145,850,211,4730,202,474,,HOU,2022
