G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Team,Season
1,"Wed, Oct 19, 2022",7:30p,,Box Score,@,Atlanta Hawks,L,,107,117,0,1,L 1,17878,2:05,,HOU,2023
2,"Fri, Oct 21, 2022",8:00p,,Box Score,,Memphis Grizzlies,L,,122,129,0,2,L 2,18055,2:19,,HOU,2023
3,"Sat, Oct 22, 2022",8:00p,,Box Score,@,Milwaukee Bucks,L,,105,125,0,3,L 3,17341,2:11,,HOU,2023
4,"Mon, Oct 24, 2022",8:00p,,Box Score,,Utah Jazz,W,,114,108,1,3,W 1,16260,2:14,,HOU,2023
5,"Wed, Oct 26, 2022",9:00p,,Box Score,@,Utah Jazz,L,,101,109,1,4,L 1,18206,2:20,,HOU,2023
6,"Fri, Oct 28, 2022",10:00p,,Box Score,@,Portland Trail Blazers,L,,111,125,1,5,L 2,19082,2:11,,HOU,2023
7,"Sun, Oct 30, 2022",9:00p,,Box Score,@,Phoenix Suns,L,,109,124,1,6,L 3,17071,2:22,,HOU,2023
8,"Mon, Oct 31, 2022",10:30p,,Box Score,@,Los Angeles Clippers,L,,93,95,1,7,L 4,14887,2:13,,HOU,2023
9,"Wed, Nov 2, 2022",8:00p,,Box Score,,Los Angeles Clippers,L,,101,109,1,8,L 5,15860,2:08,,HOU,2023
10,"Sat, Nov 5, 2022",8:00p,,Box Score,@,Minnesota Timberwolves,L,,117,129,1,9,L 6,16412,2:16,,HOU,2023
11,"Mon, Nov 7, 2022",7:15p,,Box Score,@,Orlando Magic,W,,134,127,2,9,W 1,15441,2:24,,HOU,2023
12,"Wed, Nov 9, 2022",7:30p,,Box Score,@,Toronto Raptors,L,,109,116,2,10,L 1,19800,2:13,,HOU,2023
13,"Sat, Nov 12, 2022",8:30p,,Box Score,@,New Orleans Pelicans,L,,106,119,2,11,L 2,15367,2:14,,HOU,2023
14,"Mon, Nov 14, 2022",8:00p,,Box Score,,Los Angeles Clippers,L,,106,122,2,12,L 3,16098,2:18,,HOU,2023
15,"Wed, Nov 16, 2022",8:30p,,Box Score,@,Dallas Mavericks,W,,101,92,3,12,W 1,19602,2:11,,HOU,2023
16,"Fri, Nov 18, 2022",8:00p,,Box Score,,Indiana Pacers,L,,91,99,3,13,L 1,15882,2:34,,HOU,2023
17,"Sun, Nov 20, 2022",7:00p,,Box Score,,Golden State Warriors,L,,120,127,3,14,L 2,18055,2:09,,HOU,2023
18,"Fri, Nov 25, 2022",8:00p,,Box Score,,Atlanta Hawks,W,,128,122,4,14,W 1,16669,2:29,,HOU,2023
19,"Sat, Nov 26, 2022",8:00p,,Box Score,,Oklahoma City Thunder,W,,118,105,5,14,W 2,15151,2:09,,HOU,2023
20,"Mon, Nov 28, 2022",9:00p,,Box Score,@,Denver Nuggets,L,,113,129,5,15,L 1,16027,2:13,,HOU,2023
21,"Wed, Nov 30, 2022",9:00p,,Box Score,@,Denver Nuggets,L,,100,120,5,16,L 2,16286,2:03,,HOU,2023
22,"Fri, Dec 2, 2022",9:00p,,Box Score,@,Phoenix Suns,W,,122,121,6,16,W 1,17071,2:17,,HOU,2023
23,"Sat, Dec 3, 2022",8:30p,,Box Score,@,Golden State Warriors,L,,101,120,6,17,L 1,18064,2:05,,HOU,2023
24,"Mon, Dec 5, 2022",8:00p,,Box Score,,Philadelphia 76ers,W,2OT,132,123,7,17,W 1,15331,2:57,,HOU,2023
25,"Thu, Dec 8, 2022",8:30p,,Box Score,@,San Antonio Spurs,L,,109,118,7,18,L 1,13140,2:06,,HOU,2023
26,"Sun, Dec 11, 2022",7:00p,,Box Score,,Milwaukee Bucks,W,,97,92,8,18,W 1,16268,2:04,,HOU,2023
27,"Tue, Dec 13, 2022",8:00p,,Box Score,,Phoenix Suns,W,,111,97,9,18,W 2,15128,2:11,,HOU,2023
28,"Thu, Dec 15, 2022",8:00p,,Box Score,,Miami Heat,L,,108,111,9,19,L 1,16210,2:14,,HOU,2023
29,"Sat, Dec 17, 2022",8:00p,,Box Score,,Portland Trail Blazers,L,,95,107,9,20,L 2,16217,2:15,,HOU,2023
30,"Mon, Dec 19, 2022",8:00p,,Box Score,,San Antonio Spurs,L,,105,124,9,21,L 3,15928,2:09,,HOU,2023
31,"Wed, Dec 21, 2022",8:00p,,Box Score,,Orlando Magic,L,,110,116,9,22,L 4,15965,2:08,,HOU,2023
32,"Fri, Dec 23, 2022",8:00p,,Box Score,,Dallas Mavericks,L,,106,112,9,23,L 5,16989,2:19,,HOU,2023
33,"Mon, Dec 26, 2022",8:00p,,Box Score,@,Chicago Bulls,W,,133,118,10,23,W 1,21561,2:03,,HOU,2023
34,"Tue, Dec 27, 2022",7:30p,,Box Score,@,Boston Celtics,L,,102,126,10,24,L 1,19156,2:01,,HOU,2023
35,"Thu, Dec 29, 2022",8:30p,,Box Score,@,Dallas Mavericks,L,,114,129,10,25,L 2,20307,2:12,,HOU,2023
36,"Sat, Dec 31, 2022",7:00p,,Box Score,,New York Knicks,L,,88,108,10,26,L 3,18055,2:13,,HOU,2023
37,"Mon, Jan 2, 2023",8:00p,,Box Score,,Dallas Mavericks,L,,106,111,10,27,L 4,18055,2:21,,HOU,2023
38,"Wed, Jan 4, 2023",8:00p,,Box Score,@,New Orleans Pelicans,L,,108,119,10,28,L 5,17295,2:09,,HOU,2023
39,"Thu, Jan 5, 2023",8:00p,,Box Score,,Utah Jazz,L,,114,131,10,29,L 6,16320,2:08,,HOU,2023
40,"Sun, Jan 8, 2023",7:00p,,Box Score,,Minnesota Timberwolves,L,,96,104,10,30,L 7,18055,2:09,,HOU,2023
41,"Wed, Jan 11, 2023",10:00p,,Box Score,@,Sacramento Kings,L,,115,135,10,31,L 8,16057,2:15,,HOU,2023
42,"Fri, Jan 13, 2023",10:00p,,Box Score,@,Sacramento Kings,L,,114,139,10,32,L 9,17894,2:23,,HOU,2023
43,"Sun, Jan 15, 2023",3:00p,,Box Score,@,Los Angeles Clippers,L,,100,121,10,33,L 10,17238,2:17,,HOU,2023
44,"Mon, Jan 16, 2023",10:30p,,Box Score,@,Los Angeles Lakers,L,,132,140,10,34,L 11,17657,2:28,,HOU,2023
