Rk,Unnamed: 1,Salary,Team,Season
1,Fred VanVleet,"$40,806,300",HOU,2024
2,Dillon Brooks,"$22,627,671",HOU,2024
3,Steven Adams,"$12,600,000",HOU,2024
4,Jalen Green,"$9,891,480",HOU,2024
5,Jeff Green,"$9,600,000",HOU,2024
6,Jabari Smith,"$9,326,520",HOU,2024
7,Amen Thompson,"$8,809,320",HOU,2024
8,Jock Landale,"$8,000,000",HOU,2024
9,John Wall,"$6,802,950",HOU,2024
10,Jae'Sean Tate,"$6,500,000",HOU,2024
11,Alperen Sengun,"$3,536,280",HOU,2024
12,Tari Eason,"$3,527,160",HOU,2024
13,Cam Whitmore,"$3,218,160",HOU,2024
14,Aaron Holiday,"$2,019,706",HOU,2024
15,Boban MarjanoviÄ,"$2,019,706",HOU,2024
16,Reggie Bullock,"$2,019,706",HOU,2024
17,Jeremiah Robinson-Earl,"$1,900,000",HOU,2024
18,Darius Days,,HOU,2024
19,Trevor Hudgins,,HOU,2024
20,Jermaine Samuels,,HOU,2024
21,Jeenathan Williams,,HOU,2024
22,Nate Hinton,,HOU,2024
