G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Team,Season
1,"Wed, Dec 23, 2020",7:00p,,Box Score,,New York Knicks,W,,121,107,1,0,W 1,,2:12,,IND,2021
2,"Sat, Dec 26, 2020",8:00p,,Box Score,@,Chicago Bulls,W,,125,106,2,0,W 2,,2:09,,IND,2021
3,"Sun, Dec 27, 2020",8:00p,,Box Score,,Boston Celtics,W,,108,107,3,0,W 3,,2:10,,IND,2021
4,"Tue, Dec 29, 2020",7:00p,,Box Score,,Boston Celtics,L,,111,116,3,1,L 1,,2:12,,IND,2021
5,"Thu, Dec 31, 2020",3:00p,,Box Score,,Cleveland Cavaliers,W,,119,99,4,1,W 1,,2:16,,IND,2021
6,"Sat, Jan 2, 2021",7:00p,,Box Score,,New York Knicks,L,,102,106,4,2,L 1,,2:11,,IND,2021
7,"Mon, Jan 4, 2021",8:00p,,Box Score,@,New Orleans Pelicans,W,OT,118,116,5,2,W 1,750,2:24,,IND,2021
8,"Wed, Jan 6, 2021",7:00p,,Box Score,,Houston Rockets,W,,114,107,6,2,W 2,,2:19,,IND,2021
9,"Sat, Jan 9, 2021",7:00p,,Box Score,,Phoenix Suns,L,,117,125,6,3,L 1,,2:07,,IND,2021
10,"Mon, Jan 11, 2021",10:00p,,Box Score,@,Sacramento Kings,L,,122,127,6,4,L 2,,2:19,,IND,2021
11,"Tue, Jan 12, 2021",10:30p,,Box Score,@,Golden State Warriors,W,,104,95,7,4,W 1,,2:23,,IND,2021
12,"Thu, Jan 14, 2021",10:00p,,Box Score,@,Portland Trail Blazers,W,,111,87,8,4,W 2,,2:04,,IND,2021
13,"Sun, Jan 17, 2021",10:00p,,Box Score,@,Los Angeles Clippers,L,,96,129,8,5,L 1,,2:07,,IND,2021
14,"Wed, Jan 20, 2021",7:00p,,Box Score,,Dallas Mavericks,L,,112,124,8,6,L 2,,2:09,,IND,2021
15,"Fri, Jan 22, 2021",7:00p,,Box Score,,Orlando Magic,W,OT,120,118,9,6,W 1,,2:28,,IND,2021
16,"Sun, Jan 24, 2021",1:00p,,Box Score,,Toronto Raptors,L,,102,107,9,7,L 1,,2:18,,IND,2021
17,"Mon, Jan 25, 2021",7:00p,,Box Score,,Toronto Raptors,W,,129,114,10,7,W 1,,2:27,,IND,2021
18,"Wed, Jan 27, 2021",7:00p,,Box Score,@,Charlotte Hornets,W,,116,106,11,7,W 2,,2:04,,IND,2021
19,"Fri, Jan 29, 2021",7:00p,,Box Score,@,Charlotte Hornets,L,,105,108,11,8,L 1,,2:04,,IND,2021
20,"Sun, Jan 31, 2021",7:00p,,Box Score,,Philadelphia 76ers,L,,110,119,11,9,L 2,,2:19,,IND,2021
21,"Tue, Feb 2, 2021",8:00p,,Box Score,,Memphis Grizzlies,W,,134,116,12,9,W 1,,2:16,,IND,2021
22,"Wed, Feb 3, 2021",7:00p,,Box Score,@,Milwaukee Bucks,L,,110,130,12,10,L 1,,2:03,,IND,2021
23,"Fri, Feb 5, 2021",7:00p,,Box Score,,New Orleans Pelicans,L,,113,114,12,11,L 2,,2:30,,IND,2021
24,"Sun, Feb 7, 2021",1:00p,,Box Score,,Utah Jazz,L,,95,103,12,12,L 3,,2:11,,IND,2021
25,"Wed, Feb 10, 2021",8:00p,,Box Score,@,Brooklyn Nets,L,,94,104,12,13,L 4,,2:08,,IND,2021
26,"Thu, Feb 11, 2021",8:00p,,Box Score,@,Detroit Pistons,W,,111,95,13,13,W 1,,2:00,,IND,2021
27,"Sat, Feb 13, 2021",7:30p,,Box Score,@,Atlanta Hawks,W,,125,113,14,13,W 2,1393,2:10,,IND,2021
