Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards,Team,Season
1.0,Domantas Sabonis,24.0,PF,62,62,2231,0,0,0,51,50,-2.0,-5.3,80,66,87,41,152,9,1008,45,54,AS,IND,2021
2.0,Justin Holiday,31.0,SG,72,52,2183,3,35,51,11,0,-0.7,-1.8,30,13,75,3,33,10,285,8,15,,IND,2021
3.0,Malcolm Brogdon,28.0,PG,56,56,1930,57,38,6,0,0,-0.7,-1.5,76,27,40,7,67,5,789,18,66,,IND,2021
4.0,T.J. McConnell,28.0,PG,69,3,1796,55,45,0,0,0,2.1,4.5,84,31,41,2,18,22,1093,8,31,6MOY-11,IND,2021
5.0,Doug McDermott,29.0,PF,66,29,1619,0,0,23,70,8,-2.4,-4.5,25,13,54,8,51,5,201,18,49,,IND,2021
6.0,Myles Turner,24.0,C,47,47,1455,0,0,0,0,100,0.9,1.5,31,8,103,19,64,3,112,11,17,DPOY-9,IND,2021
7.0,Aaron Holiday,24.0,PG,66,8,1176,100,0,0,0,0,-0.2,-0.2,39,16,36,4,33,12,295,2,32,,IND,2021
8.0,Caris LeVert,26.0,SG,35,35,1152,0,18,50,31,0,-2.4,-3.6,46,21,43,1,70,5,403,17,30,,IND,2021
9.0,Edmond Sumner,25.0,SG,53,24,861,17,54,29,0,0,-1.4,-1.9,29,11,40,4,47,4,123,12,16,,IND,2021
10.0,Jeremy Lamb,28.0,SG,36,8,765,1,29,56,14,0,-0.3,-0.3,10,7,38,3,36,9,126,6,11,,IND,2021
11.0,Goga Bitadze,21.0,C,45,3,561,0,0,0,0,100,-1.1,-1.3,5,1,58,5,28,0,85,4,15,,IND,2021
12.0,Oshae Brissett,22.0,SF,21,16,519,0,1,40,41,19,5.5,6.6,2,6,26,1,32,2,47,5,6,,IND,2021
13.0,Kelan Martin,25.0,SF,35,0,322,0,7,52,39,2,13.9,15.3,5,7,12,3,5,0,40,2,8,,IND,2021
14.0,JaKarr Sampson,27.0,PF,29,4,316,0,0,17,47,35,0.4,0.5,4,4,27,1,16,3,9,4,7,,IND,2021
15.0,Victor Oladipo,28.0,SG,9,9,300,0,60,41,0,0,4.4,4.8,9,6,8,2,15,8,89,4,11,,IND,2021
16.0,T.J. Warren,27.0,SF,4,4,117,0,2,75,23,0,1.3,1.4,0,3,7,1,7,2,13,4,2,,IND,2021
17.0,Cassius Stanley,21.0,SG,24,0,93,4,69,19,8,0,9.0,9.3,1,0,9,0,4,0,3,0,9,,IND,2021
18.0,Amida Brimah,26.0,C,5,0,29,0,0,0,6,94,37.6,38.0,2,0,2,1,2,0,2,1,0,,IND,2021
19.0,Brian Bowen,22.0,SF,6,0,15,0,24,76,0,0,0.0,0.0,0,0,1,0,1,0,0,1,0,,IND,2021
20.0,Jalen Lecque,20.0,PG,4,0,12,55,45,0,0,0,-19.2,-19.3,0,0,0,0,2,0,5,1,1,,IND,2021
,Team Totals,,,72,72,17452,20,20,20,20,20,0.0,-0.6,478,240,707,106,683,99,4728,171,380,,IND,2021
