No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
88,Goga Bitadze,C,6-11,250,"July 20, 1999",ge GE,1,,IND,2021
10,Brian Bowen,SF,6-7,199,"October 2, 1998",us US,1,,IND,2021
37,Amida Brimah,C,6-10,230,"February 11, 1994",gh GH,R,UConn,IND,2021
12,Oshae Brissett,SF,6-7,210,"June 20, 1998",ca CA,1,Syracuse,IND,2021
7,Malcolm Brogdon,PG,6-4,229,"December 11, 1992",us US,4,Virginia,IND,2021
3,Aaron Holiday,PG,6-0,185,"September 30, 1996",us US,2,UCLA,IND,2021
8,Justin Holiday,SG,6-6,180,"April 5, 1989",us US,7,Washington,IND,2021
26,Jeremy Lamb,SG,6-5,180,"May 30, 1992",us US,8,UConn,IND,2021
0,Jalen Lecque,PG,6-4,185,"June 13, 2000",us US,1,,IND,2021
22,Caris LeVert,SG,6-7,205,"August 25, 1994",us US,4,Michigan,IND,2021
21,Kelan Martin,SF,6-5,230,"August 3, 1995",us US,1,Butler,IND,2021
9,T.J. McConnell,PG,6-1,190,"March 25, 1992",us US,5,"Duquesne, Arizona",IND,2021
20,Doug McDermott,PF,6-7,225,"January 3, 1992",us US,6,Creighton,IND,2021
4,Victor Oladipo,SG,6-3,213,"May 4, 1992",us US,7,Indiana,IND,2021
11,Domantas Sabonis,PF,6-10,240,"May 3, 1996",us US,4,Gonzaga,IND,2021
14,JaKarr Sampson,PF,6-7,214,"March 20, 1993",us US,5,St. John's,IND,2021
2,Cassius Stanley,SG,6-5,190,"August 18, 1999",us US,R,Duke,IND,2021
5,Edmond Sumner,SG,6-4,190,"December 31, 1995",us US,3,Xavier,IND,2021
33,Myles Turner,C,6-11,250,"March 24, 1996",us US,5,Texas,IND,2021
1,T.J. Warren,SF,6-8,220,"September 5, 1993",us US,6,NC State,IND,2021
