Rk,Unnamed: 1,Salary,Team,Season
1,Malcolm Brogdon,"$20,700,000",IND,2021
2,Domantas Sabonis,"$19,800,000",IND,2021
3,Myles Turner,"$17,500,000",IND,2021
4,Caris LeVert,"$16,203,704",IND,2021
5,T.J. Warren,"$12,000,000",IND,2021
6,Jeremy Lamb,"$10,500,000",IND,2021
7,Doug McDermott,"$7,333,333",IND,2021
8,Justin Holiday,"$5,720,400",IND,2021
9,T.J. McConnell,"$3,500,000",IND,2021
10,Goga Bitadze,"$2,957,520",IND,2021
11,Aaron Holiday,"$2,345,640",IND,2021
12,Monta Ellis,"$2,245,400",IND,2021
13,Edmond Sumner,"$2,160,000",IND,2021
14,JaKarr Sampson,"$1,620,564",IND,2021
15,Jalen Lecque,"$1,517,981",IND,2021
16,Oshae Brissett,"$955,493",IND,2021
17,Kelan Martin,"$801,900",IND,2021
18,Amida Brimah,$0,IND,2021
19,Cassius Stanley,$0,IND,2021
20,Brian Bowen,$0,IND,2021
