Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Team,Season
1.0,Pascal Siakam,31.0,PF,62,62,2057,18.6,0.562,0.254,0.327,4.6,17.4,10.9,19.9,1.6,1.0,9.5,30.1,1.1,1.5,2.6,0.062,1.8,-1.0,0.7,1.4,AS,IND,2026
2.0,Jarace Walker,22.0,PF,76,41,1953,11.5,0.543,0.486,0.25,2.7,19.5,10.9,14.3,1.5,1.1,14.6,20.7,-1.0,1.5,0.5,0.013,-1.8,-0.7,-2.4,-0.2,,IND,2026
3.0,Andrew Nembhard,26.0,PG,57,57,1786,15.7,0.564,0.393,0.311,1.5,8.4,4.9,37.0,1.4,0.4,13.8,23.6,2.2,0.7,2.8,0.077,1.1,-1.9,-0.8,0.6,,IND,2026
4.0,Jay Huff,27.0,C,82,47,1719,15.2,0.598,0.61,0.162,4.5,16.2,10.3,10.4,1.1,7.6,10.4,18.0,1.3,1.9,3.2,0.089,-0.9,1.3,0.4,1.1,,IND,2026
5.0,Ben Sheppard,24.0,SG,65,20,1390,9.7,0.561,0.599,0.132,3.3,12.2,7.6,11.3,1.3,0.4,9.1,13.8,0.8,0.7,1.4,0.05,-2.4,-0.6,-3.0,-0.4,,IND,2026
6.0,Aaron Nesmith,26.0,SF,45,42,1335,10.8,0.554,0.541,0.217,3.8,11.6,7.6,9.4,0.9,1.5,10.1,19.8,0.1,0.6,0.7,0.026,-1.7,-1.6,-3.4,-0.5,,IND,2026
7.0,T.J. McConnell,33.0,PG,56,4,963,20.5,0.567,0.111,0.064,2.4,11.8,7.0,50.0,2.8,0.9,12.1,23.2,1.8,0.8,2.6,0.132,2.1,0.4,2.5,1.1,,IND,2026
8.0,Micah Potter,27.0,C,47,7,908,17.0,0.679,0.573,0.345,6.8,21.4,14.0,11.2,1.2,1.4,12.2,18.0,1.8,0.7,2.6,0.135,1.5,-0.8,0.7,0.6,,IND,2026
9.0,Quenton Jackson,27.0,PG,49,19,897,14.4,0.589,0.36,0.363,3.3,10.7,6.9,23.1,1.6,0.6,14.0,20.9,0.9,0.5,1.4,0.076,-1.1,-0.8,-1.8,0.0,,IND,2026
10.0,Bennedict Mathurin,23.0,SF,28,24,891,12.6,0.589,0.436,0.408,2.6,16.1,9.2,10.5,0.9,0.4,13.2,23.2,0.3,0.4,0.7,0.038,-1.1,-1.7,-2.8,-0.2,,IND,2026
