Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Team,Season
1.0,James Harden,35.0,PG,79,79,35.3,6.7,16.4,0.41,3.0,8.5,0.352,3.7,7.9,0.472,0.501,6.4,7.3,0.874,0.7,5.1,5.8,8.7,1.5,0.7,4.3,2.1,22.8,"MVP-10,AS,NBA3",LAC,2025
2.0,Ivica Zubac,27.0,C,80,80,32.8,7.4,11.8,0.628,0.0,0.0,,7.4,11.8,0.628,0.628,2.0,3.0,0.661,3.8,8.9,12.6,2.7,0.7,1.1,1.6,2.1,16.8,"DPOY-6,DEF2",LAC,2025
3.0,Norman Powell,31.0,SG,60,60,32.6,7.6,15.8,0.484,3.0,7.1,0.418,4.6,8.6,0.538,0.578,3.6,4.4,0.804,0.4,2.8,3.2,2.1,1.2,0.2,1.8,1.9,21.8,,LAC,2025
4.0,Kawhi Leonard,33.0,SF,37,37,31.9,8.4,16.8,0.498,2.1,5.1,0.411,6.3,11.7,0.536,0.56,2.6,3.3,0.81,0.9,5.0,5.9,3.1,1.6,0.5,1.9,1.5,21.5,,LAC,2025
5.0,Bogdan BogdanoviÄ,32.0,SG,30,4,25.0,4.2,8.9,0.474,2.0,4.8,0.427,2.2,4.2,0.528,0.588,0.9,1.1,0.875,0.4,2.7,3.1,3.2,0.7,0.2,1.2,2.3,11.4,,LAC,2025
6.0,Derrick Jones Jr.,27.0,SF,77,55,24.3,4.0,7.6,0.526,1.0,2.8,0.356,3.0,4.8,0.627,0.593,1.1,1.5,0.703,1.2,2.2,3.4,0.8,1.0,0.4,0.9,2.0,10.1,,LAC,2025
7.0,Amir Coffey,27.0,SG,72,13,24.3,3.3,7.1,0.471,1.4,3.4,0.409,1.9,3.7,0.529,0.57,1.6,1.8,0.891,0.4,1.8,2.2,1.1,0.6,0.1,0.6,1.7,9.7,,LAC,2025
8.0,Kris Dunn,30.0,PG,74,58,24.1,2.6,5.9,0.439,1.0,3.0,0.335,1.6,2.9,0.549,0.525,0.2,0.3,0.682,0.7,2.7,3.4,2.8,1.7,0.4,1.0,2.7,6.4,,LAC,2025
9.0,Terance Mann,28.0,SG,37,12,19.8,2.4,5.3,0.446,0.7,2.0,0.347,1.6,3.2,0.508,0.513,0.6,0.9,0.719,0.9,2.0,2.9,1.6,0.8,0.3,0.7,1.8,6.0,,LAC,2025
10.0,Kevin Porter Jr.,24.0,SG,45,2,19.6,3.8,9.0,0.423,0.6,2.4,0.245,3.2,6.7,0.485,0.455,1.1,1.7,0.645,0.6,2.9,3.6,3.2,1.0,0.2,1.9,1.6,9.3,,LAC,2025
