Rk,Unnamed: 1,Salary,Team,Season
1,Kawhi Leonard,"$50,000,000",LAC,2026
2,Darius Garland,"$39,446,090",LAC,2026
3,John Collins,"$26,580,000",LAC,2026
4,Bogdan BogdanoviÄ,"$16,020,000",LAC,2026
5,Derrick Jones Jr.,"$10,000,000",LAC,2026
6,Bennedict Mathurin,"$9,187,573",LAC,2026
7,Brook Lopez,"$8,750,000",LAC,2026
8,Isaiah Jackson,"$7,600,000",LAC,2026
9,Nicolas Batum,"$5,601,600",LAC,2026
10,Kris Dunn,"$5,426,400",LAC,2026
11,Bradley Beal,"$5,354,000",LAC,2026
12,Yanic Konan NiederhÃ¤user,"$2,743,800",LAC,2026
13,Cam Christie,"$1,955,377",LAC,2026
14,Jordan Miller,"$712,637",LAC,2026
15,Kobe Sanders,"$475,497",LAC,2026
16,Patrick Baldwin Jr.,"$131,970",LAC,2026
17,Dalano Banton,"$131,970",LAC,2026
