No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
12,Max Christie,SG,6-5,190,"February 10, 2003",us US,2,Michigan State,LAL,2025
3,Anthony Davis,C,6-10,253,"March 11, 1993",us US,12,Kentucky,LAL,2025
77,Luka DonÄiÄ,PG,6-8,230,"February 28, 1999",si SI,6,,LAL,2025
17,Dorian Finney-Smith,PF,6-7,220,"May 4, 1993",us US,8,Florida,LAL,2025
30,Jordan Goodwin,PG,6-3,215,"October 23, 1998",us US,3,Saint Louis,LAL,2025
28,Rui Hachimura,PF,6-8,230,"February 8, 1998",jp JP,5,Gonzaga,LAL,2025
11,Jaxson Hayes,C,7-0,220,"May 23, 2000",us US,5,Texas,LAL,2025
0,Jalen Hood-Schifino,SG,6-5,210,"June 19, 2003",us US,1,Indiana,LAL,2025
9,Bronny James,SG,6-2,210,"October 6, 2004",us US,R,USC,LAL,2025
23,LeBron James,SF,6-9,250,"December 30, 1984",us US,21,,LAL,2025
55,Trey Jemison,C,6-10,270,"November 28, 1999",us US,1,"Clemson, UAB",LAL,2025
14,Maxi Kleber,PF,6-10,240,"January 29, 1992",de DE,7,,LAL,2025
4,Dalton Knecht,SF,6-6,215,"April 19, 2001",us US,R,"Northeastern Junior College, University of Northern Colorado, Tennessee",LAL,2025
10,Christian Koloko,C,6-11,225,"June 20, 2000",cm CM,1,Arizona,LAL,2025
27,Alex Len,C,7-0,250,"June 16, 1993",ua UA,11,Maryland,LAL,2025
20,Maxwell Lewis,SF,6-7,215,"July 27, 2002",us US,1,Pepperdine,LAL,2025
20,Shake Milton,SG,6-5,205,"September 26, 1996",us US,6,SMU,LAL,2025
88,Markieff Morris,PF,6-9,245,"September 2, 1989",us US,13,Kansas,LAL,2025
41,Quincy Olivari,PG,6-2,201,"May 27, 2001",us US,R,"Rice University, Xavier",LAL,2025
15,Austin Reaves,SG,6-5,197,"May 29, 1998",us US,3,"Wichita State, Oklahoma",LAL,2025
5,Cam Reddish,SF,6-7,230,"September 1, 1999",us US,5,Duke,LAL,2025
1,D'Angelo Russell,PG,6-3,193,"February 23, 1996",us US,9,Ohio State,LAL,2025
94,Armel TraorÃ©,SF,6-9,246,"January 23, 2003",fr FR,R,,LAL,2025
2,Jarred Vanderbilt,PF,6-8,214,"April 3, 1999",us US,6,Kentucky,LAL,2025
7,Gabe Vincent,PG,6-2,200,"June 14, 1996",us US,5,UC Santa Barbara,LAL,2025
