Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards,Team,Season
1.0,Desmond Bane,23.0,SG,76,76,2266,0,58,41,1,0,7.4,3.8,43,32,92,17,53,2,518,16,67,,MEM,2022
2.0,Jaren Jackson Jr.,22.0,PF,78,78,2126,0,0,3,55,42,7.7,4.1,34,31,133,51,162,10,206,35,98,"DPOY-5,DEF1",MEM,2022
3.0,Steven Adams,28.0,C,76,75,1999,0,0,0,0,100,7.9,4.2,71,15,77,19,83,12,569,23,43,,MEM,2022
4.0,Ja Morant,22.0,PG,57,57,1889,100,0,0,0,0,4.9,-1.7,116,52,37,3,176,7,906,38,94,"MVP-7,MIP-1,AS,NBA2",MEM,2022
5.0,De'Anthony Melton,23.0,SG,73,15,1657,20,78,3,0,0,6.6,1.3,58,32,66,7,44,7,457,8,32,6MOY-8,MEM,2022
6.0,Tyus Jones,25.0,PG,73,23,1549,88,13,0,0,0,8.0,3.5,27,12,13,2,19,4,792,5,18,6MOY-11,MEM,2022
7.0,Kyle Anderson,28.0,PF,69,11,1484,0,0,8,62,30,3.0,-4.5,33,19,44,8,46,6,440,14,25,,MEM,2022
8.0,Ziaire Williams,20.0,SF,62,31,1346,0,1,96,3,0,4.7,-1.6,21,12,56,1,24,13,156,6,17,,MEM,2022
9.0,John Konchar,25.0,SG,72,7,1292,24,59,17,0,0,4.0,-2.6,19,7,51,1,22,4,266,2,3,,MEM,2022
10.0,Brandon Clarke,25.0,PF,64,1,1246,0,0,17,82,1,8.0,3.2,6,10,57,12,60,4,206,21,26,6MOY-11,MEM,2022
11.0,Dillon Brooks,26.0,SF,32,31,885,0,13,84,3,0,11.5,7.4,10,24,46,8,50,18,199,14,27,,MEM,2022
12.0,Xavier Tillman Sr.,23.0,PF,53,2,701,0,0,24,64,12,-0.3,-7.4,8,8,38,12,35,0,147,9,15,,MEM,2022
13.0,Killian Tillie,23.0,C,36,3,461,0,0,0,28,73,2.0,-4.2,8,2,39,1,2,3,52,0,10,,MEM,2022
14.0,Santi Aldama,21.0,PF,32,0,360,0,0,2,46,53,2.3,-3.8,7,3,15,5,15,1,58,4,4,,MEM,2022
15.0,Jarrett Culver,22.0,SG,37,0,338,4,71,26,0,0,-2.7,-9.3,8,6,21,4,17,0,75,4,9,,MEM,2022
16.0,Yves Pons,22.0,SF,12,0,71,0,20,77,3,0,-19.5,-25.8,1,0,5,0,1,0,3,0,1,,MEM,2022
17.0,Sam Merrill,25.0,SG,6,0,58,66,15,11,8,0,-11.5,-17.5,2,0,1,0,2,1,8,1,0,,MEM,2022
18.0,Dakota Mathias,26.0,SG,6,0,16,80,20,0,0,0,-37.5,-43.5,0,0,0,0,0,0,2,0,0,,MEM,2022
19.0,Shaq Buchanan,25.0,SG,2,0,10,0,100,0,0,0,-8.7,-14.5,1,0,1,0,0,0,4,0,1,,MEM,2022
20.0,DaQuan Jeffries,24.0,SG,3,0,9,0,10,53,37,0,-28.2,-34.0,0,0,1,0,0,0,2,0,0,,MEM,2022
21.0,Xavier Sneed,24.0,SF,2,0,8,0,88,12,0,0,-45.0,-50.9,0,0,1,0,0,0,0,0,0,,MEM,2022
22.0,Jon Teske,24.0,C,3,0,8,0,0,0,0,100,-25.8,-31.7,0,0,0,0,0,0,3,0,0,,MEM,2022
23.0,Tyrell Terry,21.0,PG,2,0,3,100,0,0,0,0,-25.0,-30.8,0,0,0,0,0,0,0,0,0,,MEM,2022
,Team Totals,,,82,82,19782,20,20,20,20,20,5.8,0.6,473,265,794,151,811,92,5069,200,490,,MEM,2022
