Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Team,Season
1.0,Jaren Jackson Jr.,24.0,C,66,66,2124,17.4,0.552,0.315,0.359,4.2,15.0,9.4,13.1,1.8,4.7,10.6,30.4,0.2,2.8,3.0,0.067,0.0,0.4,0.4,1.3,,MEM,2024
2.0,Santi Aldama,23.0,PF,61,35,1618,13.1,0.539,0.535,0.153,4.7,19.7,11.9,13.3,1.3,3.1,10.2,17.9,0.4,2.0,2.4,0.07,-0.7,0.4,-0.2,0.7,,MEM,2024
3.0,Desmond Bane,25.0,SG,42,42,1443,18.5,0.589,0.464,0.207,2.6,11.8,7.0,29.2,1.5,1.4,11.7,28.5,1.8,1.3,3.1,0.102,3.1,-0.3,2.8,1.7,,MEM,2024
4.0,Vince Williams Jr.,23.0,SG,52,33,1436,12.8,0.597,0.551,0.343,4.3,18.3,11.0,18.0,1.6,2.2,17.4,15.8,1.1,1.7,2.8,0.093,-1.7,1.0,-0.7,0.5,,MEM,2024
5.0,GG Jackson II,19.0,PF,48,18,1233,13.7,0.554,0.508,0.272,4.5,13.2,8.7,8.0,1.1,1.8,9.3,24.2,0.2,1.1,1.2,0.048,-0.2,-1.8,-2.0,0.0,,MEM,2024
6.0,John Konchar,27.0,SF,55,23,1173,11.4,0.537,0.577,0.12,6.5,18.0,12.0,13.0,2.1,4.1,17.4,9.7,0.5,1.7,2.2,0.091,-2.6,2.2,-0.4,0.5,,MEM,2024
7.0,David Roddy,22.0,PF,48,13,1114,8.7,0.485,0.404,0.174,4.8,15.2,9.8,10.4,1.1,0.9,11.5,18.1,-0.9,1.0,0.1,0.005,-3.9,-1.0,-5.0,-0.8,,MEM,2024
8.0,Ziaire Williams,22.0,SF,51,15,1038,9.3,0.511,0.5,0.198,3.5,15.9,9.5,11.1,1.7,0.8,13.8,19.7,-0.9,1.1,0.2,0.01,-4.0,-0.4,-4.5,-0.6,,MEM,2024
9.0,Luke Kennard,27.0,SG,39,22,999,13.1,0.641,0.756,0.143,1.2,11.6,6.2,20.8,1.0,0.2,13.9,16.7,1.4,0.7,2.1,0.099,0.6,-0.9,-0.3,0.4,,MEM,2024
10.0,Jake LaRavia,22.0,PF,35,6,806,12.6,0.54,0.515,0.36,6.7,10.9,8.7,11.1,1.8,1.4,11.4,21.1,0.3,0.8,1.0,0.062,-1.4,-1.0,-2.5,-0.1,,MEM,2024
11.0,Bismack Biyombo,31.0,C,30,27,718,10.0,0.56,0.0,0.387,8.3,21.3,14.5,10.1,0.7,4.4,21.4,10.6,0.1,0.9,1.0,0.066,-4.8,1.6,-3.2,-0.2,,MEM,2024
12.0,Xavier Tillman Sr.,25.0,C,34,13,700,11.8,0.44,0.249,0.202,8.4,16.4,12.3,12.1,2.9,4.7,11.1,16.0,-0.5,1.2,0.6,0.043,-3.8,2.1,-1.7,0.1,,MEM,2024
13.0,Jacob Gilyard,25.0,PG,37,14,654,11.6,0.597,0.833,0.014,1.3,6.1,3.6,28.5,2.0,0.7,16.7,11.4,0.9,0.5,1.4,0.103,-1.5,0.2,-1.3,0.1,,MEM,2024
14.0,Marcus Smart,29.0,PG,20,20,605,11.8,0.552,0.565,0.236,1.0,8.9,4.8,22.7,3.3,0.8,19.2,22.9,-0.5,0.7,0.2,0.02,-3.3,0.9,-2.4,0.0,,MEM,2024
