Rk,Unnamed: 1,Salary,Team,Season
1,Ja Morant,"$39,446,090",MEM,2026
2,Kentavious Caldwell-Pope,"$21,621,500",MEM,2026
3,Santi Aldama,"$18,485,916",MEM,2026
4,Brandon Clarke,"$12,500,000",MEM,2026
5,Kyle Anderson,"$9,219,512",MEM,2026
6,Ty Jerome,"$8,781,000",MEM,2026
7,Georges Niang,"$8,200,000",MEM,2026
8,Taylor Hendricks,"$6,127,080",MEM,2026
9,Zach Edey,"$6,045,000",MEM,2026
10,Cedric Coward,"$5,715,120",MEM,2026
11,Walter Clayton,"$3,991,320",MEM,2026
12,Cole Anthony,"$3,700,000",MEM,2026
13,Cam Spencer,"$2,537,989",MEM,2026
14,Eric Gordon,"$2,296,274",MEM,2026
15,Scotty Pippen Jr.,"$2,270,735",MEM,2026
16,GG Jackson II,"$2,221,677",MEM,2026
17,Jaylen Wells,"$1,955,377",MEM,2026
18,Mamadi Diakite,"$464,050",MEM,2026
19,Charles Bassey,"$131,970",MEM,2026
20,Kobe Bufkin,"$131,970",MEM,2026
21,Christian Koloko,"$131,970",MEM,2026
22,Christian Koloko,"$131,970",MEM,2026
23,Rayan Rupert,"$131,970",MEM,2026
24,Lawson Lovering,"$87,784",MEM,2026
25,Adama-Alpha Bal,"$73,153",MEM,2026
26,Adama-Alpha Bal,"$43,892",MEM,2026
27,Lucas Williamson,"$21,946",MEM,2026
