G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Team,Season
1,"Wed, Oct 19, 2022",7:30p,,Box Score,,Chicago Bulls,L,,108,116,0,1,L 1,19600,2:20,,MIA,2023
2,"Fri, Oct 21, 2022",7:30p,,Box Score,,Boston Celtics,L,,104,111,0,2,L 2,19600,2:10,,MIA,2023
3,"Sat, Oct 22, 2022",8:00p,,Box Score,,Toronto Raptors,W,,112,109,1,2,W 1,19600,2:29,,MIA,2023
4,"Mon, Oct 24, 2022",7:30p,,Box Score,,Toronto Raptors,L,,90,98,1,3,L 1,19600,2:13,,MIA,2023
5,"Wed, Oct 26, 2022",10:00p,,Box Score,@,Portland Trail Blazers,W,,119,98,2,3,W 1,18588,2:03,,MIA,2023
6,"Thu, Oct 27, 2022",10:00p,,Box Score,@,Golden State Warriors,L,,110,123,2,4,L 1,18064,2:04,,MIA,2023
7,"Sat, Oct 29, 2022",6:00p,,Box Score,@,Sacramento Kings,L,,113,119,2,5,L 2,14618,2:31,,MIA,2023
8,"Tue, Nov 1, 2022",7:30p,,Box Score,,Golden State Warriors,W,,116,109,3,5,W 1,19600,2:22,,MIA,2023
9,"Wed, Nov 2, 2022",7:30p,,Box Score,,Sacramento Kings,W,,110,107,4,5,W 2,19600,2:13,,MIA,2023
10,"Fri, Nov 4, 2022",7:00p,,Box Score,@,Indiana Pacers,L,,99,101,4,6,L 1,13141,2:22,,MIA,2023
11,"Mon, Nov 7, 2022",8:30p,,Box Score,,Portland Trail Blazers,L,,107,110,4,7,L 2,19600,2:11,,MIA,2023
12,"Thu, Nov 10, 2022",7:30p,,Box Score,,Charlotte Hornets,W,OT,117,112,5,7,W 1,19600,2:39,,MIA,2023
13,"Sat, Nov 12, 2022",8:00p,,Box Score,,Charlotte Hornets,W,,132,115,6,7,W 2,19600,2:09,,MIA,2023
14,"Mon, Nov 14, 2022",7:30p,,Box Score,,Phoenix Suns,W,,113,112,7,7,W 3,19600,2:09,,MIA,2023
15,"Wed, Nov 16, 2022",7:30p,,Box Score,@,Toronto Raptors,L,,104,112,7,8,L 1,19800,2:16,,MIA,2023
16,"Fri, Nov 18, 2022",7:00p,,Box Score,@,Washington Wizards,L,OT,106,107,7,9,L 2,18772,2:31,,MIA,2023
17,"Sun, Nov 20, 2022",7:00p,,Box Score,@,Cleveland Cavaliers,L,,87,113,7,10,L 3,19432,2:06,,MIA,2023
18,"Mon, Nov 21, 2022",8:00p,,Box Score,@,Minnesota Timberwolves,L,,101,105,7,11,L 4,16583,2:21,,MIA,2023
19,"Wed, Nov 23, 2022",7:30p,,Box Score,,Washington Wizards,W,,113,105,8,11,W 1,19600,2:15,,MIA,2023
20,"Fri, Nov 25, 2022",8:00p,,Box Score,,Washington Wizards,W,,110,107,9,11,W 2,19600,2:19,,MIA,2023
21,"Sun, Nov 27, 2022",5:00p,,Box Score,@,Atlanta Hawks,W,,106,98,10,11,W 3,17268,2:06,,MIA,2023
22,"Wed, Nov 30, 2022",7:30p,,Box Score,@,Boston Celtics,L,,121,134,10,12,L 1,19156,2:01,,MIA,2023
23,"Fri, Dec 2, 2022",7:30p,,Box Score,@,Boston Celtics,W,OT,120,116,11,12,W 1,19156,2:33,,MIA,2023
24,"Mon, Dec 5, 2022",8:00p,,Box Score,@,Memphis Grizzlies,L,,93,101,11,13,L 1,16122,2:07,,MIA,2023
25,"Tue, Dec 6, 2022",7:30p,,Box Score,,Detroit Pistons,L,,96,116,11,14,L 2,19600,2:09,,MIA,2023
26,"Thu, Dec 8, 2022",7:30p,,Box Score,,Los Angeles Clippers,W,,115,110,12,14,W 1,19600,2:09,,MIA,2023
27,"Sat, Dec 10, 2022",5:00p,,Box Score,,San Antonio Spurs,L,,111,115,12,15,L 1,19600,2:20,,MIA,2023
28,"Mon, Dec 12, 2022",7:00p,,Box Score,@,Indiana Pacers,W,,87,82,13,15,W 1,15309,2:11,,MIA,2023
29,"Wed, Dec 14, 2022",8:00p,,Box Score,@,Oklahoma City Thunder,W,,110,108,14,15,W 2,14783,2:09,,MIA,2023
30,"Thu, Dec 15, 2022",8:00p,,Box Score,@,Houston Rockets,W,,111,108,15,15,W 3,16210,2:14,,MIA,2023
31,"Sat, Dec 17, 2022",5:00p,,Box Score,@,San Antonio Spurs,W,,111,101,16,15,W 4,20160,2:33,,MIA,2023
