No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
13,Bam Adebayo,C,6-9,255,"July 18, 1997",us US,6,Kentucky,MIA,2024
31,Thomas Bryant,C,6-9,248,"July 31, 1997",us US,6,Indiana,MIA,2024
22,Jimmy Butler,PF,6-6,230,"September 14, 1989",us US,12,"Tyler Junior College, Marquette",MIA,2024
8,Jamal Cain,PF,6-7,191,"March 20, 1999",us US,1,"Marquette, Oakland",MIA,2024
4,R.J. Hampton,PG,6-4,175,"February 7, 2001",us US,3,,MIA,2024
14,Tyler Herro,SG,6-5,195,"January 20, 2000",us US,4,Kentucky,MIA,2024
24,Haywood Highsmith,PF,6-5,220,"December 9, 1996",us US,3,Wheeling University,MIA,2024
11,Jaime Jaquez Jr.,SF,6-6,225,"February 18, 2001",us US,R,UCLA,MIA,2024
5,Nikola JoviÄ,PF,6-10,205,"June 9, 2003",gb GB,1,,MIA,2024
42,Kevin Love,PF,6-10,251,"September 7, 1988",us US,15,UCLA,MIA,2024
7,Kyle Lowry,PG,6-0,196,"March 25, 1986",us US,17,Villanova,MIA,2024
16,Caleb Martin,SF,6-5,205,"September 28, 1995",us US,4,"NC State, Nevada",MIA,2024
88,Patty Mills,PG,6-2,180,"August 11, 1988",au AU,14,Saint Mary's,MIA,2024
0,Josh Richardson,SG,6-5,200,"September 15, 1993",us US,8,Tennessee,MIA,2024
55,Duncan Robinson,SF,6-7,215,"April 22, 1994",us US,5,"Williams, Michigan",MIA,2024
25,Orlando Robinson,C,6-10,235,"July 10, 2000",us US,1,Fresno State,MIA,2024
2,Terry Rozier,PG,6-1,190,"March 17, 1994",us US,8,Louisville,MIA,2024
9,Dru Smith,SG,6-2,203,"December 30, 1997",us US,1,"University of Evansville, Missouri",MIA,2024
21,Cole Swider,SF,6-10,220,"May 8, 1999",us US,1,"Villanova, Syracuse",MIA,2024
15,Alondes Williams,SG,6-4,210,"June 19, 1999",us US,1,"Triton College, Oklahoma, Wake Forest",MIA,2024
4,Delon Wright,PG,6-4,185,"April 26, 1992",us US,8,Utah,MIA,2024
