Rk,Unnamed: 1,Salary,Team,Season
1,Jimmy Butler,"$45,183,960",MIA,2024
2,Bam Adebayo,"$32,600,060",MIA,2024
3,Tyler Herro,"$27,000,000",MIA,2024
4,Terry Rozier,"$23,205,221",MIA,2024
5,Duncan Robinson,"$18,154,000",MIA,2024
6,Caleb Martin,"$6,802,950",MIA,2024
7,Kevin Love,"$3,835,738",MIA,2024
8,Jaime Jaquez,"$3,510,600",MIA,2024
9,Josh Richardson,"$2,891,467",MIA,2024
10,Thomas Bryant,"$2,528,233",MIA,2024
11,Nikola JoviÄ,"$2,352,000",MIA,2024
12,Haywood Highsmith,"$1,902,137",MIA,2024
13,Dru Smith,"$1,801,769",MIA,2024
14,Orlando Robinson,"$1,801,769",MIA,2024
15,Delon Wright,"$661,628",MIA,2024
16,Patty Mills,"$464,300",MIA,2024
17,Jamaree Bouyea,,MIA,2024
18,Jamal Cain,,MIA,2024
19,Cole Swider,,MIA,2024
20,R.J. Hampton,,MIA,2024
21,Alondes Williams,,MIA,2024
