Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Team,Season
1.0,Bam Adebayo,28.0,C,73,73,2365,18.7,0.551,0.349,0.369,6.5,25.7,16.1,14.1,1.7,1.8,8.3,25.0,2.8,3.6,6.4,0.129,1.5,0.4,2.0,2.4,"DPOY-11,DEF2",MIA,2026
2.0,Jaime Jaquez Jr.,24.0,SF,75,1,2121,15.7,0.57,0.2,0.236,4.7,13.7,9.2,24.0,1.1,0.9,13.1,22.3,2.2,2.0,4.2,0.094,0.3,-0.1,0.1,1.1,6MOY-2,MIA,2026
3.0,Andrew Wiggins,30.0,SF,68,68,2063,15.1,0.586,0.406,0.197,5.7,10.8,8.3,12.3,1.7,3.0,10.3,19.7,2.2,2.3,4.6,0.106,0.7,0.5,1.2,1.7,,MIA,2026
4.0,Davion Mitchell,27.0,PG,70,70,2000,12.1,0.582,0.428,0.122,1.6,8.0,4.8,29.1,1.6,0.5,16.1,13.6,2.6,1.7,4.3,0.104,-1.3,0.4,-0.9,0.6,,MIA,2026
5.0,Pelle Larsson,24.0,SG,70,54,1849,13.1,0.605,0.343,0.413,3.8,9.9,6.8,16.8,1.2,0.8,13.3,16.8,2.6,1.5,4.1,0.106,-1.2,0.0,-1.2,0.4,,MIA,2026
6.0,Norman Powell,32.0,SG,58,52,1717,17.5,0.609,0.458,0.355,1.3,11.0,6.1,12.5,1.7,0.7,9.7,27.2,2.3,1.7,4.0,0.112,1.8,-0.3,1.6,1.5,AS,MIA,2026
7.0,Kel'el Ware,21.0,C,77,34,1704,20.0,0.616,0.359,0.148,13.1,29.2,21.1,4.6,1.6,4.4,8.2,18.0,3.2,3.0,6.2,0.175,2.1,0.1,2.1,1.8,,MIA,2026
8.0,Simone Fontecchio,30.0,SF,70,9,1173,13.8,0.579,0.696,0.217,4.9,13.8,9.3,11.6,1.5,0.7,8.7,19.6,1.4,1.2,2.6,0.106,0.7,-0.2,0.5,0.7,,MIA,2026
9.0,Dru Smith,28.0,SG,70,1,1141,14.5,0.532,0.397,0.323,5.6,10.2,7.9,20.0,4.1,1.6,12.9,15.2,1.2,1.9,3.0,0.127,-1.5,3.6,2.2,1.2,,MIA,2026
10.0,Tyler Herro,26.0,SG,33,28,1033,17.1,0.602,0.431,0.21,1.4,14.6,7.9,19.7,1.0,1.0,10.2,24.7,1.4,1.0,2.4,0.112,2.4,-0.4,2.0,1.1,,MIA,2026
11.0,Kasparas JakuÄionis,19.0,PG,53,12,945,11.9,0.614,0.655,0.277,4.7,10.5,7.6,18.1,1.6,0.7,15.8,13.7,1.4,0.9,2.3,0.114,-1.0,0.6,-0.4,0.4,,MIA,2026
12.0,Nikola JoviÄ,22.0,PF,47,1,808,9.5,0.48,0.532,0.322,3.2,16.5,9.8,16.5,1.5,1.9,15.4,21.4,-0.9,1.0,0.0,0.001,-3.5,-0.1,-3.5,-0.3,,MIA,2026
13.0,Myron Gardner,24.0,SF,45,7,411,15.2,0.606,0.52,0.211,9.8,21.1,15.4,14.0,2.3,1.7,11.2,15.0,0.8,0.6,1.4,0.163,-1.1,1.9,0.9,0.3,,MIA,2026
14.0,Keshad Johnson,24.0,SF,32,0,280,15.2,0.582,0.423,0.279,9.6,13.4,11.5,3.9,2.5,2.5,10.0,18.9,0.3,0.4,0.6,0.11,-1.3,0.0,-1.3,0.1,,MIA,2026
15.0,Jahmir Young,25.0,PG,14,0,58,8.5,0.483,0.36,0.08,3.6,3.6,3.6,21.1,0.8,0.0,10.4,20.3,0.0,0.0,0.0,0.016,-4.8,-1.9,-6.7,-0.1,,MIA,2026
16.0,Vladislav Goldin,24.0,C,9,0,24,14.7,0.788,0.0,0.25,12.9,26.1,19.4,15.9,0.0,11.1,40.3,12.6,0.0,0.0,0.1,0.121,-5.0,4.5,-0.5,0.0,,MIA,2026
17.0,Trevor Keels,22.0,SG,8,0,15,2.8,0.333,0.75,0.0,0.0,13.9,6.9,0.0,3.1,0.0,0.0,32.6,-0.1,0.0,-0.1,-0.197,-9.4,-5.2,-14.5,0.0,,MIA,2026
,Team Totals,,,82,82,19707,,0.58,0.406,0.268,,,,,,,,,23.3,22.8,46.0,0.112,0.2,0.3,0.6,12.8,,MIA,2026
