Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Team,Season
1.0,Bam Adebayo,28.0,C,73,73,32.4,6.9,15.7,0.442,1.7,5.5,0.318,5.2,10.2,0.509,0.497,4.5,5.8,0.778,2.0,8.0,10.0,3.2,1.2,0.7,1.6,1.7,20.1,"DPOY-11,DEF2",MIA,2026
2.0,Tyler Herro,26.0,SG,33,28,31.3,7.5,15.6,0.48,2.5,6.7,0.378,4.9,8.9,0.556,0.561,3.0,3.3,0.917,0.4,4.4,4.8,4.1,0.7,0.4,1.9,1.9,20.5,,MIA,2026
3.0,Andrew Wiggins,30.0,SF,68,68,30.3,5.7,12.1,0.475,2.0,4.9,0.414,3.7,7.2,0.516,0.559,1.9,2.4,0.784,1.7,3.1,4.8,2.7,1.1,1.0,1.5,2.3,15.4,,MIA,2026
4.0,Norman Powell,32.0,SG,58,52,29.6,7.3,15.4,0.47,2.7,7.1,0.38,4.6,8.4,0.546,0.558,4.5,5.5,0.827,0.4,3.1,3.5,2.5,1.1,0.2,1.9,2.2,21.7,AS,MIA,2026
5.0,Davion Mitchell,27.0,PG,70,70,28.6,3.7,7.6,0.49,1.3,3.3,0.395,2.4,4.4,0.561,0.574,0.6,0.9,0.646,0.5,2.2,2.7,6.5,1.0,0.2,1.5,2.6,9.3,,MIA,2026
6.0,Jaime Jaquez Jr.,24.0,SF,75,1,28.3,6.2,12.2,0.507,0.8,2.4,0.317,5.4,9.8,0.555,0.539,2.2,2.9,0.769,1.3,3.7,5.0,4.7,0.7,0.3,2.0,1.8,15.4,6MOY-2,MIA,2026
7.0,Pelle Larsson,24.0,SG,70,54,26.4,4.0,8.0,0.496,0.9,2.7,0.323,3.1,5.2,0.586,0.551,2.6,3.3,0.797,1.0,2.5,3.5,3.4,0.7,0.2,1.4,2.1,11.4,,MIA,2026
8.0,Kel'el Ware,21.0,C,77,34,22.1,4.5,8.4,0.53,1.2,3.0,0.395,3.3,5.4,0.606,0.601,0.9,1.2,0.74,2.8,6.2,9.0,0.7,0.8,1.1,0.8,1.5,11.1,,MIA,2026
9.0,Kasparas JakuÄionis,19.0,PG,53,12,17.8,1.9,4.5,0.429,1.2,2.9,0.423,0.7,1.5,0.439,0.567,1.1,1.2,0.879,0.8,1.8,2.6,2.6,0.6,0.1,0.9,1.9,6.2,,MIA,2026
10.0,Nikola JoviÄ,22.0,PF,47,1,17.2,2.4,6.7,0.366,1.0,3.6,0.269,1.5,3.1,0.476,0.438,1.5,2.1,0.683,0.5,2.7,3.3,2.2,0.6,0.4,1.4,1.4,7.3,,MIA,2026
11.0,Simone Fontecchio,30.0,SF,70,9,16.8,2.8,6.7,0.412,1.8,4.7,0.375,1.0,2.0,0.497,0.542,1.2,1.5,0.843,0.8,2.2,3.0,1.4,0.5,0.1,0.7,1.5,8.5,,MIA,2026
12.0,Dru Smith,28.0,SG,70,1,16.3,1.9,4.6,0.415,0.5,1.8,0.295,1.4,2.8,0.495,0.474,1.2,1.5,0.829,0.9,1.6,2.5,2.6,1.4,0.3,0.8,1.6,5.6,,MIA,2026
13.0,Myron Gardner,24.0,SF,45,7,9.1,1.3,2.7,0.48,0.6,1.4,0.406,0.7,1.3,0.559,0.585,0.4,0.6,0.731,0.9,1.8,2.7,1.0,0.4,0.2,0.4,1.7,3.6,,MIA,2026
14.0,Keshad Johnson,24.0,SF,32,0,8.8,1.6,3.3,0.49,0.4,1.4,0.295,1.2,1.9,0.633,0.553,0.7,0.9,0.724,0.8,1.1,1.9,0.3,0.5,0.3,0.4,0.9,4.3,,MIA,2026
15.0,Jahmir Young,25.0,PG,14,0,4.1,0.7,1.8,0.4,0.2,0.6,0.333,0.5,1.1,0.438,0.46,0.1,0.1,1.0,0.1,0.1,0.3,0.6,0.1,0.0,0.2,0.5,1.8,,MIA,2026
16.0,Vladislav Goldin,24.0,C,9,0,2.7,0.3,0.4,0.75,0.0,0.0,,0.3,0.4,0.75,0.75,0.1,0.1,1.0,0.3,0.7,1.0,0.3,0.0,0.3,0.3,0.6,0.8,,MIA,2026
17.0,Trevor Keels,22.0,SG,8,0,1.9,0.4,1.5,0.25,0.3,1.1,0.222,0.1,0.4,0.333,0.333,0.0,0.0,,0.0,0.3,0.3,0.0,0.1,0.0,0.0,0.0,1.0,,MIA,2026
,Team Totals,,,82,82,240.3,43.7,93.3,0.468,13.7,37.9,0.361,30.0,55.4,0.542,0.542,19.8,25.0,0.792,11.8,34.5,46.3,29.0,8.6,4.3,13.7,18.9,120.9,,MIA,2026
