No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
7,Grayson Allen,SG,6-3,198,"October 8, 1995",us US,3,Duke,MIL,2022
34,Giannis Antetokounmpo,PF,6-11,243,"December 6, 1994",gr GR,8,,MIL,2022
43,Thanasis Antetokounmpo,SF,6-7,219,"July 18, 1992",gr GR,3,,MIL,2022
95,DeAndre' Bembry,SF,6-5,210,"July 4, 1994",us US,5,Saint Joseph's,MIL,2022
5,Jevon Carter,PG,6-0,200,"September 14, 1995",us US,3,West Virginia,MIL,2022
24,Pat Connaughton,SF,6-5,209,"January 6, 1993",us US,6,Notre Dame,MIL,2022
15,DeMarcus Cousins,C,6-10,270,"August 13, 1990",us US,10,Kentucky,MIL,2022
12,Javin DeLaurier,C,6-10,237,"April 7, 1998",us US,R,Duke,MIL,2022
0,Donte DiVincenzo,SG,6-4,203,"January 31, 1997",us US,3,Villanova,MIL,2022
15,Jeff Dowtin Jr.,PG,6-3,177,"May 10, 1997",us US,R,Rhode Island,MIL,2022
12,Langston Galloway,SG,6-1,200,"December 9, 1991",us US,7,Saint Joseph's,MIL,2022
3,George Hill,PG,6-4,188,"May 4, 1986",us US,13,IUPUI,MIL,2022
21,Jrue Holiday,PG,6-4,220,"June 12, 1990",us US,12,UCLA,MIL,2022
5,Rodney Hood,PF,6-8,208,"October 20, 1992",us US,7,"Mississippi State, Duke",MIL,2022
25,Serge Ibaka,C,6-11,235,"September 18, 1989",cg CG,12,,MIL,2022
18,Georgios Kalaitzakis,SF,6-8,192,"January 2, 1999",gr GR,R,,MIL,2022
35,Luke Kornet,C,7-1,250,"July 15, 1995",us US,4,Vanderbilt,MIL,2022
11,Brook Lopez,C,7-1,282,"April 1, 1988",us US,13,Stanford,MIL,2022
54,Sandro Mamukelashvili,PF,6-9,240,"May 23, 1999",us US,R,Seton Hall,MIL,2022
23,Wesley Matthews,SG,6-5,220,"October 14, 1986",us US,12,Marquette,MIL,2022
22,Khris Middleton,SF,6-7,222,"August 12, 1991",us US,9,Texas A&M,MIL,2022
15,Greg Monroe,C,6-11,265,"June 4, 1990",us US,9,Georgetown,MIL,2022
13,Jordan Nwora,SF,6-8,225,"September 9, 1998",us US,1,Louisville,MIL,2022
37,Semi Ojeleye,PF,6-6,240,"December 5, 1994",us US,4,"Duke, SMU",MIL,2022
9,Bobby Portis,C,6-9,250,"February 10, 1995",us US,6,Arkansas,MIL,2022
55,Justin Robinson,PG,6-1,195,"October 12, 1997",us US,2,Virginia Tech,MIL,2022
6,Javonte Smart,PG,6-4,205,"June 3, 1999",us US,R,LSU,MIL,2022
59,Rayjon Tucker,SG,6-3,209,"September 24, 1997",us US,2,"Florida Gulf Coast, Little Rock",MIL,2022
6,Luca Vildoza,PG,6-3,190,"August 11, 1995",ar AR,R,,MIL,2022
28,Lindell Wigginton,PG,6-1,189,"March 28, 1998",ca CA,R,Iowa State,MIL,2022
