Rk,Unnamed: 1,Salary,Team,Season
1,Giannis Antetokounmpo,"$42,492,492",MIL,2023
2,Khris Middleton,"$37,948,276",MIL,2023
3,Jrue Holiday,"$33,665,040",MIL,2023
4,Brook Lopez,"$13,906,976",MIL,2023
5,Bobby Portis,"$10,843,350",MIL,2023
6,Jae Crowder,"$10,183,800",MIL,2023
7,Grayson Allen,"$8,500,000",MIL,2023
8,Joe Ingles,"$6,479,000",MIL,2023
9,Pat Connaughton,"$5,728,393",MIL,2023
10,MarJon Beauchamp,"$2,485,200",MIL,2023
11,Jevon Carter,"$2,100,000",MIL,2023
12,Thanasis Antetokounmpo,"$1,878,720",MIL,2023
13,Wesley Matthews,"$1,836,090",MIL,2023
14,Goran DragiÄ,"$390,433",MIL,2023
15,Meyers Leonard,"$284,911",MIL,2023
16,Meyers Leonard,"$105,522",MIL,2023
17,Meyers Leonard,"$105,522",MIL,2023
18,A.J. Green,,MIL,2023
19,Lindell Wigginton,,MIL,2023
