Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards,Team,Season
1.0,Ryan Rollins,23.0,PG,74,67,2376,96,4,0,0,0,-3.1,8.5,112,65,94,12,61,6,1031,12,73,,MIL,2026
2.0,A.J. Green,26.0,SG,78,68,2270,17,61,22,0,0,-3.7,6.6,38,23,114,4,13,16,384,3,12,,MIL,2026
3.0,Myles Turner,29.0,C,71,71,1912,0,0,0,0,100,-5.9,1.0,26,26,125,20,83,4,261,19,32,,MIL,2026
4.0,Kyle Kuzma,30.0,PF,69,43,1806,0,5,52,43,0,-7.5,-1.9,46,41,81,16,99,10,456,28,37,,MIL,2026
5.0,Bobby Portis,30.0,PF,67,9,1619,0,0,8,68,24,-7.9,-2.5,26,23,63,9,25,1,269,7,22,,MIL,2026
6.0,Gary Trent Jr.,27.0,SG,65,21,1377,2,36,61,1,0,-12.3,-9.0,22,10,42,7,23,12,186,6,15,,MIL,2026
7.0,Jericho Sims,27.0,C,67,19,1318,0,0,0,21,79,-9.6,-4.7,28,13,74,28,34,1,269,10,17,,MIL,2026
8.0,Kevin Porter Jr.,25.0,PG,38,36,1261,44,56,0,0,0,-5.2,1.8,56,38,42,7,74,7,684,17,31,,MIL,2026
9.0,Giannis Antetokounmpo,31.0,PF,36,36,1039,0,0,9,62,29,4.1,14.4,32,40,28,27,176,0,527,42,35,AS,MIL,2026
10.0,Ousmane Dieng,22.0,C,30,20,804,0,0,6,72,23,-15.0,-10.8,38,25,41,1,18,1,264,5,14,,MIL,2026
11.0,Pete Nance,25.0,PF,47,6,737,0,1,38,44,17,-5.9,0.6,17,3,29,4,4,0,123,1,7,,MIL,2026
12.0,Gary Harris,31.0,SG,48,2,661,8,63,29,0,0,-10.9,-5.3,10,4,35,3,6,0,125,3,4,,MIL,2026
13.0,Taurean Prince,31.0,SF,26,7,611,0,20,69,11,0,-3.1,4.0,23,7,25,0,4,2,116,2,5,,MIL,2026
14.0,Cole Anthony,25.0,PG,35,0,527,99,1,0,0,0,-10.0,-4.1,40,20,42,4,9,7,291,3,11,,MIL,2026
15.0,Andre Jackson Jr.,24.0,SG,48,1,408,1,35,58,6,0,-10.0,-4.0,22,3,23,1,10,1,114,2,6,,MIL,2026
16.0,Cam Thomas,24.0,SG,18,0,299,16,66,18,0,0,-14.5,-8.7,10,11,7,2,31,2,85,8,10,,MIL,2026
17.0,Cormac Ryan,27.0,SG,11,2,271,20,72,8,0,0,-3.8,2.8,10,3,12,1,10,1,48,2,4,,MIL,2026
18.0,Amir Coffey,28.0,SG,30,2,265,0,36,59,5,0,-9.0,-2.7,3,0,8,0,9,2,26,4,1,,MIL,2026
19.0,Thanasis Antetokounmpo,33.0,SF,34,0,148,0,1,20,75,5,-3.0,3.5,2,6,8,0,15,1,42,2,2,,MIL,2026
20.0,Mark Sears,23.0,PG,7,0,26,100,0,0,0,0,23.5,30.2,4,0,0,0,1,0,5,0,0,,MIL,2026
21.0,Alex Antetokounmpo,24.0,SF,6,0,21,0,0,38,62,0,2.0,8.5,0,0,1,0,5,0,2,0,0,,MIL,2026
,Team Totals,,,82,82,19756,20,20,20,20,20,-6.5,0.7,565,361,894,146,710,74,5308,176,338,,MIL,2026
