No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
5,Malik Beasley,SG,6-4,187,"November 26, 1996",us US,4,Florida State,MIN,2021
23,Jarrett Culver,SG,6-6,195,"February 20, 1999",us US,1,Texas Tech,MIN,2021
17,Ed Davis,C,6-9,218,"June 5, 1989",us US,10,UNC,MIN,2021
1,Anthony Edwards,SG,6-4,225,"August 5, 2001",us US,R,Georgia,MIN,2021
22,Ashton Hagans,PG,6-3,190,"July 8, 1999",us US,R,Kentucky,MIN,2021
41,Juancho HernangÃ³mez,PF,6-9,214,"September 28, 1995",es ES,4,,MIN,2021
10,Jake Layman,SF,6-8,209,"March 7, 1994",us US,4,Maryland,MIN,2021
3,Jaden McDaniels,PF,6-9,185,"September 29, 2000",us US,R,Washington,MIN,2021
6,Jordan McLaughlin,PG,5-11,185,"April 9, 1996",us US,1,USC,MIN,2021
4,Jaylen Nowell,SG,6-4,201,"July 9, 1999",us US,1,Washington,MIN,2021
20,Josh Okogie,SG,6-4,213,"September 1, 1998",ng NG,2,Georgia Tech,MIN,2021
11,Naz Reid,C,6-9,264,"August 26, 1999",us US,1,LSU,MIN,2021
9,Ricky Rubio,PG,6-2,190,"October 21, 1990",es ES,9,,MIN,2021
0,D'Angelo Russell,PG,6-3,193,"February 23, 1996",us US,5,Ohio State,MIN,2021
32,Karl-Anthony Towns,C,7-0,248,"November 15, 1995",us US,5,Kentucky,MIN,2021
8,Jarred Vanderbilt,PF,6-8,214,"April 3, 1999",us US,2,Kentucky,MIN,2021
