G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Team,Season
1,"Wed, Oct 20, 2021",8:00p,,Box Score,,Houston Rockets,W,,124,106,1,0,W 1,16079,2:12,,MIN,2022
2,"Sat, Oct 23, 2021",8:00p,,Box Score,,New Orleans Pelicans,W,,96,89,2,0,W 2,15343,2:20,,MIN,2022
3,"Mon, Oct 25, 2021",8:00p,,Box Score,,New Orleans Pelicans,L,,98,107,2,1,L 1,14435,2:14,,MIN,2022
4,"Wed, Oct 27, 2021",8:00p,,Box Score,@,Milwaukee Bucks,W,,113,108,3,1,W 1,17341,2:14,,MIN,2022
5,"Sat, Oct 30, 2021",9:00p,,Box Score,,Denver Nuggets,L,,91,93,3,2,L 1,17136,2:02,,MIN,2022
6,"Mon, Nov 1, 2021",8:00p,,Box Score,,Orlando Magic,L,,97,115,3,3,L 2,14744,2:19,,MIN,2022
7,"Wed, Nov 3, 2021",8:00p,,Box Score,,Los Angeles Clippers,L,,115,126,3,4,L 3,15386,2:10,,MIN,2022
8,"Fri, Nov 5, 2021",8:00p,,Box Score,,Los Angeles Clippers,L,,84,104,3,5,L 4,17136,2:15,,MIN,2022
9,"Mon, Nov 8, 2021",8:00p,,Box Score,@,Memphis Grizzlies,L,OT,118,125,3,6,L 5,12416,2:36,,MIN,2022
10,"Wed, Nov 10, 2021",10:00p,,Box Score,@,Golden State Warriors,L,,110,123,3,7,L 6,18064,2:25,,MIN,2022
11,"Fri, Nov 12, 2021",10:30p,,Box Score,@,Los Angeles Lakers,W,,107,83,4,7,W 1,18997,2:15,,MIN,2022
12,"Sat, Nov 13, 2021",10:30p,,Box Score,@,Los Angeles Clippers,L,,102,129,4,8,L 1,15285,1:56,,MIN,2022
13,"Mon, Nov 15, 2021",8:00p,,Box Score,,Phoenix Suns,L,,96,99,4,9,L 2,16274,2:23,,MIN,2022
14,"Wed, Nov 17, 2021",8:00p,,Box Score,,Sacramento Kings,W,,107,97,5,9,W 1,13108,2:17,,MIN,2022
15,"Thu, Nov 18, 2021",8:00p,,Box Score,,San Antonio Spurs,W,,115,90,6,9,W 2,13572,2:02,,MIN,2022
16,"Sat, Nov 20, 2021",8:00p,,Box Score,,Memphis Grizzlies,W,,138,95,7,9,W 3,17136,2:20,,MIN,2022
17,"Mon, Nov 22, 2021",8:00p,,Box Score,@,New Orleans Pelicans,W,,110,96,8,9,W 4,15689,2:10,,MIN,2022
18,"Wed, Nov 24, 2021",8:00p,,Box Score,,Miami Heat,W,,113,101,9,9,W 5,17136,2:28,,MIN,2022
19,"Fri, Nov 26, 2021",7:00p,,Box Score,@,Charlotte Hornets,L,,115,133,9,10,L 1,19314,2:04,,MIN,2022
20,"Sat, Nov 27, 2021",6:00p,,Box Score,@,Philadelphia 76ers,W,2OT,121,120,10,10,W 1,21011,2:57,,MIN,2022
21,"Mon, Nov 29, 2021",8:00p,,Box Score,,Indiana Pacers,W,,100,98,11,10,W 2,14191,2:18,,MIN,2022
22,"Wed, Dec 1, 2021",7:00p,,Box Score,@,Washington Wizards,L,,107,115,11,11,L 1,15318,2:19,,MIN,2022
23,"Fri, Dec 3, 2021",7:30p,,Box Score,@,Brooklyn Nets,L,,105,110,11,12,L 2,17732,2:27,,MIN,2022
24,"Mon, Dec 6, 2021",8:00p,,Box Score,,Atlanta Hawks,L,,110,121,11,13,L 3,15736,2:05,,MIN,2022
25,"Wed, Dec 8, 2021",8:00p,,Box Score,,Utah Jazz,L,,104,136,11,14,L 4,15181,2:09,,MIN,2022
26,"Fri, Dec 10, 2021",8:00p,,Box Score,,Cleveland Cavaliers,L,,106,123,11,15,L 5,15694,2:11,,MIN,2022
27,"Sun, Dec 12, 2021",9:00p,,Box Score,@,Portland Trail Blazers,W,,116,111,12,15,W 1,16591,2:22,,MIN,2022
28,"Wed, Dec 15, 2021",9:00p,,Box Score,@,Denver Nuggets,W,,124,107,13,15,W 2,15365,2:08,,MIN,2022
29,"Fri, Dec 17, 2021",10:00p,,Box Score,,Los Angeles Lakers,W,,110,92,14,15,W 3,17136,2:26,,MIN,2022
