Rk,Unnamed: 1,Salary,Team,Season
1,Karl-Anthony Towns,"$31,650,600",MIN,2022
2,D'Angelo Russell,"$30,013,500",MIN,2022
3,Malik Beasley,"$14,391,964",MIN,2022
4,Patrick Beverley,"$14,320,988",MIN,2022
5,Taurean Prince,"$13,000,000",MIN,2022
6,Anthony Edwards,"$10,245,480",MIN,2022
7,Josh Okogie,"$4,087,904",MIN,2022
8,Jarred Vanderbilt,"$4,000,000",MIN,2022
9,Jake Layman,"$3,940,184",MIN,2022
10,Leandro Bolmaro,"$2,353,320",MIN,2022
11,Jaden McDaniels,"$2,063,280",MIN,2022
12,Jordan McLaughlin,"$2,000,000",MIN,2022
13,Jaylen Nowell,"$1,782,621",MIN,2022
14,Naz Reid,"$1,782,621",MIN,2022
15,Greg Monroe,"$193,227",MIN,2022
16,Chris Silva,"$95,930",MIN,2022
17,Rayjon Tucker,"$95,930",MIN,2022
18,Nathan Knight,$0,MIN,2022
19,McKinley Wright,$0,MIN,2022
